et,xt,d,pnl
2006-01-26 09:32:00,2006-01-26 15:58:00,1,-14.36
2006-01-27 09:52:00,2006-01-27 15:57:00,1,5.64
2006-01-30 09:41:00,2006-01-30 15:58:00,1,-94.36
2006-01-31 09:50:00,2006-01-31 15:58:00,-1,25.64
2006-02-01 09:33:00,2006-02-01 15:58:00,1,265.64
2006-02-03 09:32:00,2006-02-03 15:56:00,-1,155.64
2006-02-07 09:32:00,2006-02-07 15:58:00,-1,105.64
2006-02-08 09:50:00,2006-02-08 12:49:00,-1,-254.36
2006-02-08 12:49:00,2006-02-08 15:58:00,1,-24.36
2006-02-09 09:32:00,2006-02-09 15:34:00,1,-404.36
2006-02-09 15:34:00,2006-02-09 15:58:00,-1,-4.36
2006-02-10 09:40:00,2006-02-10 15:17:00,-1,-364.36
2006-02-10 15:17:00,2006-02-10 15:56:00,1,-74.36
2006-02-13 09:35:00,2006-02-13 15:58:00,-1,135.64
2006-02-14 09:48:00,2006-02-14 14:11:00,-1,-344.36
2006-02-14 14:11:00,2006-02-14 15:58:00,1,55.64
2006-02-15 10:12:00,2006-02-15 15:58:00,1,65.64
2006-02-16 09:38:00,2006-02-16 15:58:00,1,85.64
2006-02-17 09:32:00,2006-02-17 15:56:00,-1,145.64
2006-02-21 09:32:00,2006-02-21 10:14:00,1,-314.36
2006-02-21 10:14:00,2006-02-21 15:58:00,-1,55.64
2006-02-22 11:11:00,2006-02-22 15:58:00,1,305.64
2006-02-23 11:27:00,2006-02-23 15:58:00,1,-194.36
2006-02-24 09:43:00,2006-02-24 15:56:00,-1,-124.36
2006-02-27 10:02:00,2006-02-27 15:58:00,1,115.64
2006-02-28 09:51:00,2006-02-28 10:33:00,1,-224.36
2006-02-28 10:33:00,2006-02-28 15:58:00,-1,155.64
2006-03-01 09:32:00,2006-03-01 15:58:00,1,345.64
2006-03-02 09:32:00,2006-03-02 15:58:00,-1,-144.36
2006-03-03 09:32:00,2006-03-03 13:49:00,-1,-444.36
2006-03-03 13:49:00,2006-03-03 15:57:00,1,-384.36
2006-03-07 09:41:00,2006-03-07 15:58:00,-1,25.64
2006-03-08 09:32:00,2006-03-08 15:58:00,-1,-124.36
2006-03-09 09:33:00,2006-03-09 09:51:00,-1,-184.36
2006-03-09 09:51:00,2006-03-09 12:20:00,1,-284.36
2006-03-09 12:20:00,2006-03-09 15:58:00,-1,225.64
2006-03-10 09:48:00,2006-03-10 10:49:00,-1,-224.36
2006-03-10 10:49:00,2006-03-10 15:56:00,1,-4.36
2006-03-13 09:32:00,2006-03-13 15:58:00,1,-84.36
2006-03-14 09:38:00,2006-03-14 15:58:00,1,495.64
2006-03-15 09:32:00,2006-03-15 15:58:00,1,105.64
2006-03-16 09:32:00,2006-03-16 15:58:00,1,-384.36
2006-03-17 09:46:00,2006-03-17 15:56:00,1,65.64
2006-03-20 10:31:00,2006-03-20 15:58:00,-1,-54.36
2006-03-21 09:38:00,2006-03-21 11:34:00,-1,-294.36
2006-03-21 11:34:00,2006-03-21 15:02:00,1,-404.36
2006-03-21 15:02:00,2006-03-21 15:58:00,-1,65.64
2006-03-22 09:32:00,2006-03-22 15:58:00,1,305.64
2006-03-24 10:12:00,2006-03-24 15:57:00,1,-74.36
2006-03-27 09:44:00,2006-03-27 15:58:00,1,-114.36
2006-03-28 09:47:00,2006-03-28 15:08:00,1,-294.36
2006-03-28 15:08:00,2006-03-28 15:58:00,-1,-24.36
2006-03-29 10:18:00,2006-03-29 15:58:00,1,445.64
2006-03-30 09:32:00,2006-03-30 15:58:00,1,25.64
2006-03-31 09:32:00,2006-03-31 15:56:00,1,-194.36
2006-04-03 10:29:00,2006-04-03 15:58:00,1,-264.36
2006-04-04 10:05:00,2006-04-04 15:58:00,1,-14.36
2006-04-05 09:32:00,2006-04-05 15:58:00,1,195.64
2006-04-06 11:13:00,2006-04-06 15:58:00,1,55.64
2006-04-07 09:32:00,2006-04-07 10:28:00,1,-244.36
2006-04-07 10:28:00,2006-04-07 15:56:00,-1,175.64
2006-04-10 10:00:00,2006-04-10 15:58:00,-1,15.64
2006-04-11 09:32:00,2006-04-11 10:00:00,1,-174.36
2006-04-11 10:00:00,2006-04-11 15:58:00,-1,285.64
2006-04-13 09:32:00,2006-04-13 10:51:00,-1,-204.36
2006-04-13 10:51:00,2006-04-13 15:56:00,1,-44.36
2006-04-17 09:32:00,2006-04-17 15:58:00,-1,315.64
2006-04-18 09:33:00,2006-04-18 15:58:00,1,455.64
2006-04-19 09:32:00,2006-04-19 15:58:00,-1,-64.36
2006-04-20 09:36:00,2006-04-20 10:23:00,-1,-184.36
2006-04-20 10:23:00,2006-04-20 11:19:00,1,-224.36
2006-04-20 11:19:00,2006-04-20 15:58:00,-1,-34.36
2006-04-21 09:33:00,2006-04-21 09:45:00,1,-164.36
2006-04-21 09:45:00,2006-04-21 15:56:00,-1,415.64
2006-04-24 09:39:00,2006-04-24 15:58:00,-1,-84.36
2006-04-25 09:37:00,2006-04-25 15:58:00,-1,105.64
2006-04-26 10:04:00,2006-04-26 15:58:00,-1,5.64
2006-04-27 09:32:00,2006-04-27 09:47:00,1,-204.36
2006-04-27 09:47:00,2006-04-27 09:53:00,-1,-124.36
2006-04-27 09:53:00,2006-04-27 15:58:00,1,135.64
2006-04-28 09:32:00,2006-04-28 09:48:00,1,-104.36
2006-04-28 09:48:00,2006-04-28 14:57:00,-1,115.64
2006-05-01 09:40:00,2006-05-01 15:58:00,-1,345.64
2006-05-02 09:32:00,2006-05-02 15:59:00,1,-164.36
2006-05-03 09:35:00,2006-05-03 15:58:00,-1,45.64
2006-05-04 09:32:00,2006-05-04 16:03:00,1,-74.36
2006-05-05 09:32:00,2006-05-05 14:56:00,1,95.64
2006-05-08 09:32:00,2006-05-08 16:01:00,1,-104.36
2006-05-10 09:51:00,2006-05-10 16:03:00,-1,230.64
2006-05-11 09:32:00,2006-05-11 15:58:00,-1,450.64
2006-05-12 09:32:00,2006-05-12 14:56:00,-1,140.64
2006-05-15 09:36:00,2006-05-15 15:58:00,1,-124.36
2006-05-16 09:35:00,2006-05-16 15:55:00,1,-259.36
2006-05-16 15:55:00,2006-05-16 15:58:00,-1,-9.36
2006-05-17 14:03:00,2006-05-17 15:58:00,-1,0.6399999999999997
2006-05-18 14:43:00,2006-05-18 15:59:00,-1,5.64
2006-05-19 09:56:00,2006-05-19 14:56:00,-1,-284.36
2006-05-22 09:32:00,2006-05-22 15:58:00,-1,35.64
2006-05-23 09:32:00,2006-05-23 15:48:00,1,-394.36
2006-05-23 15:48:00,2006-05-23 15:58:00,-1,120.64
2006-05-24 09:40:00,2006-05-24 15:58:00,1,190.64
2006-05-25 09:32:00,2006-05-25 15:58:00,1,210.64
2006-05-30 11:03:00,2006-05-30 15:58:00,-1,240.64
2006-05-31 09:33:00,2006-05-31 15:58:00,1,70.64
2006-06-01 10:41:00,2006-06-01 15:58:00,1,375.64
2006-06-02 09:32:00,2006-06-02 11:47:00,1,-444.36
2006-06-02 11:47:00,2006-06-02 15:56:00,-1,-194.36
2006-06-05 13:24:00,2006-06-05 15:58:00,-1,385.64
2006-06-06 09:49:00,2006-06-06 15:58:00,-1,-44.36
2006-06-07 10:15:00,2006-06-07 15:58:00,1,-444.36
2006-06-08 09:35:00,2006-06-08 15:58:00,-1,-204.36
2006-06-09 09:32:00,2006-06-09 15:56:00,1,-354.36
2006-06-12 11:05:00,2006-06-12 15:58:00,-1,310.64
2006-06-13 09:45:00,2006-06-13 15:58:00,1,-334.36
2006-06-14 09:34:00,2006-06-14 15:58:00,1,105.64
2006-06-15 09:32:00,2006-06-15 15:58:00,1,635.64
2006-06-16 09:32:00,2006-06-16 15:56:00,-1,105.64
2006-06-19 09:32:00,2006-06-19 10:27:00,1,-274.36
