tag,n_days,net,sharpe,sortino,calmar,maxDD_eod,CDaR95,worst_day,worst_month,pos_day_pct,vm_removed,net_delta_vs_FULL
LOO_VM6,1139,276233.9199999894,1.069733046162293,1.8063926766111613,1.231202247137375,49639.16000000143,35782.70142857278,-14648.080000000075,-29836.960000001243,0.4503950834064969,6,-25682.000000010594
LOO_VM8,1139,299347.59999998956,1.1245248321161414,1.9798127450920853,1.4487805713122799,45714.08000000205,35726.07071428711,-14388.079999999958,-24720.68000000145,0.45829675153643545,8,-2568.320000010426
LOO_VM10,1139,303906.31999999046,1.1418370539990443,1.987252574619304,1.3016415494202949,51656.520000002114,38048.67000000151,-14388.079999999958,-24455.68000000145,0.4591747146619842,10,1990.3999999904772
LOO_VM12,1139,329784.9199999908,1.2427479962793613,2.1684473982056605,1.5648138616608251,46627.80000000168,36236.45071428679,-14648.080000000075,-23411.960000001243,0.4591747146619842,12,27868.999999990803
LOO_VM14,1139,300794.63999998936,1.1761463043793776,1.9686652594690297,1.384535925946712,48066.520000002114,36525.23000000124,-14388.079999999958,-22836.960000001243,0.456540825285338,14,-1121.2800000106217
LOO_VM16,1139,287950.1999999892,1.1346426962376348,1.9264530880217439,1.3230456223672846,48152.56000000273,34410.956428572994,-14388.079999999958,-19621.960000001243,0.4723441615452151,16,-13965.720000010799
LOO_VM18,1139,285712.8399999886,1.1160369907886887,1.859740529181873,1.1562001844413412,54673.08000000322,41114.22714285972,-19836.800000000163,-25656.320000001346,0.46532045654082527,18,-16203.080000011367
LOO_VM20,1139,244619.3599999898,0.9408928180567843,1.4945385340581556,0.8425892751433387,64232.0400000033,44803.47857143118,-19836.800000000163,-32030.68000000168,0.4635645302897278,20,-57296.560000010184
LOO_VM22,1139,243636.51999998692,0.9336713061406978,1.4916023098055438,0.8756811299952871,61556.4000000034,43200.175714288154,-19836.800000000163,-27865.04000000155,0.4547848990342406,22,-58279.40000001306
LOO_VM24,1139,237897.27999998577,0.9052174686016623,1.4333946707593286,0.7660336749261734,68709.76000000432,47502.5542857175,-19836.800000000163,-29444.400000001653,0.45829675153643545,24,-64018.64000001422
LOO_VM26,1139,270297.79999998485,1.0240851015895478,1.630189183943997,1.013685510460243,58995.12000000337,42875.88285714575,-19836.800000000163,-23424.400000001653,0.46005267778753295,26,-31618.12000001513
LOO_VM28,1139,258559.19999998593,0.9806267067234146,1.56513228338502,1.0578597093448556,54076.52000000281,42325.23000000279,-19836.800000000163,-23214.400000001653,0.4618086040386304,28,-43356.72000001406
LOO_VM30,1139,246283.5599999865,0.9349944838360283,1.4911544808255948,1.0241980720180697,53202.0400000033,39050.83428571686,-19836.800000000163,-21255.68000000168,0.4626865671641791,30,-55632.36000001349
