event_id,event_start_t_idx,event_end_t_idx,side,n_bars,sess_date_start,year_start,session_phase_start,M_start,Tp_start,T_start,HTF_tilt_start,B_start,entry_blocked_c4_at_start,was_executed_by_incumbent,net_pnl,mfe,mae,giveback,giveback_ratio,bars_to_mfe
2,40,316,1,277,2022-01-03,2022,ETH_ASIA,6.3774,9.0,10,0.0,0.0,False,True,-1975.0,1105.0,-1975.0,3080.0,2.7873303167420813,272
4,321,452,1,132,2022-01-03,2022,RTH_MID,3.543,5.0,5,0.0,0.0,False,True,2945.0,2945.0,-100.0,0.0,0.0,131
6,771,885,-1,115,2022-01-04,2022,RTH_OPEN,-4.2516,-6.0,-7,0.0,0.0,False,True,4335.0,6650.0,-365.0,2315.0,0.3481203007518797,88
8,1033,1240,-1,208,2022-01-05,2022,ETH_ASIA,-3.543,-5.0,-5,0.0,0.0,False,True,-585.0,1530.0,-950.0,2115.0,1.3823529411764706,197
10,1253,1372,-1,120,2022-01-05,2022,RTH_MID,-3.543,-5.0,-5,0.0,0.0,False,True,7555.0,7760.0,-495.0,205.0,0.026417525773195876,106
12,1548,1832,1,285,2022-01-06,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,595.0,2640.0,-2760.0,2045.0,0.7746212121212122,206
14,2173,2292,-1,120,2022-01-07,2022,RTH_MID,-3.543,-5.0,-6,0.0,0.0,False,True,635.0,1665.0,-965.0,1030.0,0.6186186186186187,4
16,2687,2752,1,66,2022-01-10,2022,RTH_MID,4.2516,6.0,7,0.0,0.0,False,True,5270.0,5270.0,-215.0,0.0,0.0,65
18,3058,3105,-1,48,2022-01-11,2022,US_PREMARKET,-3.543,-5.0,-5,0.0,0.0,False,True,-2770.0,2230.0,-2770.0,5000.0,2.242152466367713,15
20,3557,3672,-1,116,2022-01-12,2022,RTH_MID,-3.543,-5.0,-5,0.0,0.0,False,True,-1065.0,670.0,-1965.0,1735.0,2.58955223880597,8
22,4017,4132,-1,116,2022-01-13,2022,RTH_MID,-4.2516,-6.0,-7,0.0,0.0,False,True,5010.0,5310.0,-1595.0,300.0,0.05649717514124294,112
24,4281,4412,1,132,2022-01-14,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,-1740.0,815.0,-1740.0,2555.0,3.1349693251533743,24
26,4451,4592,1,142,2022-01-14,2022,RTH_OPEN,4.2516,6.0,7,0.0,0.0,False,True,2880.0,2880.0,-1070.0,0.0,0.0,141
28,5087,5255,-1,169,2022-01-18,2022,ETH_ASIA,-3.543,-5.0,-5,0.0,0.0,False,True,1035.0,2920.0,-710.0,1885.0,0.6455479452054794,100
30,5292,5302,-1,11,2022-01-18,2022,RTH_OPEN,-3.543,-5.0,-5,0.0,0.0,False,True,-2015.0,25.0,-2015.0,2040.0,81.6,6
32,5320,5432,-1,113,2022-01-18,2022,RTH_MID,-3.543,-5.0,-5,0.0,0.0,False,True,1715.0,2465.0,-885.0,750.0,0.30425963488843816,94
34,5638,5784,1,147,2022-01-19,2022,ETH_EUROPE,3.543,5.0,5,0.0,0.0,False,True,-1175.0,3460.0,-1175.0,4635.0,1.3395953757225434,121
36,5804,5869,1,66,2022-01-19,2022,RTH_MID,3.543,5.0,5,0.0,0.0,False,True,-2800.0,740.0,-2800.0,3540.0,4.783783783783784,15
38,6056,6313,1,258,2022-01-20,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,-905.0,3810.0,-1690.0,4715.0,1.23753280839895,184
40,6529,6674,1,146,2022-01-21,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,-2070.0,750.0,-2070.0,2820.0,3.76,57
42,6687,6691,-1,5,2022-01-21,2022,RTH_MID,-3.5386,-1.0,-1,0.0,-1.0,False,True,-3770.0,0.0,-3770.0,0.0,,0
44,6772,6798,-1,27,2022-01-21,2022,RTH_MID,-3.5386,-1.0,-1,0.0,-1.0,False,True,3195.0,3195.0,-75.0,0.0,0.0,26
46,7133,7136,1,4,2022-01-24,2022,RTH_OPEN,4.2472,2.0,2,0.0,1.0,False,True,-2170.0,0.0,-2170.0,0.0,,0
48,7203,7227,1,25,2022-01-24,2022,RTH_MID,3.5473999999999997,9.0,10,0.0,-1.0,False,True,860.0,4405.0,-1070.0,3545.0,0.8047673098751419,17
50,7248,7272,1,25,2022-01-24,2022,RTH_MID,3.5473999999999997,9.0,10,0.0,-1.0,False,True,3740.0,4430.0,-645.0,690.0,0.15575620767494355,18
52,7348,7698,-1,351,2022-01-25,2022,ETH_ASIA,-3.543,-5.0,-5,0.0,0.0,False,True,-1480.0,5675.0,-1480.0,7155.0,1.2607929515418501,284
54,7721,7732,-1,12,2022-01-25,2022,POST_RTH,-6.3774,-9.0,-10,0.0,0.0,False,True,1920.0,1950.0,0.0,30.0,0.015384615384615385,10
56,7745,8155,1,411,2022-01-26,2022,POST_RTH,3.543,5.0,5,0.0,0.0,False,True,2160.0,9650.0,-225.0,7490.0,0.7761658031088083,395
58,8401,8529,1,129,2022-01-27,2022,ETH_EUROPE,4.9602,7.0,8,0.0,0.0,False,True,2080.0,5070.0,-1195.0,2990.0,0.5897435897435898,123
60,8573,8652,-1,80,2022-01-27,2022,RTH_MID,-4.2472,-2.0,-2,0.0,-1.0,False,True,1360.0,2910.0,-1085.0,1550.0,0.5326460481099656,54
62,8972,8999,-1,28,2022-01-28,2022,RTH_OPEN,-3.5386,-1.0,-1,0.0,-1.0,False,True,-4080.0,1395.0,-4080.0,5475.0,3.924731182795699,8
64,9004,9112,1,109,2022-01-28,2022,RTH_MID,7.7902000000000005,7.0,8,0.0,1.0,False,True,4745.0,5045.0,-1930.0,300.0,0.05946481665014866,96
66,9893,10018,-1,126,2022-02-01,2022,RTH_OPEN,-4.2472,-2.0,-2,0.0,-1.0,False,True,-3235.0,2350.0,-3235.0,5585.0,2.376595744680851,8
68,10354,10492,-1,139,2022-02-02,2022,RTH_OPEN,-5.6644000000000005,-4.0,-4,0.0,-1.0,False,True,4425.0,4915.0,-1155.0,490.0,0.09969481180061038,135
70,10812,10938,1,127,2022-02-03,2022,RTH_OPEN,4.2472,2.0,2,0.0,1.0,False,True,-5510.0,860.0,-5990.0,6370.0,7.406976744186046,14
72,10941,10952,1,12,2022-02-03,2022,POST_RTH,5.6688,8.0,9,0.0,0.0,False,True,1530.0,1960.0,-730.0,430.0,0.2193877551020408,5
74,11183,11281,-1,99,2022-02-04,2022,ETH_EUROPE,-3.543,-5.0,-5,0.0,0.0,False,True,1030.0,5755.0,0.0,4725.0,0.8210251954821894,77
76,11734,11773,1,40,2022-02-07,2022,RTH_OPEN,4.9558,3.0,3,0.0,1.0,False,True,-3155.0,630.0,-3155.0,3785.0,6.007936507936508,4
77,11774,11872,-1,99,2022-02-07,2022,RTH_MID,-4.2472,-2.0,-2,0.0,-1.0,False,True,-500.0,1055.0,-2940.0,1555.0,1.4739336492890995,84
79,12218,12332,1,115,2022-02-08,2022,RTH_MID,4.2472,2.0,2,0.0,1.0,False,True,2700.0,2935.0,-55.0,235.0,0.08006814310051108,100
81,13091,13113,-1,23,2022-02-10,2022,US_PREMARKET,-6.3774,-9.0,-10,0.0,0.0,False,True,-440.0,1565.0,-975.0,2005.0,1.281150159744409,13
83,13176,13252,-1,77,2022-02-10,2022,RTH_MID,-3.5473999999999997,-9.0,-10,0.0,1.0,False,True,3030.0,3925.0,-865.0,895.0,0.22802547770700637,60
85,13443,13585,1,143,2022-02-11,2022,ETH_EUROPE,3.543,5.0,5,0.0,0.0,False,True,-1000.0,2035.0,-1610.0,3035.0,1.4914004914004915,132
87,13650,13698,-1,49,2022-02-11,2022,RTH_MID,-3.5386,-1.0,-1,0.0,-1.0,False,True,3060.0,5075.0,0.0,2015.0,0.39704433497536945,43
89,13996,14172,1,177,2022-02-14,2022,ETH_EUROPE,3.543,5.0,5,0.0,0.0,False,True,835.0,3240.0,-2110.0,2405.0,0.7422839506172839,94
91,14952,15078,-1,127,2022-02-16,2022,RTH_OPEN,-6.373,-5.0,-5,0.0,-1.0,False,True,-2930.0,1395.0,-3540.0,4325.0,3.100358422939068,5
93,15199,15552,-1,354,2022-02-17,2022,ETH_ASIA,-3.543,-5.0,-5,0.0,0.0,False,True,7080.0,7580.0,-1125.0,500.0,0.06596306068601583,344
95,15614,15871,1,258,2022-02-18,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,-2650.0,690.0,-2650.0,3340.0,4.840579710144928,54
97,15981,15986,1,6,2022-02-18,2022,RTH_MID,3.5473999999999997,9.0,10,0.0,-1.0,False,True,-1675.0,0.0,-1675.0,0.0,,0
99,15999,16012,1,14,2022-02-18,2022,POST_RTH,3.543,5.0,5,0.0,0.0,False,True,195.0,515.0,0.0,320.0,0.6213592233009708,2
101,16021,16057,-1,37,2022-02-21,2022,POST_RTH,-3.543,-5.0,-5,0.0,0.0,False,True,-1450.0,850.0,-1450.0,2300.0,2.7058823529411766,20
103,16072,16220,1,149,2022-02-21,2022,ETH_ASIA,3.543,5.0,5,0.0,0.0,False,True,-1105.0,1710.0,-1125.0,2815.0,1.6461988304093567,114
