sess,trig,gross_t,net_c1,net_c2
2006-02-21,True,46.0,43.128,41.128
2006-07-05,True,35.0,32.128,30.128
2006-09-05,True,-83.0,-85.872,-87.872
2006-12-29,True,-51.0,-53.872,-55.872
2007-04-10,True,12.0,9.128,7.128
2007-04-11,True,43.0,40.128,38.128
2008-05-27,True,85.0,82.128,80.128
2009-02-18,True,-22.0,-24.872,-26.872
2009-05-06,True,38.0,35.128,33.128
2009-10-16,True,-3.0,-5.872,-7.872
2009-11-18,True,-28.0,-30.872,-32.872
2009-11-19,True,-22.0,-24.872,-26.872
2009-12-30,True,-4.0,-6.872,-8.872
2010-02-22,True,7.0,4.128,2.128
2010-03-19,True,49.0,46.128,44.128
2010-08-06,True,-5.0,-7.872,-9.872
2010-09-08,True,27.0,24.128,22.128
2010-11-09,True,68.0,65.128,63.128
2010-12-27,True,-88.0,-90.872,-92.872
2011-02-17,True,14.0,11.128,9.128
2011-12-28,True,50.0,47.128,45.128
2012-08-15,True,9.0,6.128,4.128
2013-04-29,True,37.0,34.128,32.128
2013-05-08,True,34.0,31.128,29.128
2013-12-02,True,31.0,28.128,26.128
2013-12-30,True,-19.0,-21.872,-23.872
2014-04-23,True,41.0,38.128,36.128
2014-04-24,True,-70.0,-72.872,-74.872
2014-05-05,True,94.0,91.128,89.128
2014-06-02,True,-43.0,-45.872,-47.872
2014-06-11,True,0.0,-2.872,-4.872
2014-08-29,True,-42.0,-44.872,-46.872
2014-11-05,True,11.0,8.128,6.128
2014-11-13,True,-54.0,-56.872,-58.872
2015-02-19,True,36.0,33.128,31.128
2015-02-20,True,-154.0,-156.872,-158.872
2015-10-14,True,-110.0,-112.872,-114.872
2015-10-15,True,149.0,146.128,144.128
2015-11-30,True,46.0,43.128,41.128
2016-03-16,True,106.0,103.128,101.128
2016-03-22,True,58.0,55.128,53.128
2016-06-02,True,-136.0,-138.872,-140.872
2016-06-09,True,-4.0,-6.872,-8.872
2017-01-30,True,-49.0,-51.872,-53.872
2017-02-23,True,74.0,71.128,69.128
2017-05-31,True,-59.0,-61.872,-63.872
2017-10-18,True,4.0,1.1280000000000001,-0.8719999999999999
2017-10-19,True,-119.0,-121.872,-123.872
2017-11-28,True,-33.0,-35.872,-37.872
2017-12-29,True,120.0,117.128,115.128
2018-05-15,True,-77.0,-79.872,-81.872
2018-07-12,True,257.0,254.128,252.128
2018-08-29,True,238.0,235.128,233.128
2019-01-15,True,134.0,131.128,129.128
2019-06-17,True,-50.0,-52.872,-54.872
2019-12-26,True,140.0,137.128,135.128
2020-04-14,True,361.0,358.128,356.128
2020-05-11,True,406.0,403.128,401.128
2020-10-02,True,-621.0,-623.872,-625.872
2020-10-26,True,-736.0,-738.872,-740.872
2021-04-05,True,457.0,454.128,452.128
2022-01-03,True,-624.0,-626.872,-628.872
2022-04-04,True,384.0,381.128,379.128
2023-07-05,True,-31.0,-33.872,-35.872
2023-11-20,True,323.0,320.128,318.128
2024-05-08,True,93.0,90.128,88.128
2024-12-06,True,199.0,196.128,194.128
2025-01-21,True,-356.0,-358.872,-360.872
2025-01-22,True,-25.0,-27.872,-29.872
2025-01-27,True,-357.0,-359.872,-361.872
2025-03-26,True,785.0,782.128,780.128
2025-04-30,True,-2259.0,-2261.872,-2263.872
2025-12-05,True,-325.0,-327.872,-329.872
2025-12-30,True,-264.0,-266.872,-268.872
2025-12-31,True,514.0,511.128,509.128
2026-04-30,True,-1356.0,-1358.872,-1360.872
