trigger_gidx,entry_gidx,sd,dir,deadline_gidx_h20,deadline_gidx,entry_px,exit_px,exit_reason,net
10476,10477,2022-02-02,-1,10493,10493,18271.75,18228.0,session_close,870.64
11266,11267,2022-02-04,1,11286,11286,17926.25,17857.75,60min,-1374.36
13572,13573,2022-02-11,-1,13592,13592,17971.25,17938.75,60min,645.64
18082,18083,2022-02-25,1,18102,18102,17297.0,17436.25,60min,2780.64
18544,18545,2022-02-28,-1,18564,18564,17420.25,17573.5,60min,-3069.36
18660,18661,2022-02-28,1,18678,18678,17590.75,17582.25,session_close,-174.36
19493,19494,2022-03-02,-1,19513,19513,17535.75,17563.0,60min,-549.36
21301,21302,2022-03-08,-1,21321,21321,16539.5,16632.5,60min,-1864.36
21352,21353,2022-03-08,1,21372,21372,16954.75,16836.0,60min,-2379.36
25311,25312,2022-03-21,1,25331,25331,17827.5,17656.25,60min,-3429.36
28062,28063,2022-03-29,-1,28082,28082,18497.75,18490.75,60min,135.64
29895,29896,2022-04-04,1,29915,29915,18388.75,18421.5,60min,650.64
30366,30367,2022-04-05,1,30386,30386,18334.5,18269.75,60min,-1299.36
31259,31260,2022-04-07,1,31279,31279,17874.5,17817.25,60min,-1149.36
32185,32186,2022-04-11,-1,32205,32205,17499.5,17423.75,60min,1510.64
32633,32634,2022-04-12,-1,32653,32653,17527.75,17555.75,60min,-564.36
33105,33106,2022-04-13,1,33125,33125,17461.75,17524.5,60min,1250.64
33559,33560,2022-04-14,-1,33579,33579,17422.75,17413.25,60min,185.64
34007,34008,2022-04-18,1,34027,34027,17279.25,17338.0,60min,1170.64
34593,34594,2022-04-19,-1,34612,34612,17476.25,17464.25,session_close,235.64
34939,34940,2022-04-20,1,34959,34959,17460.25,17405.25,60min,-1104.36
35385,35386,2022-04-21,1,35405,35405,17636.75,17506.75,60min,-2604.36
35953,35954,2022-04-22,1,35973,35973,16782.5,16692.5,60min,-1804.36
36316,36317,2022-04-25,1,36336,36336,16664.75,16705.75,60min,815.64
36888,36889,2022-04-26,-1,36908,36908,16395.25,16194.75,60min,4005.64
37221,37222,2022-04-27,1,37241,37241,16490.75,16377.0,60min,-2279.36
37354,37355,2022-04-27,1,37369,37369,16474.25,16536.75,session_close,1245.64
37695,37696,2022-04-28,1,37715,37715,16502.5,16556.25,60min,1070.64
38153,38154,2022-04-29,-1,38173,38173,16707.5,16550.0,60min,3145.64
39646,39647,2022-05-04,1,39666,39666,16913.25,16863.0,60min,-1009.36
39987,39988,2022-05-05,-1,40007,40007,16543.0,16351.25,60min,3830.64
40019,40020,2022-05-05,1,40039,40039,16300.75,16233.75,60min,-1344.36
46998,46999,2022-05-26,1,47018,47018,15679.5,15625.5,60min,-1084.36
48171,48172,2022-05-31,-1,48191,48191,15959.0,15960.25,60min,-29.36
48194,48195,2022-05-31,1,48214,48214,16000.5,16001.25,60min,10.64
48298,48299,2022-05-31,-1,48318,48318,16015.25,16022.0,60min,-139.36
48652,48653,2022-06-01,-1,48672,48672,15954.25,15915.0,60min,780.64
