T,in_session_calendar,week_key,entry_sd,excluded_reason
2022-03-18,True,202211,2022-03-14,
2022-06-17,True,202224,2022-06-13,
2022-09-16,True,202237,2022-09-12,
2022-12-16,True,202250,2022-12-12,
2023-03-17,True,202311,2023-03-13,
2023-06-16,True,202324,2023-06-12,
2023-09-15,True,202337,2023-09-11,
2023-12-15,True,202350,2023-12-11,
2024-03-15,True,202411,2024-03-11,
2024-06-21,True,202425,2024-06-17,
2024-09-20,True,202438,2024-09-16,
2024-12-20,True,202451,2024-12-16,
2025-03-21,True,202512,2025-03-17,
2025-06-20,True,202525,2025-06-16,
2025-09-19,True,202538,2025-09-15,
2025-12-19,True,202551,2025-12-15,
2026-03-20,True,202612,2026-03-16,
