sess,DUAL_P90_N460,PORT_P90_N460,DUAL_P90_N920,PORT_P90_N920,DUAL_P95_N460,PORT_P95_N460,DUAL_P95_N920,PORT_P95_N920,DUAL_P99_N460,PORT_P99_N460,DUAL_P99_N920,PORT_P99_N920,DUAL_control_1200t_fixed,PORT_control_1200t_fixed
2022-01-03,726.0999999997788,521.3490184969768,726.0999999997788,521.3432762362397,726.0999999997788,521.2560658996105,726.0999999997788,521.6060544632015,726.0999999997788,521.0547051437696,726.0999999997788,521.6922509664117,726.0999999997788,529.0754788112521
2022-01-04,3533.9999999999477,2537.45686733074,3533.9999999999477,2537.428919183866,3533.9999999999477,2537.0044579117994,3533.9999999999477,2538.707886618219,3533.9999999999477,2536.0244153403332,3533.9999999999477,2539.127413463481,3533.9999999999477,2575.0623083865958
2022-01-05,4222.600000000134,3031.880409731545,4222.600000000134,3031.8470158874625,4222.600000000134,3031.3398483245223,4222.600000000134,3033.375190162589,4222.600000000134,3030.1688444302745,4222.600000000134,3033.876461825522,4222.600000000134,3076.813272041241
2022-01-06,-1987.4000000000233,-1426.9784318430236,-1987.4000000000233,-1426.9627147668787,-1987.4000000000233,-1426.7240123525871,-1987.4000000000233,-1427.6819620444771,-1987.4000000000233,-1426.1728701322897,-1987.4000000000233,-1427.9178895069201,-1987.4000000000233,-1448.1264379421775
2022-01-07,-1280.099999999884,-919.1280520288153,-1280.099999999884,-919.1179285362255,-1280.099999999884,-918.9641784302908,-1280.099999999884,-919.5812013751374,-1280.099999999884,-918.609183383394,-1280.099999999884,-919.7331641127208,-1280.099999999884,-932.7496493959907
2022-01-10,3861.800000000094,2772.8214290487363,3861.800000000094,2772.7908885412103,3861.800000000094,2772.3270559038397,3861.800000000094,2774.1884879860277,3861.800000000094,2771.2561084215286,3861.800000000094,2774.6469284984873,3861.800000000094,2813.9150035449193
2022-01-11,-2453.2999999999465,-1761.5005468654388,-2453.2999999999465,-1761.4811452840224,-2453.2999999999465,-1761.1864846052556,-2453.2999999999465,-1762.36900346362,-2453.2999999999465,-1760.506139828635,-2453.2999999999465,-1762.6602386672084,-2453.2999999999465,-1787.6062142514972
2022-01-12,-1155.5999999998794,-829.7354713885512,-1155.5999999998794,-829.7263324868741,-1155.5999999998794,-829.5875358128501,-1155.5999999998794,-830.144548323642,-1155.5999999998794,-829.2670668837086,-1155.5999999998794,-830.2817314652336,-1155.5999999998794,-842.032259075066
2022-01-13,2440.00000000007,1751.9509780099813,2440.00000000007,1751.9316816097632,2440.00000000007,1751.638618365891,2440.00000000007,1752.8147264710594,2440.00000000007,1750.9619619215287,2440.00000000007,1753.1043828101763,2440.00000000007,1777.9151195426052
2022-01-14,891.5000000000109,640.1083183999478,891.5000000000109,640.1012680963435,891.5000000000109,639.994191915232,891.5000000000109,640.4239051839852,891.5000000000109,639.7469627266464,891.5000000000109,640.5297365882158,891.5000000000109,649.5948069968059
