object,percentile,mode,n_placebo,n_triggered,placebo_CDaR_0.95_median,placebo_CDaR_0.95_mean,placebo_worst_day_median,placebo_worst_day_mean,placebo_net_median
A_SOLAR_DUAL_HTF,1,FREEZE,200,12,19082.632142856608,18805.000455356476,-7267.300000000105,-7822.580999999924,152246.3000000258
A_SOLAR_DUAL_HTF,1,FLATTEN,200,12,15453.885714284424,15902.750767855807,-6903.349999999991,-6944.18899999992,166211.55000002563
A_SOLAR_DUAL_HTF,2,FREEZE,200,23,17047.98571428471,17118.065517855972,-7267.300000000003,-7592.891499999932,160688.80000002627
A_SOLAR_DUAL_HTF,2,FLATTEN,200,23,14408.62589285516,14497.75289285528,-7195.7499999998545,-7152.16799999991,186296.6000000264
A_SOLAR_DUAL_HTF,5,FREEZE,200,57,14892.877678570363,15001.651455356283,-7267.300000000047,-7687.765499999921,184542.10000002553
A_SOLAR_DUAL_HTF,5,FLATTEN,200,57,11437.174107141946,11469.111294641834,-7304.59999999986,-7320.024999999901,243666.45000002588
A_SOLAR_DUAL_HTF,10,FREEZE,200,114,12920.363392856283,13083.300464284928,-7267.300000000003,-7670.527999999928,220307.10000002722
A_SOLAR_DUAL_HTF,10,FLATTEN,200,114,9769.957142856132,9858.91341071357,-7219.099999999991,-7257.416499999908,312437.50000002515
B_DAYONLY_DUAL6040,1,FREEZE,200,12,13606.752023368526,13642.735892240493,-6178.50631777585,-6593.23158426105,208394.1047695839
B_DAYONLY_DUAL6040,1,FLATTEN,200,12,13128.418776251925,13359.202881996027,-5446.225578731735,-5804.628121880485,215597.78805918116
B_DAYONLY_DUAL6040,2,FREEZE,200,23,13356.838783660001,13336.495705789603,-6121.16193778701,-6432.048889352702,218698.9656745686
B_DAYONLY_DUAL6040,2,FLATTEN,200,23,12760.070853282992,13256.626422938141,-5475.603821821379,-5722.0358571539655,230756.52600100124
B_DAYONLY_DUAL6040,5,FREEZE,200,57,11268.283675253013,11309.612367857615,-6121.161937786999,-6395.782155489956,261585.92723369176
B_DAYONLY_DUAL6040,5,FLATTEN,200,57,10502.753621074044,10723.362361349598,-5645.979104496613,-5802.164528365146,293455.60105557035
B_DAYONLY_DUAL6040,10,FREEZE,200,114,8775.569393504911,8845.287555343728,-6178.50631777585,-6531.334479871085,305938.8224722649
B_DAYONLY_DUAL6040,10,FLATTEN,200,114,7535.663173100237,7635.747651226186,-5812.817740745311,-5925.449946643983,365365.2156568797
