sess,leg,side,px_1s
2025-08-14,entry,1,23910.75
2025-08-14,exit,-1,23939.75
2025-08-20,entry,-1,23347.0
2025-08-20,exit,1,23335.25
2025-09-02,entry,1,23438.25
2025-09-02,exit,-1,23437.5
2025-09-05,entry,-1,23825.75
2025-09-05,exit,1,23660.75
2025-09-10,entry,-1,23937.25
2025-09-10,exit,1,23887.75
2025-09-11,entry,-1,23948.5
2025-09-11,exit,1,24032.0
2025-09-22,entry,1,24849.25
2025-09-22,exit,-1,25006.5
2025-09-24,entry,-1,24851.0
2025-09-24,exit,1,24728.75
2025-10-02,entry,-1,25121.25
2025-10-02,exit,1,25104.25
2025-10-09,entry,-1,25269.25
2025-10-09,exit,1,25284.25
2025-11-10,entry,1,25599.0
2025-11-10,exit,-1,25717.0
2025-11-17,entry,1,25111.75
2025-11-17,exit,-1,24779.75
2025-11-17,entry,-1,24779.75
2025-11-24,entry,1,24698.75
2025-11-24,exit,-1,24970.0
2025-12-22,entry,-1,25696.5
2025-12-22,exit,1,25698.75
2026-01-23,entry,1,25710.75
2026-01-23,exit,-1,25731.5
2026-02-06,entry,1,24845.0
2026-02-06,exit,-1,25175.0
2026-02-11,entry,-1,25306.5
2026-02-11,exit,1,25298.75
2026-02-18,entry,1,24918.75
2026-02-18,exit,-1,24985.75
2026-02-20,entry,1,24853.5
2026-02-20,exit,-1,25069.25
2026-02-23,entry,-1,24866.5
2026-02-23,exit,1,24720.25
2026-03-03,entry,1,24657.5
2026-03-03,exit,-1,24745.75
2026-03-12,entry,-1,24671.0
2026-03-12,exit,1,24547.0
2026-03-17,entry,1,25059.5
2026-03-17,exit,-1,25008.25
2026-03-20,entry,-1,24399.5
2026-03-20,exit,1,24094.0
2026-04-06,entry,1,24318.5
2026-04-06,exit,-1,24338.5
2026-04-09,entry,1,25234.75
2026-04-09,exit,-1,25248.25
2026-04-17,entry,1,26831.0
2026-04-17,exit,-1,26813.75
2026-04-23,entry,1,27058.5
2026-04-23,exit,-1,26866.25
2026-04-23,entry,-1,26866.25
2026-04-23,exit,1,26915.75
2026-04-28,entry,1,27209.5
2026-04-28,exit,-1,27055.25
2026-04-28,entry,-1,27055.25
2026-04-28,exit,1,27176.25
2026-04-30,entry,-1,27333.75
2026-04-30,exit,1,27586.0
2026-05-06,entry,1,28487.75
2026-05-06,exit,-1,28705.5
2026-05-11,entry,1,29400.0
2026-05-11,exit,-1,29418.75
2026-05-19,entry,1,28996.75
2026-05-19,exit,-1,28730.75
2026-05-19,entry,-1,28730.75
2026-05-19,exit,1,29059.0
2026-05-19,entry,1,29059.0
2026-05-19,exit,-1,28882.0
2026-05-20,entry,1,29185.5
2026-05-20,exit,-1,29366.0
