,"347_C_hyst(3,1)","348_C_hyst(4,1)","349_B_sign_db(enter3,exit0)",350_A_dominant(solar>=5),351_A_dominant(solar>=7),352_E_conflictflat(solar>=5),353_E_conflictflat(solar>=7),"354_G_router_htf(3,1)","355_SM14_ref_oldM(3,1)","356_C_hyst_lowDD(5,2)",357_A_dominant(solar>=9)
2022-01-03,95.39999999999563,33.899999999995636,95.39999999999563,185.59999999999272,-54.500000000013095,185.59999999999272,-54.500000000013095,95.39999999999563,95.39999999999563,122.89999999999563,84.69999999998399
2022-01-04,446.1999999999971,430.1999999999971,404.6999999999971,498.1999999999971,366.59999999999127,498.1999999999971,366.59999999999127,446.1999999999971,446.1999999999971,307.6999999999971,317.09999999999127
2022-01-05,648.8999999999941,451.8999999999942,847.199999999997,627.0999999999912,0.0,627.0999999999912,0.0,648.8999999999941,648.8999999999941,0.0,0.0
2022-01-06,69.19999999999709,33.19999999999709,69.19999999999709,-49.60000000000582,-367.90000000000873,-49.60000000000582,-367.90000000000873,69.19999999999709,69.19999999999709,-454.6000000000058,-368.90000000000873
2022-01-07,73.69999999999709,7.69999999999709,73.69999999999709,-159.40000000000873,0.0,-159.40000000000873,0.0,73.69999999999709,73.69999999999709,0.0,0.0
2022-01-10,565.1999999999971,525.199999999997,565.1999999999971,565.1999999999971,399.3999999999942,565.1999999999971,399.3999999999942,565.1999999999971,565.1999999999971,0.0,0.0
2022-01-11,-289.3000000000029,-391.8000000000029,-289.3000000000029,-204.3000000000029,-416.6000000000058,-204.3000000000029,-416.6000000000058,-289.3000000000029,-289.3000000000029,-417.3000000000029,0.0
2022-01-12,-90.30000000000291,-179.8000000000028,-90.30000000000291,-178.60000000000582,0.0,-178.60000000000582,0.0,-90.30000000000291,-90.30000000000291,0.0,0.0
2022-01-13,535.6999999999971,498.199999999997,535.6999999999971,378.59999999999127,0.0,378.59999999999127,0.0,535.6999999999971,535.6999999999971,0.0,0.0
2022-01-14,104.39999999999418,285.1999999999971,39.39999999999418,79.59999999999127,-84.40000000000873,79.59999999999127,-84.40000000000873,104.39999999999418,104.39999999999418,188.69999999999706,39.89999999999417
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,61.09999999999127,57.39999999999418,61.09999999999127,-32.60000000002037,-146.00000000001452,-32.60000000002037,-146.00000000001452,61.09999999999127,61.09999999999127,0.0,0.0
2022-01-19,-339.6000000000058,-544.1000000000058,-397.1000000000058,-58.60000000000582,34.69999999999709,-58.60000000000582,34.69999999999709,-339.6000000000058,-339.6000000000058,-294.3000000000029,0.0
2022-01-20,-80.30000000000291,-197.8000000000028,-110.80000000000291,-76.10000000000582,32.19999999999706,-76.10000000000582,32.19999999999706,-80.30000000000291,-80.30000000000291,-252.8000000000029,-142.10000000000582
2022-01-21,-290.40000000000873,-262.3000000000029,-267.40000000000873,128.59999999999127,480.1999999999971,-552.0000000000144,-200.4000000000087,-290.40000000000873,-290.40000000000873,0.0,480.1999999999971
2022-01-24,210.09999999999127,-80.10000000000582,631.3999999999942,-637.9000000000087,-637.9000000000087,106.99999999998533,106.99999999998545,210.09999999999127,210.09999999999127,191.1999999999971,-637.9000000000087
2022-01-25,-25.10000000000582,-137.60000000000582,-25.10000000000582,-471.9000000000086,-784.7000000000118,-216.90000000000862,-529.7000000000116,-25.10000000000582,-25.10000000000582,-162.60000000000582,-1407.3000000000175
