sd_entry,sd,down_day,entry_px,exit_px,net
2022-01-03,2022-01-04,False,19865.0,19850.0,-304.36
2022-01-04,2022-01-05,True,19624.5,19490.25,-2689.36
2022-01-05,2022-01-06,True,19134.5,19114.0,-414.36
2022-01-06,2022-01-07,False,19144.5,19107.0,-754.36
2022-01-07,2022-01-10,True,18943.25,18694.75,-4974.36
2022-01-10,2022-01-11,False,18984.5,18915.0,-1394.36
2022-01-11,2022-01-12,False,19192.0,19345.5,3065.64
2022-01-12,2022-01-13,True,19267.75,19323.0,1100.64
2022-01-13,2022-01-14,True,18861.25,18817.5,-879.36
2022-01-14,2022-01-17,False,18977.0,18966.0,-224.36
2022-01-18,2022-01-19,True,18593.75,18662.25,1365.64
2022-01-19,2022-01-20,True,18383.25,18573.25,3795.64
2022-01-20,2022-01-21,True,18056.25,18146.0,1790.64
2022-01-21,2022-01-24,True,17783.25,17551.75,-4634.36
2022-01-24,2022-01-25,False,17848.75,17552.75,-5924.36
2022-01-25,2022-01-26,True,17335.75,17806.5,9410.64
2022-01-26,2022-01-27,True,17463.25,17707.0,4870.64
2022-01-27,2022-01-28,True,17451.5,17375.5,-1524.36
2022-01-28,2022-01-31,False,17796.25,17790.75,-114.36
2022-01-31,2022-02-01,False,18225.0,18255.25,600.64
2022-02-01,2022-02-02,False,18493.25,18470.5,-459.36
2022-02-02,2022-02-03,True,18230.5,18094.0,-2734.36
2022-02-03,2022-02-04,True,18156.0,17839.25,-6339.36
2022-02-04,2022-02-07,False,18012.5,18076.0,1265.64
2022-02-07,2022-02-08,True,17964.0,17906.75,-1149.36
2022-02-08,2022-02-09,False,18106.75,18280.75,3475.64
2022-02-09,2022-02-10,False,18426.25,18140.25,-5724.36
2022-02-10,2022-02-11,True,18046.25,18104.5,1160.64
2022-02-11,2022-02-14,True,17629.0,17563.0,-1324.36
2022-02-14,2022-02-15,False,17621.5,17839.25,4350.64
2022-02-15,2022-02-16,False,17957.5,17856.0,-2034.36
2022-02-16,2022-02-17,False,17962.0,17827.25,-2699.36
2022-02-17,2022-02-18,True,17527.75,17544.5,330.64
2022-02-18,2022-02-21,True,17377.0,17240.25,-2739.36
2022-02-22,2022-02-23,True,17306.0,17358.5,1045.64
2022-02-23,2022-02-24,True,16857.0,16562.75,-5889.36
2022-02-24,2022-02-25,False,17257.75,17292.0,680.64
2022-02-25,2022-02-28,False,17552.25,17450.5,-2039.36
2022-02-28,2022-03-01,False,17585.0,17543.0,-844.36
2022-03-01,2022-03-02,True,17382.75,17435.5,1050.64
2022-03-02,2022-03-03,False,17544.25,17687.0,2850.64
2022-03-03,2022-03-04,True,17407.25,17329.0,-1569.36
2022-03-04,2022-03-07,True,17172.75,17212.25,785.64
2022-03-07,2022-03-08,True,16648.0,16620.25,-559.36
2022-03-08,2022-03-09,True,16553.25,16960.0,8130.64
2022-03-09,2022-03-10,False,17167.0,16868.0,-5984.36
2022-03-10,2022-03-11,False,16940.75,17040.75,1995.64
2022-03-11,2022-03-14,True,16685.25,16616.5,-1379.36
2022-03-14,2022-03-15,True,16443.75,16570.0,2520.64
2022-03-15,2022-03-16,False,16820.25,16998.0,3550.64
2022-03-16,2022-03-17,False,17373.75,17195.75,-3564.36
2022-03-17,2022-03-18,False,17417.5,17424.75,140.64
2022-03-18,2022-03-21,False,17803.25,17754.5,-979.36
2022-03-21,2022-03-22,False,17761.0,17781.75,410.64
2022-03-22,2022-03-23,False,18026.75,17878.5,-2969.36
2022-03-23,2022-03-24,True,17827.5,17863.0,705.64
2022-03-24,2022-03-25,False,18134.75,18142.25,145.64
2022-03-25,2022-03-28,True,18121.75,18155.25,665.64
2022-03-28,2022-03-29,False,18348.75,18577.25,4565.64
2022-03-29,2022-03-30,False,18595.75,18549.5,-929.36
2022-03-30,2022-03-31,True,18471.25,18422.0,-989.36
2022-03-31,2022-04-01,True,18289.75,18297.25,145.64
2022-04-01,2022-04-04,True,18208.5,18280.25,1430.64
2022-04-04,2022-04-05,False,18541.5,18487.5,-1084.36
2022-04-05,2022-04-06,True,18215.5,17976.0,-4794.36
2022-04-06,2022-04-07,True,17867.75,17855.5,-249.36
2022-04-07,2022-04-08,False,17897.5,17809.0,-1774.36
2022-04-08,2022-04-11,True,17701.75,17502.0,-3999.36
2022-04-11,2022-04-12,True,17373.75,17527.75,3075.64
2022-04-12,2022-04-13,True,17321.5,17334.5,255.64
2022-04-13,2022-04-14,False,17587.75,17588.25,5.64
2022-04-14,2022-04-18,True,17255.75,17284.5,570.64
2022-04-18,2022-04-19,False,17342.75,17245.0,-1959.36
2022-04-19,2022-04-20,False,17467.0,17599.5,2645.64
2022-04-20,2022-04-21,True,17428.5,17609.75,3620.64
2022-04-21,2022-04-22,True,17088.75,17093.0,80.64
2022-04-22,2022-04-25,True,16684.0,16669.5,-294.36
2022-04-25,2022-04-26,False,16902.25,16756.5,-2919.36
2022-04-26,2022-04-27,True,16197.25,16455.75,5165.64
2022-04-27,2022-04-28,True,16521.0,16567.0,915.64
2022-04-28,2022-04-29,False,16749.25,16678.0,-1429.36
2022-04-29,2022-05-02,True,16256.75,16246.0,-219.36
2022-05-02,2022-05-03,False,16421.0,16422.0,15.64
2022-05-03,2022-05-04,False,16468.0,16448.75,-389.36
2022-05-04,2022-05-05,False,16864.0,16664.0,-4004.36
2022-05-05,2022-05-06,True,16264.75,16096.25,-3374.36
2022-05-06,2022-05-09,True,16023.5,15806.25,-4349.36
2022-05-09,2022-05-10,True,15567.75,15879.0,6220.64
2022-05-10,2022-05-11,True,15707.75,15664.25,-874.36
2022-05-11,2022-05-12,True,15388.75,15153.25,-4714.36
2022-05-12,2022-05-13,False,15284.75,15504.25,4385.64
2022-05-13,2022-05-16,False,15747.75,15650.0,-1959.36
2022-05-16,2022-05-17,True,15604.25,15854.0,4990.64
2022-05-17,2022-05-18,False,15940.0,15744.75,-3909.36
2022-05-18,2022-05-19,True,15243.0,15268.75,510.64
2022-05-19,2022-05-20,False,15257.25,15366.75,2185.64
2022-05-20,2022-05-23,True,15197.0,15245.25,960.64
2022-05-23,2022-05-24,False,15421.25,15206.75,-4294.36
2022-05-24,2022-05-25,True,15156.5,15135.0,-434.36
2022-05-25,2022-05-26,False,15249.5,15304.25,1090.64
2022-05-26,2022-05-27,False,15628.0,15836.0,4155.64
2022-05-27,2022-05-30,False,16082.5,16132.25,990.64
2022-05-31,2022-06-01,True,16025.0,16145.75,2410.64
2022-06-01,2022-06-02,True,15903.5,15848.75,-1099.36
2022-06-02,2022-06-03,False,16259.25,16057.25,-4044.36
2022-06-03,2022-06-06,True,15924.25,16125.25,4015.64
2022-06-06,2022-06-07,True,15968.25,15822.75,-2914.36
2022-06-07,2022-06-08,False,16056.25,16008.5,-959.36
2022-06-08,2022-06-09,True,15985.75,15903.25,-1654.36
2022-06-09,2022-06-10,True,15647.25,15399.75,-4954.36
2022-06-10,2022-06-13,True,15224.75,14896.0,-6579.36
2022-06-13,2022-06-14,True,14699.25,14725.75,525.64
2022-06-14,2022-06-15,True,14684.5,14833.5,2975.64
2022-06-15,2022-06-16,False,14959.5,14677.0,-5654.36
2022-06-16,2022-06-17,True,14513.5,14592.75,1580.64
2022-06-17,2022-06-20,False,14646.0,14692.25,920.64
2022-06-21,2022-06-22,False,14920.0,14842.5,-1554.36
2022-06-22,2022-06-23,False,14886.5,14979.0,1845.64
2022-06-23,2022-06-24,False,15033.5,15236.75,4060.64
2022-06-24,2022-06-27,False,15448.75,15490.5,830.64
2022-06-27,2022-06-28,True,15404.5,15475.75,1420.64
2022-06-28,2022-06-29,True,15015.0,14954.5,-1214.36
2022-06-29,2022-06-30,False,15024.0,14856.25,-3359.36
2022-06-30,2022-07-01,True,14857.75,14831.75,-524.36
2022-07-01,2022-07-04,False,14940.0,14898.75,-829.36
2022-07-05,2022-07-06,False,15144.75,15198.5,1070.64
2022-07-06,2022-07-07,False,15234.0,15259.25,500.64
2022-07-07,2022-07-08,False,15454.75,15352.75,-2044.36
2022-07-08,2022-07-11,False,15492.75,15382.25,-2214.36
2022-07-11,2022-07-12,True,15243.5,15295.5,1035.64
2022-07-12,2022-07-13,True,15111.0,14870.0,-4824.36
2022-07-13,2022-07-14,False,15068.75,14957.5,-2229.36
2022-07-14,2022-07-15,False,15143.75,15306.5,3250.64
2022-07-15,2022-07-18,False,15348.75,15472.75,2475.64
2022-07-18,2022-07-19,True,15247.5,15389.25,2830.64
2022-07-19,2022-07-20,False,15650.75,15607.0,-879.36
2022-07-20,2022-07-21,False,15761.75,15839.25,1545.64
2022-07-21,2022-07-22,False,15905.0,15911.5,125.64
2022-07-22,2022-07-25,True,15759.25,15772.0,250.64
2022-07-25,2022-07-26,True,15663.25,15579.25,-1684.36
2022-07-26,2022-07-27,True,15508.0,15620.75,2250.64
2022-07-27,2022-07-28,False,15920.5,15968.0,945.64
2022-07-28,2022-07-29,False,16258.5,16122.25,-2729.36
2022-07-29,2022-08-01,False,16304.5,16191.5,-2264.36
2022-08-01,2022-08-02,False,16310.0,16227.0,-1664.36
2022-08-02,2022-08-03,False,16242.25,16367.25,2495.64
2022-08-03,2022-08-04,False,16590.0,16619.75,590.64
2022-08-04,2022-08-05,False,16661.0,16488.25,-3459.36
2022-08-05,2022-08-08,False,16546.5,16634.5,1755.64
2022-08-08,2022-08-09,True,16528.75,16388.5,-2809.36
2022-08-09,2022-08-10,True,16380.75,16635.5,5090.64
2022-08-10,2022-08-11,False,16724.0,16834.0,2195.64
2022-08-11,2022-08-12,True,16676.0,16722.75,930.64
