,nt,tw
2022-01-03,840.8999999999651,870.7
2022-01-04,2689.29999999993,2685.3000000000466
2022-01-05,2846.1999999999825,2847.700000000058
2022-01-06,-1772.8000000000466,-1760.7999999999593
2022-01-07,-1104.5000000000582,-1100.999999999941
2022-01-10,2618.1999999999534,2618.700000000035
2022-01-11,-1643.3000000000247,-1642.2999999999502
2022-01-12,-921.9000000000233,-925.8999999999568
2022-01-13,1661.2999999999593,1649.2999999999763
2022-01-14,609.0999999999767,596.1000000000467
2022-01-17,-176.90000000000873,-189.40000000000964
2022-01-18,217.5999999999476,225.6000000001204
2022-01-19,-237.20000000004075,-239.6999999999225
2022-01-20,-300.800000000032,-304.29999999990105
2022-01-21,-2205.9000000000306,-2198.899999999973
2022-01-24,2748.5999999999767,2768.600000000087
2022-01-25,-2302.8000000000466,-2304.800000000017
2022-01-26,-1504.2000000000116,-1502.1999999998966
2022-01-27,1322.5999999999985,1309.0999999999983
2022-01-28,2168.399999999994,2151.899999999985
2022-01-31,1464.699999999997,1455.700000000009
2022-02-01,-1240.2000000000116,-1235.199999999968
2022-02-02,32.09999999997672,42.60000000001128
2022-02-03,-1892.2000000000116,-1926.1999999999532
2022-02-04,-272.40000000003783,-264.3999999999269
2022-02-07,-2363.3000000000757,-2374.7999999999683
2022-02-08,732.6999999999534,729.7000000000291
2022-02-09,-259.70000000001164,-261.7000000000089
2022-02-10,546.8999999999069,539.4000000001543
2022-02-11,570.9999999999418,570.5000000000691
2022-02-14,-797.4000000000087,-796.4000000000603
2022-02-15,752.7999999999738,753.3000000000322
2022-02-16,-1441.0000000000218,-1456.5000000000614
2022-02-17,4012.2999999999884,4007.300000000038
2022-02-18,-1904.2000000000407,-1907.199999999889
2022-02-21,578.2999999999593,570.3000000000579
2022-02-22,-2040.7000000000407,-510.7999999999706
2022-02-23,4150.499999999971,4149.500000000087
2022-02-24,11232.299999999988,11242.799999999972
2022-02-25,-3401.6000000000204,-3392.099999999984
2022-02-28,-3867.7000000000335,-3879.1999999999553
2022-03-01,-1158.600000000035,-1156.6000000000968
2022-03-02,-2410.7000000000407,-2430.6999999999825
2022-03-03,2027.899999999965,2019.899999999965
2022-03-04,-2373.9000000000306,-2375.899999999961
2022-03-07,1622.799999999981,1612.3000000000466
2022-03-08,-4709.600000000006,-4717.099999999945
2022-03-09,2870.9000000000233,2876.8999999999705
2022-03-10,-1215.3000000000466,-1177.3000000000611
2022-03-11,4594.099999999977,4585.099999999979
2022-03-14,-3334.800000000032,-3352.7999999999374
2022-03-15,3444.7999999999884,3437.7999999999847
2022-03-16,1212.199999999968,1204.1999999999844
2022-03-17,-1233.4000000000378,-1228.8999999998923
2022-03-18,1727.4999999999927,1717.5000000000236
2022-03-21,-1680.1000000000276,-1684.5999999999149
2022-03-22,993.6999999999534,1001.2000000000372
2022-03-23,198.29999999995925,204.80000000006655
2022-03-24,1647.0999999999767,1629.1000000000204
2022-03-25,-886.6000000000276,-888.5999999999785
2022-03-28,302.8999999999578,304.90000000001965
2022-03-29,-1366.100000000013,-1370.6000000000022
2022-03-30,193.29999999998836,191.30000000002477
2022-03-31,69.29999999998108,65.80000000001019
2022-04-01,-1374.600000000064,-1368.5999999999858
2022-04-04,1804.9999999999927,1805.4999999999764
2022-04-05,2150.6999999999534,2152.1999999998934
2022-04-06,-519.6000000000131,-513.0999999999749
2022-04-07,-3188.3000000000175,-3202.29999999999
2022-04-08,106.9999999999709,108.5000000000582
2022-04-11,-879.300000000032,-885.7999999999956
2022-04-12,1909.799999999952,1908.3000000000704
2022-04-13,2566.5999999999767,2565.599999999904
2022-04-14,4453.399999999994,4441.899999999832
2022-04-18,495.39999999993597,488.4000000002016
2022-04-19,-465.70000000006985,-465.19999999995343
2022-04-20,323.5999999999549,319.1000000000895
2022-04-21,2424.499999999942,2430.5000000000477
2022-04-22,7.899999999935972,9.400000000085129
2022-04-25,1492.0999999999767,1520.6000000000422
2022-04-26,9805.199999999983,9791.19999999992
2022-04-27,-1663.1000000000495,-1653.099999999864
2022-04-28,-1131.9000000000524,-1123.3999999999469
2022-04-29,136.4999999999709,126.50000000003274
2022-05-02,-1591.6000000000058,-1595.599999999933
2022-05-03,-2558.8000000000466,-2549.29999999989
2022-05-04,-2528.6000000000276,-2536.600000000075
2022-05-05,8394.999999999935,8384.999999999662
2022-05-06,-4694.400000000038,-4681.399999999841
2022-05-09,-1056.200000000019,-1055.1999999999534
2022-05-10,-1006.4000000000378,-1022.3999999999504
2022-05-11,-2619.700000000026,-2609.69999999991
2022-05-12,-2481.2000000000553,-2513.199999999939
2022-05-13,2899.899999999994,2891.900000000027
2022-05-16,-1951.600000000064,-1945.099999999908
2022-05-17,-252.40000000003783,-245.39999999995047
2022-05-18,10446.399999999994,10432.399999999809
2022-05-19,-1148.3000000000393,-1155.2999999999156
2022-05-20,1646.399999999965,1648.900000000078
2022-05-23,-3529.9000000000524,-3542.9000000000087
2022-05-24,26.999999999970896,-9.458744898438454e-11
2022-05-25,-1044.600000000064,-1053.0999999999694
2022-05-26,2967.9999999999854,2944.999999999985
2022-05-27,1568.099999999984,1573.0999999999876
2022-05-30,-369.50000000001455,-366.0000000000037
2022-05-31,-520.9000000000815,-518.8999999999869
2022-06-01,-1671.6000000000276,-1683.599999999984
2022-06-02,2684.8999999999505,2680.400000000016
2022-06-03,2671.1999999999825,2666.1999999998006
2022-06-06,-1080.0000000000437,-1087.9999999999272
2022-06-07,1960.6999999999534,1961.2000000000555
2022-06-08,-1617.9000000000524,-1624.8999999999503
2022-06-09,-1337.100000000035,-1341.6000000000022
2022-06-10,-898.2000000000335,-897.7000000000116
2022-06-13,-2451.200000000048,-2463.699999999993
2022-06-14,-3255.2000000000553,-3255.699999999899
2022-06-15,-251.00000000003638,-252.99999999992724
2022-06-16,2057.499999999971,2055.000000000084
2022-06-17,-337.1000000000349,-345.599999999984
2022-06-20,-478.80000000001746,-501.3000000000102
2022-06-21,-59.600000000034925,-64.59999999999854
2022-06-22,1963.7999999999447,1960.2999999999884
2022-06-23,-994.2000000000407,-991.7000000000008
2022-06-24,1462.7999999999956,1456.800000000003
2022-06-27,-479.80000000004657,-481.30000000028303
2022-06-28,700.3999999999505,718.9000000000269
2022-06-29,-1625.2000000000407,-1611.700000000008
2022-06-30,-2396.2000000000626,-2402.199999999932
2022-07-01,-104.70000000004075,-100.6999999999898
2022-07-04,-93.60000000000582,-101.09999999999854
2022-07-05,1723.299999999952,1735.299999999992
2022-07-06,-3804.500000000058,-3811.999999999909
2022-07-07,1611.9999999999854,1608.0000000000257
2022-07-08,-1382.5000000000655,-1381.4999999999309
2022-07-11,1038.0999999999767,1045.1000000000204
2022-07-12,-532.1000000000349,-521.5999999999949
2022-07-13,-1576.9000000000233,-1592.8999999999503
2022-07-14,-807.0,-804.4999999999418
2022-07-15,-683.3000000000247,-692.7999999999811
2022-07-18,1262.9999999999854,1265.0000000000073
2022-07-19,3869.499999999971,3868.0000000000327
2022-07-20,-20.30000000002474,-22.80000000000291
2022-07-21,-1786.4000000000306,-1780.399999999965
2022-07-22,-240.50000000002183,-240.4999999999636
2022-07-25,-662.5000000000437,-656.9999999999272
2022-07-26,990.0000000000073,988.4999999999708
2022-07-27,3261.899999999987,3253.4000000000306
2022-07-28,2471.2999999999884,2465.3000000000648
2022-07-29,-543.8000000000175,-551.2999999999956
2022-08-01,-363.40000000003783,-360.8999999999869
2022-08-02,184.9999999999709,186.50000000006912
2022-08-03,5280.499999999971,5279.499999999927
2022-08-04,-1931.000000000029,-1925.9999999999452
2022-08-05,186.39999999997963,186.90000000004875
2022-08-08,-362.5000000000218,-361.00000000001455
2022-08-09,15.10000000000582,14.599999999994909
2022-08-10,-132.0000000000291,-136.5000000000109
2022-08-11,1082.1999999999825,1078.2000000000262
2022-08-12,1615.6999999999534,1584.6999999999534
2022-08-15,187.79999999998836,189.3000000000102
2022-08-16,-819.9000000000306,-816.3999999998778
2022-08-17,-1120.9000000000306,-1130.4000000000233
2022-08-18,-1737.5000000000146,-1746.9999999999309
2022-08-19,1045.299999999981,1045.3000000000357
2022-08-22,825.5999999999622,823.6000000000568
2022-08-23,-1651.9000000000524,-1656.8999999999687
2022-08-24,-813.9000000000378,-805.8999999999396
2022-08-25,-288.90000000000873,-290.89999999998327
2022-08-26,5774.199999999968,5775.200000000044
2022-08-29,-1942.9000000000524,-1937.8999999999944
2022-08-30,1507.8999999999578,1507.4000000000524
2022-08-31,-940.100000000064,-946.5999999999184
2022-09-01,-944.7000000000116,-943.1999999999751
2022-09-02,3443.7999999999884,3437.799999999879
2022-09-05,-381.00000000001455,-377.9999999999855
2022-09-06,591.6999999999534,586.7000000000044
2022-09-07,2884.1999999999825,2874.199999999997
2022-09-08,-1970.3000000000466,-1927.299999999996
2022-09-09,542.5999999999694,534.1000000000058
2022-09-12,-681.9000000000378,-682.8999999999651
2022-09-13,4634.6999999999825,4630.700000000019
2022-09-14,-1189.0000000000582,-1180.0000000000146
2022-09-15,-168.9000000000524,-179.40000000017608
2022-09-16,-804.6000000000349,-803.0999999999403
2022-09-19,-447.0000000000364,-441.99999999989086
2022-09-20,-495.00000000004366,-493.9999999999272
2022-09-21,-2390.9000000000233,-2409.400000000001
2022-09-22,-1378.5000000000437,-1380.9999999999343
2022-09-23,673.8999999999796,660.9000000000378
2022-09-26,-2850.70000000007,-2858.699999999939
2022-09-27,-1610.6000000000422,-1610.5999999999804
2022-09-28,1357.7999999999738,1357.7999999999774
2022-09-29,2930.099999999962,2926.599999999962
2022-09-30,-1884.5000000000437,-1887.0
2022-10-03,2584.899999999994,2575.4000000000306
2022-10-04,474.599999999984,472.099999999984
2022-10-05,-1371.0000000000073,-1372.4999999999636
2022-10-06,-2103.100000000035,-2106.099999999955
2022-10-07,351.2999999999811,351.29999999999563
2022-10-10,-706.5000000000364,-704.5000000000218
2022-10-11,-1343.4000000000597,-1335.399999999914
2022-10-12,-2171.100000000035,-2167.099999999973
2022-10-13,2468.29999999993,2470.800000000123
2022-10-14,4677.200000000012,4677.699999999975
2022-10-17,2503.100000000006,2504.600000000006
2022-10-18,1207.299999999952,1214.2999999998065
2022-10-19,-188.70000000001164,-186.69999999988795
2022-10-20,-1056.8000000000393,-1054.299999999981
2022-10-21,3269.2999999999884,3268.300000000076
