section,n_top_days,top_decile_threshold,wait_mean,wait_median,wait_p75,wait_p90,wait_p95,wait_max,wait_sessions,n,wait_min,champ_uw_depth_mean,champ_uw_depth_max,champ_uw_days_mean,champ_uw_days_max,dual_uw_depth_mean,dual_uw_days_mean,start_top_day,end_top_day,champ_max_uw_depth,champ_uw_days,dual_max_uw_depth,dual_uw_days
wait_distribution,114.0,2494.1800000000258,9.929203539823009,6.0,14.0,21.799999999999997,32.39999999999999,47.0,,,,,,,,,,,,,,,
quartile_summary,,,,,,,,3.0,Q1_short,35.0,1.0,4952.820000000639,16251.600000003615,1.4,3.0,5725.4228571421945,1.4,,,,,,
quartile_summary,,,,,,,,6.0,Q2,24.0,4.0,5536.733333333842,13044.900000000314,4.083333333333333,6.0,6786.862499998763,4.208333333333333,,,,,,
quartile_summary,,,,,,,,14.0,Q3,28.0,7.0,7798.435714286512,15634.300000000629,9.357142857142858,14.0,10701.749999998467,9.892857142857142,,,,,,
quartile_summary,,,,,,,,47.0,Q4_long,26.0,15.0,7667.38076923178,18894.300000003248,23.346153846153847,46.0,9448.819230768062,23.73076923076923,,,,,,
drought,,,,,,,,,1,,,,,,,,,2022-01-04,2022-01-05,0.0,0.0,0.0,0.0
drought,,,,,,,,,3,,,,,,,,,2022-01-05,2022-01-10,2877.300000000105,3.0,3267.4999999999072,2.0
drought,,,,,,,,,10,,,,,,,,,2022-01-10,2022-01-24,3257.100000000428,10.0,5935.499999999522,9.0
drought,,,,,,,,,4,,,,,,,,,2022-01-24,2022-01-28,4315.500000000509,4.0,494.7999999999538,1.0
drought,,,,,,,,,14,,,,,,,,,2022-01-28,2022-02-17,5736.000000000161,13.0,5356.199999999908,14.0
drought,,,,,,,,,5,,,,,,,,,2022-02-17,2022-02-24,4985.00000000056,4.0,4831.699999999564,4.0
drought,,,,,,,,,9,,,,,,,,,2022-02-24,2022-03-09,14271.40000000022,9.0,15972.099999999247,9.0
drought,,,,,,,,,2,,,,,,,,,2022-03-09,2022-03-11,12615.800000000243,2.0,10365.499999999298,2.0
drought,,,,,,,,,2,,,,,,,,,2022-03-11,2022-03-15,11356.500000000298,2.0,9332.099999999233,2.0
drought,,,,,,,,,7,,,,,,,,,2022-03-15,2022-03-24,7932.90000000038,7.0,9846.599999998993,7.0
drought,,,,,,,,,15,,,,,,,,,2022-03-24,2022-04-14,8632.700000000848,14.0,12417.599999998627,15.0
drought,,,,,,,,,4,,,,,,,,,2022-04-14,2022-04-21,465.70000000006985,2.0,8862.299999998413,4.0
drought,,,,,,,,,3,,,,,,,,,2022-04-21,2022-04-26,0.0,0.0,8388.29999999818,2.0
drought,,,,,,,,,7,,,,,,,,,2022-04-26,2022-05-05,9337.500000000211,7.0,9731.199999999768,7.0
drought,,,,,,,,,6,,,,,,,,,2022-05-05,2022-05-13,12800.400000000453,6.0,11644.399999999805,6.0
drought,,,,,,,,,3,,,,,,,,,2022-05-13,2022-05-18,12104.50000000056,3.0,11162.999999999702,2.0
drought,,,,,,,,,12,,,,,,,,,2022-05-18,2022-06-03,5707.500000000786,11.0,5828.299999999872,11.0
drought,,,,,,,,,32,,,,,,,,,2022-06-03,2022-07-19,14608.200000001016,31.0,21743.5999999986,32.0
drought,,,,,,,,,7,,,,,,,,,2022-07-19,2022-07-28,12185.40000000118,7.0,19806.89999999835,7.0
drought,,,,,,,,,4,,,,,,,,,2022-07-28,2022-08-03,6369.400000001253,4.0,14342.89999999823,4.0
drought,,,,,,,,,7,,,,,,,,,2022-08-03,2022-08-12,3127.9000000014057,7.0,10443.599999998201,7.0
drought,,,,,,,,,10,,,,,,,,,2022-08-12,2022-08-26,4804.300000001713,9.0,10252.299999997726,10.0
drought,,,,,,,,,12,,,,,,,,,2022-08-26,2022-09-13,2319.8000000001703,8.0,8747.89999999747,12.0
drought,,,,,,,,,12,,,,,,,,,2022-09-13,2022-09-29,10661.300000000425,12.0,11399.999999997173,12.0
drought,,,,,,,,,2,,,,,,,,,2022-09-29,2022-10-03,8257.900000000533,2.0,8070.299999997049,2.0
drought,,,,,,,,,9,,,,,,,,,2022-10-03,2022-10-14,12542.200000000747,9.0,13704.39999999688,9.0
drought,,,,,,,,,1,,,,,,,,,2022-10-14,2022-10-17,2893.600000000799,1.0,7269.499999996675,1.0
drought,,,,,,,,,4,,,,,,,,,2022-10-17,2022-10-21,2931.800000000898,3.0,7785.999999996722,4.0
drought,,,,,,,,,5,,,,,,,,,2022-10-21,2022-10-28,3847.100000000115,4.0,9077.099999996623,5.0
drought,,,,,,,,,9,,,,,,,,,2022-10-28,2022-11-10,8718.700000000106,8.0,14607.09999999625,9.0
drought,,,,,,,,,14,,,,,,,,,2022-11-10,2022-11-30,3007.300000000425,13.0,6131.699999995988,14.0
drought,,,,,,,,,16,,,,,,,,,2022-11-30,2022-12-22,4418.200000000186,15.0,5782.599999995487,15.0
drought,,,,,,,,,4,,,,,,,,,2022-12-22,2022-12-29,2901.300000000105,4.0,3022.899999999965,3.0
drought,,,,,,,,,22,,,,,,,,,2022-12-29,2023-01-31,4795.5000000003565,20.0,4811.599999999926,20.0
drought,,,,,,,,,5,,,,,,,,,2023-01-31,2023-02-07,2852.200000000077,3.0,5060.000000000087,5.0
drought,,,,,,,,,32,,,,,,,,,2023-02-07,2023-03-23,7934.300000000643,28.0,14550.99999999933,32.0
drought,,,,,,,,,15,,,,,,,,,2023-03-23,2023-04-13,7433.400000000773,14.0,12478.899999998983,15.0
drought,,,,,,,,,10,,,,,,,,,2023-04-13,2023-04-27,5001.900000001253,10.0,10651.499999998548,10.0
drought,,,,,,,,,19,,,,,,,,,2023-04-27,2023-05-24,6660.300000001713,19.0,11802.499999998232,19.0
drought,,,,,,,,,11,,,,,,,,,2023-05-24,2023-06-08,7533.000000002154,11.0,8895.299999997496,11.0
drought,,,,,,,,,2,,,,,,,,,2023-06-08,2023-06-12,4164.900000002235,2.0,4741.599999997354,2.0
drought,,,,,,,,,11,,,,,,,,,2023-06-12,2023-06-27,5121.500000002343,11.0,3806.599999996881,10.0
drought,,,,,,,,,41,,,,,,,,,2023-06-27,2023-08-23,5442.000000003216,39.0,3917.6999999997424,34.0
drought,,,,,,,,,1,,,,,,,,,2023-08-23,2023-08-24,0.0,0.0,0.0,0.0
drought,,,,,,,,,19,,,,,,,,,2023-08-24,2023-09-20,3681.2000000002226,16.0,4950.89999999939,18.0
drought,,,,,,,,,25,,,,,,,,,2023-09-20,2023-10-25,4172.400000000271,21.0,8298.399999999128,25.0
drought,,,,,,,,,12,,,,,,,,,2023-10-25,2023-11-10,3804.200000000288,11.0,10059.299999998831,12.0
drought,,,,,,,,,19,,,,,,,,,2023-11-10,2023-12-07,2149.5000000003274,17.0,4805.499999998683,19.0
drought,,,,,,,,,20,,,,,,,,,2023-12-07,2024-01-08,1228.100000000064,14.0,3651.1999999979816,17.0
drought,,,,,,,,,18,,,,,,,,,2024-01-08,2024-02-01,7453.80000000033,16.0,4471.799999999363,18.0
drought,,,,,,,,,25,,,,,,,,,2024-02-01,2024-03-07,10051.20000000087,25.0,5274.499999998712,25.0
drought,,,,,,,,,34,,,,,,,,,2024-03-07,2024-04-25,10909.100000001607,33.0,3360.6999999997424,30.0
drought,,,,,,,,,3,,,,,,,,,2024-04-25,2024-04-30,1024.3000000000757,2.0,1923.9999999999563,2.0
drought,,,,,,,,,23,,,,,,,,,2024-04-30,2024-05-31,4765.400000000314,22.0,4162.099999999307,20.0
drought,,,,,,,,,43,,,,,,,,,2024-05-31,2024-07-31,6434.800000000367,38.0,6485.800000000323,38.0
drought,,,,,,,,,1,,,,,,,,,2024-07-31,2024-08-01,0.0,0.0,0.0,0.0
drought,,,,,,,,,2,,,,,,,,,2024-08-01,2024-08-05,3945.1000000000204,1.0,3025.4999999999127,1.0
drought,,,,,,,,,3,,,,,,,,,2024-08-05,2024-08-08,5302.699999999997,2.0,4627.79999999993,2.0
drought,,,,,,,,,15,,,,,,,,,2024-08-08,2024-08-29,1757.6000000002095,11.0,3862.2999999992317,14.0
drought,,,,,,,,,3,,,,,,,,,2024-08-29,2024-09-03,1150.9000000000524,2.0,878.0999999998749,2.0
drought,,,,,,,,,4,,,,,,,,,2024-09-03,2024-09-09,3004.800000000105,3.0,5055.199999999852,4.0
drought,,,,,,,,,8,,,,,,,,,2024-09-09,2024-09-19,9874.500000000276,8.0,11460.299999999377,8.0
drought,,,,,,,,,13,,,,,,,,,2024-09-19,2024-10-08,11338.500000000815,13.0,9354.39999999886,13.0
drought,,,,,,,,,46,,,,,,,,,2024-10-08,2024-12-11,9328.100000001024,46.0,17250.699999997152,46.0
drought,,,,,,,,,7,,,,,,,,,2024-12-11,2024-12-20,1377.400000003181,4.0,14330.299999996743,7.0
drought,,,,,,,,,18,,,,,,,,,2024-12-20,2025-01-17,6717.300000000963,18.0,17454.29999999616,18.0
drought,,,,,,,,,6,,,,,,,,,2025-01-17,2025-01-27,2305.600000001272,5.0,12923.099999996004,6.0
drought,,,,,,,,,5,,,,,,,,,2025-01-27,2025-02-03,5242.500000000233,5.0,9222.999999995489,5.0
drought,,,,,,,,,5,,,,,,,,,2025-02-03,2025-02-10,4277.600000000399,5.0,6186.199999995792,5.0
drought,,,,,,,,,9,,,,,,,,,2025-02-10,2025-02-21,5408.5000000008,8.0,8253.299999994953,9.0
drought,,,,,,,,,4,,,,,,,,,2025-02-21,2025-02-27,3937.0000000003056,3.0,10694.299999994997,4.0
drought,,,,,,,,,2,,,,,,,,,2025-02-27,2025-03-03,0.0,0.0,3480.7999999955064,1.0
drought,,,,,,,,,5,,,,,,,,,2025-03-03,2025-03-10,11544.600000000253,5.0,3819.0999999999767,4.0
drought,,,,,,,,,12,,,,,,,,,2025-03-10,2025-03-26,13942.900000000416,12.0,9719.200000000157,12.0
drought,,,,,,,,,5,,,,,,,,,2025-03-26,2025-04-02,10800.30000000076,5.0,7298.800000000221,5.0
drought,,,,,,,,,3,,,,,,,,,2025-04-02,2025-04-07,15261.600000000893,3.0,15741.500000000058,3.0
drought,,,,,,,,,1,,,,,,,,,2025-04-07,2025-04-08,0.0,0.0,0.0,0.0
drought,,,,,,,,,1,,,,,,,,,2025-04-08,2025-04-09,0.0,0.0,0.0,0.0
drought,,,,,,,,,1,,,,,,,,,2025-04-09,2025-04-10,0.0,0.0,0.0,0.0
drought,,,,,,,,,9,,,,,,,,,2025-04-10,2025-04-24,7163.40000000014,8.0,11997.800000000381,9.0
drought,,,,,,,,,4,,,,,,,,,2025-04-24,2025-04-30,6034.400000000111,4.0,11397.400000000547,4.0
drought,,,,,,,,,2,,,,,,,,,2025-04-30,2025-05-02,6388.600000000151,2.0,5534.900000000576,2.0
drought,,,,,,,,,6,,,,,,,,,2025-05-02,2025-05-12,13044.900000000314,6.0,8096.90000000046,6.0
drought,,,,,,,,,19,,,,,,,,,2025-05-12,2025-06-06,13205.400000000722,19.0,8119.999999999767,19.0
drought,,,,,,,,,6,,,,,,,,,2025-06-06,2025-06-16,11202.400000001478,6.0,5105.599999999249,6.0
drought,,,,,,,,,33,,,,,,,,,2025-06-16,2025-07-31,18894.300000003248,33.0,12821.299999997922,33.0
drought,,,,,,,,,2,,,,,,,,,2025-07-31,2025-08-04,16251.600000003615,2.0,10384.899999998132,2.0
drought,,,,,,,,,2,,,,,,,,,2025-08-04,2025-08-06,11841.800000003743,2.0,6026.599999998201,2.0
drought,,,,,,,,,47,,,,,,,,,2025-08-06,2025-10-10,8981.700000004057,42.0,3536.7999999993044,37.0
drought,,,,,,,,,5,,,,,,,,,2025-10-10,2025-10-17,2878.800000000192,3.0,0.0,0.0
drought,,,,,,,,,13,,,,,,,,,2025-10-17,2025-11-05,3008.50000000032,8.0,4185.799999999435,11.0
drought,,,,,,,,,2,,,,,,,,,2025-11-05,2025-11-07,0.0,0.0,0.0,0.0
drought,,,,,,,,,5,,,,,,,,,2025-11-07,2025-11-14,1351.2000000000698,2.0,1053.400000000227,4.0
drought,,,,,,,,,4,,,,,,,,,2025-11-14,2025-11-20,8393.100000000239,3.0,8284.099999999977,3.0
drought,,,,,,,,,2,,,,,,,,,2025-11-20,2025-11-24,6265.400000000111,2.0,2600.6999999999825,1.0
drought,,,,,,,,,14,,,,,,,,,2025-11-24,2025-12-12,15634.300000000629,14.0,11725.299999999872,14.0
drought,,,,,,,,,3,,,,,,,,,2025-12-12,2025-12-17,11022.400000000926,3.0,9368.299999999697,3.0
drought,,,,,,,,,2,,,,,,,,,2025-12-17,2025-12-19,6744.600000001054,2.0,4739.199999999517,2.0
drought,,,,,,,,,21,,,,,,,,,2025-12-19,2026-01-21,7879.800000001647,21.0,7636.099999998056,21.0
