sess,net,contracts
2022-01-03,692.3999999996158,94
2022-01-04,4246.999999999773,70
2022-01-05,2426.0000000001637,70
2022-01-06,-2613.5000000001746,80
2022-01-07,-1837.8999999999041,66
2022-01-10,4011.7000000000844,62
2022-01-11,-2344.900000000215,46
2022-01-12,-1906.799999999977,52
2022-01-13,1959.3000000000643,58
2022-01-14,-224.00000000002365,80
2022-01-17,-427.0999999999649,14
2022-01-18,4.200000000052114,102
2022-01-19,202.79999999987967,48
2022-01-20,693.0999999999949,36
2022-01-21,-4264.500000000149,70
2022-01-24,7138.599999999989,66
2022-01-25,3546.79999999993,58
2022-01-26,2481.299999999839,48
2022-01-27,-694.699999999948,48
2022-01-28,2719.8000000000266,48
2022-01-31,-861.4999999999927,10
2022-02-01,-1363.2999999999956,32
2022-02-02,581.4999999999891,70
2022-02-03,-268.29999999998836,52
2022-02-04,962.5999999997675,66
2022-02-07,-2698.6999999999316,48
2022-02-08,19.500000000060027,50
2022-02-09,-491.0999999999767,14
2022-02-10,2206.8999999997777,94
2022-02-11,-1200.6000000000513,54
2022-02-14,-930.599999999904,44
2022-02-15,989.1000000000222,26
2022-02-16,-1230.9000000000833,56
2022-02-17,4486.699999999946,42
2022-02-18,-3822.6000000002823,84
2022-02-21,1471.699999999917,32
2022-02-22,2395.499999999789,80
2022-02-23,4661.199999999924,42
2022-02-24,10642.799999999745,68
2022-02-25,-4906.799999999945,42
2022-02-28,-6846.000000000153,60
2022-03-01,-555.4000000001397,56
2022-03-02,-2500.0999999999585,64
2022-03-03,437.50000000001455,50
2022-03-04,-1103.9999999999927,60
2022-03-07,-365.800000000012,32
2022-03-08,-1531.500000000011,90
2022-03-09,7179.100000000022,26
2022-03-10,-465.7000000002954,48
2022-03-11,6051.899999999936,44
2022-03-14,-3494.599999999933,54
2022-03-15,3788.1000000001077,56
2022-03-16,688.1000000000386,36
2022-03-17,-2929.600000000086,54
2022-03-18,92.10000000002037,26
2022-03-21,-518.5000000001055,70
2022-03-22,-1235.4999999999272,30
2022-03-23,1412.1999999998152,62
2022-03-24,2716.4999999999054,60
2022-03-25,-825.2000000001281,68
2022-03-28,-1881.2999999999156,52
2022-03-29,-2046.7999999999702,42
2022-03-30,-235.7000000001135,58
2022-03-31,-215.39999999982683,66
2022-04-01,-1600.1999999999534,68
2022-04-04,-654.200000000008,18
2022-04-05,3171.0999999997366,66
2022-04-06,1695.3000000003085,98
2022-04-07,-1136.9000000000378,66
2022-04-08,-94.99999999994179,60
2022-04-11,-2035.8000000000284,42
2022-04-12,1683.8999999999942,64
2022-04-13,999.8000000001157,48
2022-04-14,3457.1999999999425,42
2022-04-18,1817.2999999999774,78
2022-04-19,-1956.300000000163,72
2022-04-20,-1332.2999999999665,72
2022-04-21,4046.0000000001164,50
2022-04-22,-3395.8999999999396,56
2022-04-25,-193.4999999999891,80
2022-04-26,10601.099999999802,46
2022-04-27,-1368.1999999998807,98
2022-04-28,-808.3000000000538,52
2022-04-29,-1535.2999999999956,42
2022-05-02,-2561.700000000128,98
2022-05-03,-3959.599999999795,64
2022-05-04,-1744.3000000000902,62
2022-05-05,7150.29999999969,58
2022-05-06,-1745.5000000000036,90
2022-05-09,-770.3000000000138,32
2022-05-10,-788.1999999998916,68
2022-05-11,-2811.699999999895,68
2022-05-12,-2213.7999999999556,62
2022-05-13,1233.1999999999825,22
2022-05-16,-2927.3999999998487,76
2022-05-17,1624.4000000000997,64
2022-05-18,10827.89999999978,34
2022-05-19,-2018.1999999998734,78
2022-05-20,1159.100000000013,56
2022-05-23,-3179.099999999962,54
2022-05-24,-560.5000000000509,60
2022-05-25,-2729.6999999999643,68
2022-05-26,2149.600000000075,56
2022-05-27,1475.9999999999673,30
2022-05-30,-365.09999999998035,14
2022-05-31,-712.6000000001768,114
2022-06-01,-1466.599999999973,54
2022-06-02,1684.9999999999673,50
2022-06-03,3261.699999999739,62
2022-06-06,-44.69999999997526,48
2022-06-07,604.9000000000815,54
2022-06-08,-1206.5999999998603,64
2022-06-09,-2004.2999999999993,62
2022-06-10,-3061.4000000000306,46
2022-06-13,-1628.1000000000167,44
2022-06-14,-3601.8999999999687,66
2022-06-15,-3186.9999999999454,70
2022-06-16,-1061.2999999999556,42
2022-06-17,-2297.0999999998894,64
2022-06-20,-836.9999999999854,20
2022-06-21,-466.89999999994325,36
2022-06-22,2422.6000000000276,66
2022-06-23,-1118.8999999998778,76
2022-06-24,798.7999999999774,18
2022-06-27,-1311.8999999999596,76
2022-06-28,1217.6000000000367,56
2022-06-29,-3106.6999999998498,78
2022-06-30,127.90000000012697,74
2022-07-01,-766.9999999999709,50
2022-07-04,-435.7999999999538,12
2022-07-05,1373.5000000000673,80
2022-07-06,-6086.4999999999145,100
2022-07-07,1440.1000000000895,26
2022-07-08,-1902.0999999998203,84
2022-07-11,1850.1000000001968,56
2022-07-12,247.10000000003674,56
2022-07-13,-4082.2999999999265,72
2022-07-14,1249.600000000064,46
2022-07-15,-1310.2000000000044,38
2022-07-18,2740.4999999998936,40
2022-07-19,4466.200000000098,52
2022-07-20,-2159.599999999982,74
2022-07-21,-1591.5999999998712,64
2022-07-22,93.00000000002183,30
2022-07-25,-1353.49999999992,50
2022-07-26,807.7000000001299,32
2022-07-27,201.09999999996035,56
2022-07-28,3978.300000000063,58
2022-07-29,-1287.4999999999945,40
2022-08-01,-1250.000000000011,80
2022-08-02,-192.19999999981883,68
2022-08-03,4905.099999999913,36
2022-08-04,-1669.2999999999665,62
2022-08-05,360.199999999988,62
2022-08-08,703.3999999999596,54
2022-08-09,-167.8999999999087,46
2022-08-10,402.1000000001186,56
2022-08-11,1651.2999999999356,48
