seed,feasible,n_scaled_days,dcdar_s0.65,dtuw_s0.65,dcdar_s0.75,dtuw_s0.75,dcdar_s0.85,dtuw_s0.85
1,True,216,-995.1813199727858,38,-654.888242985613,1,-357.54833400878124,1
2,True,216,899.5040775752459,38,787.1877633024469,1,527.6638802539528,1
3,True,216,-1287.9859044570476,38,-850.1975708769041,38,-472.99278336813586,15
4,True,216,688.9308637525719,48,567.2941153877018,0,385.41913175130685,0
5,True,216,-32.65318163046868,41,39.86392874796911,38,56.52874221194725,15
6,True,216,678.2453308523254,38,494.39616367261624,15,300.214294963469,1
7,True,216,-272.1578391986586,0,-185.00183364639452,0,-100.64038590217388,0
8,True,216,1327.2857546504874,18,1087.24956537248,15,703.8148696035041,1
9,True,216,206.90069944555944,0,157.52950971477185,0,99.96627725753933,0
10,True,216,388.76913238668567,38,378.878049004632,15,273.9743377634968,1
11,True,216,-493.2232339077109,0,-83.19356682503167,0,118.124440135025,0
12,True,216,-1321.222447745211,38,-877.2623165323821,1,-484.2718837812463,1
13,True,216,-723.1719026737628,38,-497.4607451946358,1,-287.20558689498466,0
14,True,216,128.15105765572662,2,177.2131324469483,1,137.10535557175717,1
15,True,216,-40.985478412698285,0,57.87338541549252,0,80.86029808822423,0
16,True,216,384.9223977546135,0,281.29303921254905,0,176.74181842449798,0
17,True,216,-1124.0632899855937,18,-750.8563333670209,15,-411.4952645097583,1
18,True,216,-633.7389206956723,0,-436.5520551692425,0,-246.43909024441928,0
19,True,216,-1595.8838333064996,0,-1080.210864815237,0,-607.0253946578559,0
20,True,216,372.0452874435341,2,408.92885079298503,1,316.7893727047049,1
21,True,216,503.8284657455115,38,402.7114750618439,18,267.26878496412064,1
22,True,216,-16.132130399857488,0,86.46156912386323,0,170.8287054009561,0
23,True,216,1070.8465213170912,0,832.7466894259651,0,535.1865765122711,0
24,True,216,-236.0668139074878,38,-139.2271905455891,0,-64.8292051680146,0
25,True,216,370.05816303652864,0,317.78736236409713,0,213.13900377469326,0
26,True,216,-143.26330220443742,0,182.56988362202537,0,243.22008704208565,0
27,True,216,14.977239492574881,41,98.41077575856434,38,84.11526024331397,18
28,True,216,-670.244456631819,0,-417.994353550097,0,-219.0998208814326,0
29,True,216,344.56496733901804,1,251.01687983463853,1,153.25203677622267,1
30,True,216,583.0372889817554,1,507.09451242305295,1,404.09800696705315,0
31,True,216,867.405867426678,0,653.6204167587748,0,412.0876400715206,0
32,True,216,-215.10195966821084,0,-136.2786874014946,0,-67.89659732241671,0
33,True,216,-590.1385368850679,1,-379.63107421629866,1,-197.41832226612314,1
34,True,216,-836.3196625415621,18,-536.4792739647146,15,-279.744416860005,1
35,True,216,-214.37810672548585,18,-132.6539396345088,15,-66.74448011591812,1
36,True,216,-935.0939682842018,18,-596.3423402244152,15,-326.84237396630306,1
