field,mine,smv2u_ref,abs_dev,match
net,136527.2000000012,136527.2000000012,0.0,True
sharpe,0.7926453111060404,0.7926453111060404,0.0,True
max_dd,-28603.70000000522,-28603.70000000522,0.0,True
CDaR5,22521.037500000344,22521.037500000344,0.0,True
n_sessions,1139.0,1139.0,0.0,True
n_bars,311849.0,311849.0,0.0,True
n_tgt_changes,22345.0,22345.0,0.0,True
total_contracts_traded,31682.0,31682.0,0.0,True
friction_share,0.21064976887919995,0.2106497688791999,5.551115123125783e-17,True
vol_period_bars,276.0,276.0,0.0,True
