sd,release_type,dir,move_pts,entry_px,exit_px,net
2022-01-26,FOMC,1,29.75,17873.0,17515.0,-7164.36
2022-03-16,FOMC,-1,-214.5,16898.25,17368.25,-9404.36
2022-05-04,FOMC,-1,-15.25,16497.0,16864.5,-7354.36
2022-06-15,FOMC,-1,-106.0,14799.0,14960.75,-3239.36
2022-07-27,FOMC,1,18.0,15790.25,15913.75,2465.64
2022-09-21,FOMC,-1,-184.25,15104.25,14925.5,3570.64
2022-11-02,FOMC,1,183.0,14692.0,14198.75,-9869.36
2022-12-14,FOMC,-1,-176.5,15023.5,15035.0,-234.36
2023-02-01,FOMC,1,16.0,15295.75,15651.0,7100.64
2023-03-22,FOMC,1,61.25,16002.25,15714.25,-5764.36
2023-05-03,FOMC,1,41.75,16281.0,16104.5,-3534.36
2023-06-14,FOMC,-1,-95.5,17878.25,18073.0,-3899.36
2023-07-26,FOMC,1,4.0,18400.25,18464.0,1270.64
2023-09-20,FOMC,-1,-36.5,17974.75,17776.0,3970.64
2023-11-01,FOMC,1,8.0,17256.0,17403.0,2935.64
2023-12-13,FOMC,1,106.0,19130.25,19194.5,1280.64
2024-01-31,FOMC,-1,-52.5,19764.25,19697.75,1325.64
2024-03-20,FOMC,1,99.5,20557.0,20726.5,3385.64
2024-05-01,FOMC,1,89.5,19743.75,19659.25,-1694.36
2024-06-12,FOMC,1,8.0,21711.5,21794.75,1660.64
2024-07-31,FOMC,1,40.75,21396.5,21505.5,2175.64
2024-09-18,FOMC,1,109.75,21501.0,21321.5,-3594.36
2024-11-07,FOMC,1,4.75,22874.0,22914.0,795.64
2024-12-18,FOMC,-1,-213.5,23477.75,22862.75,12295.64
2025-01-29,FOMC,-1,-64.5,22802.25,22975.5,-3469.36
2025-03-19,FOMC,1,61.25,21070.25,21144.25,1475.64
2025-05-07,FOMC,-1,-46.0,20970.75,21157.25,-3734.36
2025-06-18,FOMC,-1,-16.5,22997.25,22947.0,1000.64
2025-07-30,FOMC,1,13.25,24540.5,24646.5,2115.64
2025-09-17,FOMC,-1,-13.5,25189.5,25249.75,-1209.36
2025-10-29,FOMC,-1,-6.75,26995.5,26968.75,530.64
2025-12-10,FOMC,1,53.75,26416.0,26547.75,2630.64
2026-01-28,FOMC,-1,-49.25,26612.5,26759.5,-2944.36
2026-03-18,FOMC,-1,-26.0,25137.5,24888.75,4970.64
2026-04-29,FOMC,-1,-40.25,27491.25,27431.25,1195.64
2022-01-12,CPI,1,28.25,19331.75,19245.25,-1734.36
2022-02-10,CPI,1,167.0,18274.0,18290.75,330.64
2022-03-10,CPI,1,12.5,16943.25,16796.25,-2944.36
2022-04-12,CPI,1,59.5,17628.0,17510.75,-2349.36
2022-05-11,CPI,1,140.5,15754.75,15625.25,-2594.36
2022-06-10,CPI,-1,-80.0,15321.25,15229.0,1840.64
2022-07-13,CPI,1,135.0,15013.5,15119.5,2115.64
2022-08-10,CPI,-1,-21.5,16652.25,16691.75,-794.36
2022-09-13,CPI,-1,-66.5,15646.0,15560.0,1715.64
2022-10-13,CPI,1,92.25,13872.75,13904.25,625.64
2022-11-10,CPI,1,94.5,14708.5,14696.5,-244.36
2022-12-13,CPI,-1,-30.25,15404.0,15253.0,3015.64
2023-01-12,CPI,-1,-132.75,14503.5,14549.25,-919.36
2023-02-14,CPI,1,112.0,15732.25,15677.0,-1109.36
2023-03-14,CPI,1,53.25,15277.0,15321.5,885.64
2023-04-12,CPI,-1,-92.0,16080.5,16027.25,1060.64
2023-05-10,CPI,1,9.75,16392.25,16340.0,-1049.36
2023-06-13,CPI,-1,-73.0,17863.0,17874.0,-224.36
2023-07-12,CPI,1,32.75,18302.5,18296.25,-129.36
2023-08-10,CPI,1,121.5,18261.75,18133.75,-2564.36
2023-09-13,CPI,1,43.75,18189.75,18201.25,225.64
2023-10-12,CPI,-1,-7.5,18027.5,18051.0,-474.36
2023-11-14,CPI,1,50.0,18504.25,18515.25,215.64
2023-12-12,CPI,1,23.25,18900.0,18933.5,665.64
2024-01-11,CPI,-1,-26.25,19390.25,19280.5,2190.64
2024-02-13,CPI,1,46.5,20107.0,20177.25,1400.64
2024-03-12,CPI,-1,-17.75,20478.0,20609.5,-2634.36
2024-04-10,CPI,1,39.5,20364.5,20338.75,-519.36
2024-05-15,CPI,-1,-26.25,20667.75,20762.25,-1894.36
2024-06-12,CPI,1,89.0,21676.0,21692.25,320.64
2024-07-11,CPI,-1,-25.5,22793.0,22522.0,5415.64
2024-08-14,CPI,-1,-108.25,20952.75,20994.75,-844.36
2024-09-11,CPI,-1,-110.75,20715.25,20508.25,4135.64
2024-10-10,CPI,-1,-1.75,22046.25,22061.75,-314.36
2024-11-13,CPI,-1,-18.0,22829.5,22802.5,535.64
2024-12-11,CPI,1,106.0,23385.25,23396.25,215.64
2025-01-15,CPI,1,76.75,22731.25,22759.25,555.64
2025-02-12,CPI,1,126.25,23080.25,23132.25,1035.64
2025-03-12,CPI,-1,-53.25,21046.0,20846.25,3990.64
2025-04-10,CPI,-1,-129.0,19860.5,19781.0,1585.64
2025-05-13,CPI,1,120.5,22324.75,22451.25,2525.64
2025-06-11,CPI,-1,-36.25,23180.25,23260.0,-1599.36
2025-07-15,CPI,-1,-61.25,24123.75,24105.75,355.64
2025-08-12,CPI,-1,-79.25,24638.5,24772.25,-2679.36
2025-09-11,CPI,1,1.5,24964.0,24988.5,485.64
2025-10-24,CPI,1,39.5,26253.75,26215.25,-774.36
2025-12-18,CPI,-1,-1.25,25768.25,25851.5,-1669.36
2026-01-13,CPI,-1,-1.5,26439.5,26381.0,1165.64
2026-02-13,CPI,-1,-44.0,25189.75,25308.5,-2379.36
2026-03-11,CPI,1,67.0,25592.75,25525.25,-1354.36
2026-04-10,CPI,1,4.0,25601.5,25630.75,580.64
2026-05-12,CPI,-1,-84.0,29411.0,29266.25,2890.64
