seed,feasible,n_scaled_weeks,n_scaled_days,dcdar_s0.50,dtuw_s0.50,dcdar_s0.70,dtuw_s0.70,dcdar_s0.85,dtuw_s0.85
1,True,23,114,-43.6000000001095,-5,-11.076964285841314,-5,-2.789642857358558,0
2,True,23,114,1132.5883928575586,-2,890.8748214286097,-2,510.02017857134706,-1
3,True,23,113,-1451.4330357147792,2,-654.448750000467,9,-127.823035714664,0
4,True,23,113,388.55357142871435,17,238.3698214286378,17,119.84919642860586,14
5,True,23,115,-1005.2723214288035,14,-401.7846428573248,27,-22.519017857259314,27
6,True,23,112,281.4785714286245,37,175.50000000003638,36,89.55803571428987,14
7,True,23,115,-348.4017857142553,36,-194.67142857149156,36,-93.64776785731374,36
8,True,23,115,-1336.524107143181,-1,-587.9585714288223,-1,-100.81232142877889,-1
9,True,23,113,1478.4428571431163,0,949.2589285715858,0,512.4492857144123,0
10,True,23,115,-264.0714285715585,-1,-139.04589285730617,-1,-61.104553571669385,-1
11,True,23,114,1862.1178571430555,-1,1244.8633928570616,-1,682.350446428447,0
12,True,23,115,871.1732142858164,17,527.1532142857868,14,269.13821428576557,0
13,True,23,115,2164.35892857211,-1,1600.063392857448,-1,876.985000000157,0
14,True,23,114,-551.7008928573214,17,-223.77446428589428,17,-51.525714285953654,17
15,True,23,113,882.7008928571395,-1,563.1755357142429,-1,290.9408928569519,-1
16,True,23,115,-390.6910714286787,0,-221.93553571439043,0,-108.29125000020031,0
17,True,23,112,-1753.1142857145987,2,-735.9423214289327,27,-110.51000000023123,27
18,True,23,112,324.7508928572497,0,205.5196428571653,0,110.21339285712565,0
19,True,23,113,574.2607142858669,-5,377.6550000001098,-5,200.34660714289384,0
20,True,23,112,113.98571428580544,12,99.81446428573327,12,57.476160714293655,14
21,True,23,114,365.0991071429162,37,224.8937500000393,14,115.85437500001353,0
22,True,23,115,-51.556250000207,0,-3.266071428639407,0,6.182321428495925,0
23,True,23,115,-619.6633928571773,11,-326.2819642857521,35,-145.37955357146893,36
24,True,23,114,-953.8714285717288,-1,-377.2675000002364,-1,-14.41500000013184,-1
25,True,23,114,-952.9598214285743,-7,-545.0257142857408,-6,-259.2206250000654,-1
26,True,23,114,-447.07767857163344,-1,-210.3741071430668,0,-92.43187500023669,0
27,True,23,114,385.6125000001266,39,261.1708928571825,37,141.65508928575764,1
28,True,23,114,2182.937500000189,44,1469.086964285878,39,782.0484821429527,37
29,True,23,115,-170.5473214287067,-2,-78.10946428572788,-1,-37.325267857162544,-1
30,True,23,115,505.9660714287638,-2,319.5094642858421,-1,165.59258928573763,-1
31,True,23,113,1022.5116071430275,46,739.5957142856587,41,429.15839285707625,37
32,True,23,114,-837.7812500004366,-1,-445.01500000020496,0,-217.1566071431207,0
33,True,23,114,-604.2723214286034,0,-188.16446428581548,0,73.31910714277001,0
34,True,23,115,0.9428571429634758,17,10.206071428647192,17,9.431250000036016,17
35,True,23,114,271.2892857143688,37,169.38642857148625,17,86.50125000002481,0
36,True,23,113,266.7517857143466,-1,162.89124999999513,-1,82.19428571432582,-1
37,True,23,114,-516.5633928573752,11,-81.62589285731337,11,2.204821428435025,-1
38,True,23,114,208.96607142864013,-1,174.2462499999965,-1,123.66741071428078,-1
39,True,23,115,1775.7000000005319,-1,1260.0307142858455,-1,705.9913392858543,-1
40,True,23,113,-1494.8258928574342,-6,-869.8696428573785,-6,-424.1105357145534,0
41,True,23,113,1888.755357143349,17,1439.2049999999836,14,780.3299107141884,0
42,True,23,114,-246.25714285724644,-1,-79.36089285728667,-1,-6.386071428782088,0
43,True,23,115,-990.9410714287969,2,-392.10714285733957,17,-7.5995535716265294,0
44,True,23,114,-1057.506250000246,-1,-441.33875000024636,-1,-38.698303571649376,-1
45,True,23,114,1739.000000000373,0,1265.4908928571458,0,701.2830357142084,0
46,True,23,115,-924.0000000001637,-1,-508.6548214287686,-1,-234.69982142878325,0
47,True,23,113,384.44821428585055,-1,242.56035714294376,-1,123.83973214287653,-1
48,True,23,115,-340.5276785715414,10,-185.5046428572914,0,-90.45232142880923,0
49,True,23,115,-1417.5687500001459,11,-756.4630357144288,11,-324.7674107143939,36
50,True,23,113,210.30178571420947,0,137.16374999984146,0,71.80598214264137,0
51,True,23,114,1764.6901785719037,37,1180.5303571430413,-1,649.0551785715943,-1
52,True,23,114,-862.6133928575928,0,-85.00410714321333,0,167.9867857141544,0
53,True,23,113,75.07410714286198,-2,171.04678571415207,-1,225.48580357127867,-1
54,True,23,114,-445.7687500000211,-6,-251.6930357143483,-6,-117.15401785718495,-1
55,True,23,113,265.0678571430035,-1,166.22571428579977,-1,88.80303571432705,-1
56,True,23,115,843.8946428571344,-6,612.4757142857998,-6,320.4616071428645,-1
57,True,23,112,1168.6553571431905,0,718.5544642859077,0,368.68437500010805,0
58,True,23,114,-125.33125000000837,5,-30.807142857094732,2,0.7598214285662834,1
59,True,23,115,1961.8321428574945,-1,1295.8546428572681,-1,710.9285714287016,0
60,True,23,115,312.1839285714959,39,219.1941071428646,39,116.543482142848,37
61,True,23,113,-101.5151785716298,5,-59.02767857161598,2,-28.943303571639262,1
62,True,23,113,-1431.6116071435172,2,-584.7750000003307,2,-99.92973214306767,2
63,True,23,114,-101.64910714305006,-1,-39.8128571428897,-1,-18.176964285754366,-1
64,True,23,115,463.73660714305515,-6,278.6150000000998,-5,139.37803571434415,0
65,True,23,114,-162.8964285714519,-2,-91.27857142860557,-1,-44.234107142889115,-1
66,True,23,115,369.22589285709546,-1,223.24696428559946,-1,112.38312499984022,0
67,True,23,114,-24.10625000020991,11,8.558928571388606,11,6.008928571387514,14
68,True,23,115,-1907.846428572213,-1,-1021.2048214289352,-1,-492.7174107146184,-1
69,True,23,114,547.9607142860259,-1,369.03553571446173,0,193.02500000007785,0
70,True,23,114,-67.0276785713686,-5,-40.02589285710019,-5,-20.012946428561918,0
71,True,23,115,-93.57857142875764,11,-39.81285714288424,11,-18.176964285741633,23
72,True,23,114,1931.866071429,41,1305.2714285715774,37,720.8283928573001,17
73,True,23,113,-698.5857142861641,2,-188.53517857183942,17,90.82883928550291,14
74,True,23,113,-938.1428571431425,17,-334.4267857145787,17,28.311696428305368,14
75,True,23,115,-795.6580357144812,0,-261.3312500001957,0,52.686339285621216,0
76,True,23,115,20.080357142867797,2,19.233214285724898,1,13.920892857155195,0
77,True,23,113,2801.6464285719703,46,1882.5489285717085,44,999.8584821429868,37
78,True,23,113,218.73839285710164,9,157.81910714283913,9,80.81821428568219,0
79,True,23,115,-362.07678571452743,-6,-18.138571428738942,-6,167.86419642840883,-1
80,True,23,114,1971.3875000005137,-6,1316.865357143066,-6,717.2339285715461,0
81,True,23,115,789.3660714286889,36,477.59392857152307,36,243.76482142864916,36
82,True,23,115,545.258035714296,-1,477.7692857142938,-1,251.66205357144463,0
