,net
2022-W01,-6224.0
2022-W02,4021.0
2022-W03,-16445.2
2022-W04,-36829.0
2022-W05,-4929.000000000001
2022-W06,-2579.000000000001
2022-W07,7661.0
2022-W08,8044.8
2022-W09,-3764.000000000001
2022-W10,13556.0
2022-W11,9671.0
2022-W12,3171.0
2022-W13,-9409.0
2022-W14,2680.9999999999995
2022-W15,3049.7999999999993
2022-W16,18026.0
2022-W17,8491.0
2022-W18,-4534.0
2022-W19,10401.0
2022-W20,4510.999999999999
2022-W21,1295.9999999999995
2022-W22,3684.7999999999993
2022-W23,-6494.000000000001
2022-W24,3476.0
2022-W25,1599.8
2022-W26,4675.999999999999
2022-W27,7044.799999999999
2022-W28,-2219.0
2022-W29,15131.0
2022-W30,2480.999999999999
2022-W31,-1049.0
2022-W32,-9219.0
2022-W33,-1948.9999999999998
2022-W34,11741.0
2022-W35,3230.9999999999995
2022-W36,-1955.2000000000003
2022-W37,-4.000000000000682
2022-W38,-4834.000000000001
2022-W39,-1099.000000000001
2022-W40,3475.999999999999
2022-W41,15064.8
2022-W42,1860.9999999999995
2022-W43,676.0
2022-W44,6931.0
2022-W45,3505.9999999999995
2022-W46,2536.0
2022-W47,3403.5999999999995
2022-W48,-7279.0
2022-W49,2231.0
2022-W50,1220.9999999999995
2022-W51,96.0
2022-W52,4244.8
2023-W01,1394.7999999999997
2023-W02,3000.9999999999995
2023-W03,-1530.2000000000007
2023-W04,-5749.000000000001
2023-W05,-13664.0
2023-W06,-1409.0000000000007
2023-W07,-5654.0
2023-W08,1854.8
2023-W09,4226.0
2023-W10,-10194.0
2023-W11,1060.9999999999995
2023-W12,-4709.0
2023-W13,4806.0
2023-W14,1613.6
2023-W15,5011.0
2023-W16,-2159.0
2023-W17,6520.999999999999
2023-W18,15.999999999999545
2023-W19,-3594.0
2023-W20,3161.0
2023-W21,819.7999999999997
2023-W22,1579.7999999999997
2023-W23,4265.999999999999
2023-W24,-154.00000000000023
2023-W25,2064.8
2023-W26,-3049.0000000000005
2023-W27,-4921.400000000001
2023-W28,-5859.0
2023-W29,11006.0
2023-W30,4959.799999999999
2023-W31,3171.0
2023-W32,-7384.0
2023-W33,220.9999999999991
2023-W34,10246.0
2023-W35,2060.9999999999995
2023-W36,-1335.1999999999998
2023-W37,-2984.0
2023-W38,1941.0
2023-W39,820.9999999999995
2023-W40,5055.999999999999
2023-W41,3465.9999999999995
2023-W42,10026.0
2023-W43,3965.9999999999995
2023-W44,1711.0
2023-W45,1121.0
2023-W46,-3284.0
2023-W47,1158.6
2023-W48,3631.0
2023-W49,4866.0
2023-W50,1126.0
2023-W51,-4509.0
2023-W52,1834.8000000000002
2024-W01,-3885.2000000000003
2024-W02,2210.9999999999995
2024-W03,-1180.2000000000007
2024-W04,336.00000000000017
2024-W05,-1084.0000000000005
2024-W06,2306.0
2024-W07,-2674.0
2024-W08,2179.8
2024-W09,1.0
2024-W10,-2829.0
2024-W11,1346.0
2024-W12,-2964.0000000000005
2024-W13,-4700.200000000001
2024-W14,9301.0
2024-W15,-4354.0
2024-W16,12801.0
2024-W17,5181.0
2024-W18,-11074.0
2024-W19,1601.0
2024-W20,2481.0
2024-W21,4921.0
2024-W22,-505.1999999999998
2024-W23,-4514.0
2024-W24,4796.0
2024-W25,5914.799999999999
2024-W26,-7244.0
2024-W27,1013.5999999999995
2024-W28,9266.0
2024-W29,6380.999999999999
2024-W30,1205.9999999999995
2024-W31,12821.0
2024-W32,11256.0
2024-W33,3390.9999999999995
2024-W34,13181.0
2024-W35,1230.9999999999993
2024-W36,7034.799999999999
2024-W37,-9459.0
2024-W38,-4669.0
2024-W39,-258.9999999999998
2024-W40,-5444.0
2024-W41,5236.0
2024-W42,2025.9999999999995
2024-W43,2150.9999999999995
2024-W44,2055.9999999999995
2024-W45,1901.0000000000002
2024-W46,3146.0
2024-W47,-3724.000000000001
2024-W48,-221.39999999999992
2024-W49,5821.0
2024-W50,-49.00000000000034
2024-W51,-5559.0
2024-W52,-4311.400000000001
2025-W01,-3460.2000000000007
2025-W02,3414.7999999999997
2025-W03,5156.0
2025-W04,799.7999999999995
2025-W05,-3859.0000000000005
2025-W06,6855.999999999999
2025-W07,7091.0
2025-W08,1549.7999999999993
2025-W09,14406.0
2025-W10,-1674.000000000001
2025-W11,-1824.000000000001
2025-W12,626.0
2025-W13,11206.0
2025-W14,17481.0
2025-W15,12696.0
2025-W16,809.7999999999997
2025-W17,6525.999999999999
2025-W18,-12699.0
2025-W19,-4084.0
2025-W20,-2009.0000000000005
2025-W21,-3629.000000000001
2025-W22,6189.8
2025-W23,-9754.0
2025-W24,-4234.0
2025-W25,-1865.2000000000007
2025-W26,7476.0
2025-W27,-2721.4000000000005
2025-W28,-2364.0
2025-W29,2426.0
2025-W30,-7524.000000000001
2025-W31,5291.0
2025-W32,5595.999999999999
2025-W33,-8429.0
2025-W34,3525.999999999999
2025-W35,4276.0
2025-W36,-895.2000000000003
2025-W37,-1198.9999999999998
2025-W38,-2584.0
2025-W39,6691.0
2025-W40,3095.999999999999
2025-W41,22371.0
2025-W42,7550.999999999999
2025-W43,3251.0
2025-W44,-5864.000000000001
2025-W45,-4779.000000000001
2025-W46,5351.0
2025-W47,-31109.0
2025-W48,5703.599999999999
2025-W49,-814.0
2025-W50,-2819.0
2025-W51,8236.0
2025-W52,-4206.400000000001
2026-W01,4024.7999999999997
2026-W02,-9569.0
2026-W03,3951.0
2026-W04,-2415.2000000000003
2026-W05,555.9999999999995
2026-W06,12071.0
2026-W07,7131.0
2026-W08,-4725.2
2026-W09,7296.0
2026-W10,-3429.000000000001
2026-W11,12241.0
2026-W12,7616.0
2026-W13,-12724.0
2026-W14,15794.8
2026-W15,-10264.0
2026-W16,17541.0
2026-W17,-914.0000000000009
2026-W18,-9649.0
2026-W19,4070.999999999999
2026-W20,-1654.0000000000005
2026-W21,-5179.000000000001
2026-W22,669.7999999999993
2026-W23,5099.799999999999
2026-W24,9906.000000000002
2026-W25,18834.8
2026-W26,-8955.2
2026-W27,-23800.199999999997
2026-W28,-16264.0
2026-W29,2625.9999999999995
2026-W30,-1279.0000000000002
2026-W31,1835.999999999999
