sid,trig_hm,entry_hm,entry_px,exit_px,gross,net,year
2022-01-03,1021,1022,19732.0,19841.75,-2195.0,-2213.8,2022
2022-01-04,1521,1522,19646.75,19653.0,-125.0,-143.8,2022
2022-01-05,1100,1101,19536.75,19149.0,7755.0,7736.2,2022
2022-01-06,1019,1020,19068.75,19126.25,-1150.0,-1168.8,2022
2022-01-07,1157,1158,19026.0,18962.25,1275.0,1256.2,2022
2022-01-10,1116,1117,18613.0,18965.25,-7045.0,-7063.8,2022
2022-01-11,1059,1100,18919.75,19186.0,-5325.0,-5343.8,2022
2022-01-12,1145,1146,19257.0,19255.0,40.0,21.2,2022
2022-01-14,1049,1050,18861.0,18965.75,-2095.0,-2113.8,2022
2022-01-18,1002,1003,18675.75,18562.5,2265.0,2246.2,2022
2022-01-19,1359,1400,18618.5,18402.25,4325.0,4306.2,2022
2022-01-21,1210,1211,18066.0,17847.75,4365.0,4346.2,2022
2022-01-24,1029,1030,17473.25,17866.5,-7865.0,-7883.8,2022
2022-01-25,1027,1028,17511.0,17516.75,-115.0,-133.8,2022
2022-01-26,1111,1112,17773.25,17514.75,5170.0,5151.2,2022
2022-01-27,1059,1100,17668.0,17366.75,6025.0,6006.2,2022
2022-01-28,1014,1015,17292.25,17786.25,-9880.0,-9898.8,2022
2022-02-01,1022,1023,18189.25,18372.75,-3670.0,-3688.8,2022
2022-02-02,1047,1048,18451.75,18479.75,-560.0,-578.8,2022
2022-02-03,1005,1006,18086.25,17874.0,4245.0,4226.2,2022
2022-02-04,1130,1131,17905.25,18061.25,-3120.0,-3138.8,2022
2022-02-07,1041,1042,18088.25,17909.25,3580.0,3561.2,2022
2022-02-08,1027,1028,17884.25,18098.5,-4285.0,-4303.8,2022
2022-02-09,1006,1007,18258.75,18388.0,-2585.0,-2603.8,2022
2022-02-10,1308,1309,18246.25,18082.5,3275.0,3256.2,2022
2022-02-11,1007,1008,18059.75,17630.0,8595.0,8576.2,2022
2022-02-14,1452,1453,17619.25,17630.75,-230.0,-248.8,2022
2022-02-15,1316,1317,17859.5,17959.0,-1990.0,-2008.8,2022
