block_id_B,net,n_bars,sgn,eth_touched
2870,41337.82000000001,151,1,True
3423,19717.820000000007,111,-1,True
2864,16267.820000000007,107,-1,True
3335,15207.81999999989,113,-1,True
113,14287.820000000014,266,1,True
3730,13257.820000000007,397,1,True
2872,12232.820000000007,347,-1,True
298,12192.820000000007,340,-1,True
2759,11977.81999999989,139,-1,True
2790,11782.820000000007,450,-1,True
2284,11597.820000000007,375,1,True
2332,11557.81999999989,241,-1,True
3821,11492.820000000007,390,1,True
2845,11367.81999999989,4,-1,True
3591,11217.820000000007,392,1,True
2231,11212.81999999989,451,-1,True
558,10932.820000000007,143,-1,True
237,10717.820000000007,142,-1,True
258,10697.820000000007,264,-1,True
3589,10522.81999999989,387,-1,True
