block_id_A,control_net,candidate_window_net,delta
7234,-4934.450000000157,-4934.450000000186,-2.9103830456733704e-11
937,-3502.8499999998894,-3170.4499999998807,332.40000000000873
286,-3386.899999999947,-2899.5999999999585,487.29999999998836
6025,-3359.6500000000524,-3343.9499999999825,15.70000000006985
961,-3204.8499999999876,-2552.3999999999905,652.4499999999971
128,-3058.350000000023,-3074.549999999983,-16.1999999999598
689,-3042.7999999999956,-3102.2999999999374,-59.49999999994179
6099,-2837.2000000000116,-2112.550000000003,724.6500000000087
6093,-2800.399999999994,-2291.0499999999884,509.3500000000058
7709,-2741.7999999999884,-2741.7999999999884,0.0
6423,-2710.5499999999156,-2604.949999999939,105.59999999997672
7858,-2663.6999999999825,-2828.1999999999243,-164.4999999999418
605,-2547.6499999998887,-2417.349999999875,130.30000000001382
4982,-2509.6499999999796,-2509.6499999999214,5.820766091346741e-11
1497,-2481.1499999999287,-2368.8499999999476,112.29999999998108
6083,-2443.399999999994,-1956.75,486.6499999999942
5871,-2414.4000000000233,-2414.4000000000233,0.0
5898,-2313.100000000006,-2165.3000000000175,147.79999999998836
7335,-2287.2500000002037,-2287.2500000002037,0.0
4800,-2283.0499999999593,-2488.249999999971,-205.20000000001164
