label,n,P(fwd_5>0),P(reversal_within_5),P(fwd_10>0),P(reversal_within_10),P(fwd_20>0),P(reversal_within_20)
ALL HOLD bars (baseline),192723,0.4955039097564899,0.0036217784073514837,0.4961992081899929,0.00912190034401706,0.49775065767967497,0.022835883625721892
side=long,95207,0.5116220445975611,0.003991303160481898,0.5192580377493251,0.009862720178138162,0.5260747634102535,0.02440996985515771
side=short,97516,0.47976742278190243,0.0032610033225316873,0.47368636941630093,0.008398621764633496,0.4700972148160302,0.021299068870749414
vote_dispersion=low,71909,0.4793836654660752,0.0010986107441349484,0.4741131151872506,0.004102407209111516,0.4709841605362333,0.01348927116216329
vote_dispersion=mid,64624,0.5041315919782124,0.008959519683089874,0.5040387472146571,0.019992572418915572,0.5028781876702154,0.042352686308492205
vote_dispersion=high,56190,0.5062110695853355,0.0007118704395799964,0.515447588538886,0.0030432461292044847,0.5261078483715964,0.012350952126712939
vol_tercile=low,64248,0.49752521479267836,0.0037355248412401943,0.5026771261362222,0.009650105839870502,0.5037822189017557,0.023891794297098742
vol_tercile=mid,64241,0.49261375134260055,0.00386046294422565,0.491570803692346,0.009806821188960322,0.49186656496629877,0.023396273407948195
vol_tercile=high,64234,0.4963726375439798,0.003269296634181275,0.4943487872466295,0.007908584238876607,0.4976025158016004,0.021219291963757513
B_engaged=True,90772,0.5020821398669193,0.005034592164984797,0.5062574362138105,0.011203895474375359,0.510509848852069,0.024038249680518223
B_engaged=False,101951,0.4896469872782023,0.0023638806877813853,0.48724387205618386,0.007268197467410815,0.48639052093652835,0.02176535786799541
"OVERNIGHT-ENTRY, still overnight (flagged state)",53456,0.4869051182280754,0.0,0.48346303501945526,0.0,0.48443579766536965,0.00024319066147859923
"OVERNIGHT-ENTRY, transitioned to RTH",22460,0.5071682991985752,0.008637577916295637,0.5133570792520036,0.01829919857524488,0.5187889581478183,0.03459483526268922
