label,horizon,n,mean,median,tstat
NON_TRANSITION (all),fwd_1,71427,1.219613591499059,0.0,1.325591811552515
NON_TRANSITION (all),fwd_5,71427,6.285726965993489,-5.0,3.117792365337857
NON_TRANSITION (all),fwd_10,71427,7.851025522561975,-5.0,2.7798236106732173
NON_TRANSITION (all),fwd_20,71427,15.060859898918677,-10.0,3.830483192545852
NON_TRANSITION (all),fwd_session,71427,206.7623114508532,-52.179999999993015,15.577816986395266
TRANSITION (all),fwd_1,121296,1.9496232357209664,0.0,2.3385423168317114
TRANSITION (all),fwd_5,121296,9.56621718770652,0.0,5.296067018855998
TRANSITION (all),fwd_10,121296,20.350208086005246,0.0,8.209480759954033
TRANSITION (all),fwd_20,121296,37.730332409973606,5.0,10.983151149670832
TRANSITION (all),fwd_session,121296,200.15983280570413,-12.179999999993015,20.88812353527027
OVERNIGHT_ENTRY: still overnight (non-transition),fwd_1,53456,0.06787152050285924,0.0,0.08970730613553456
OVERNIGHT_ENTRY: still overnight (non-transition),fwd_5,53456,1.0201881921581173,-5.0,0.6324003170737786
OVERNIGHT_ENTRY: still overnight (non-transition),fwd_10,53456,3.1236994911704716,-10.0,1.3950136398073898
OVERNIGHT_ENTRY: still overnight (non-transition),fwd_20,53456,12.950907662376858,-15.0,4.055710184056957
OVERNIGHT_ENTRY: still overnight (non-transition),fwd_session,53456,326.8572777611484,-192.17999999999302,16.963848345667422
OVERNIGHT_ENTRY: now in RTH (transitioned),fwd_1,22460,2.832327693677734,2.820000000006985,1.2150351232591148
OVERNIGHT_ENTRY: now in RTH (transitioned),fwd_5,22460,13.353668744434911,10.0,2.7134061096489743
OVERNIGHT_ENTRY: now in RTH (transitioned),fwd_10,22460,24.417252003562435,25.0,3.6679201231710787
OVERNIGHT_ENTRY: now in RTH (transitioned),fwd_20,22460,42.56557168299299,50.0,4.844375965026942
OVERNIGHT_ENTRY: now in RTH (transitioned),fwd_session,22460,175.86161531612404,72.82000000000698,10.706567461187326
RTH_ENTRY: still in RTH (non-transition),fwd_1,69549,1.846881479244913,0.0,1.5315966472291869
RTH_ENTRY: still in RTH (non-transition),fwd_5,69549,8.384841478670044,0.0,3.210081883113704
RTH_ENTRY: still in RTH (non-transition),fwd_10,69549,15.137873154179694,0.0,4.273827368775428
RTH_ENTRY: still in RTH (non-transition),fwd_20,69549,23.30540108412902,5.0,4.858761161480056
RTH_ENTRY: still in RTH (non-transition),fwd_session,69549,84.37001279673963,-31.53999999998632,10.326070471333843
RTH_ENTRY: now POST_RTH (transitioned),fwd_1,5475,0.8173589041100849,-2.179999999993015,0.284576492450447
RTH_ENTRY: now POST_RTH (transitioned),fwd_5,5475,9.953165296806022,-2.179999999993015,2.008845542883232
RTH_ENTRY: now POST_RTH (transitioned),fwd_10,5475,14.162794520552549,-2.179999999993015,2.4889457146865195
RTH_ENTRY: now POST_RTH (transitioned),fwd_20,5475,14.823689497723125,-2.179999999993015,2.513738376344215
RTH_ENTRY: now POST_RTH (transitioned),fwd_session,5475,12.506991780828331,-2.180000000000291,2.1501814359522666
