tag,n_days,net,sharpe,sortino,calmar,maxDD_eod,CDaR95,worst_day,worst_month,pos_day_pct,candidate,year,pricing
CONTROL_2022_GENUINE,258,48135.00000000596,1.273084178484624,3.00161587146203,3.2070218274891253,14660.199999999557,13016.949999999653,-4709.599999999945,-5473.799999999937,0.4496124031007752,CONTROL,2022,GENUINE_MNQ
CONTROL_2023_GENUINE,258,16742.10000000563,0.8264908370044507,1.6362348112976641,2.0654451438264063,7917.299999999028,7453.099999998679,-2981.799999999901,-3040.499999999098,0.4573643410852713,CONTROL,2023,GENUINE_MNQ
CONTROL_2024_GENUINE,259,32165.199999999924,1.27347743350675,2.5679525280108795,2.760142017927369,11338.500000000262,10519.041666666983,-3945.099999999933,-5387.099999999817,0.44015444015444016,CONTROL,2024,GENUINE_MNQ
CONTROL_2025_GENUINE,258,70841.8999999926,1.6026343024427678,3.2070357553670896,4.053592226872124,17069.89999999918,16016.741666666256,-6470.999999999927,-4731.399999999441,0.43023255813953487,CONTROL,2025,GENUINE_MNQ
CONTROL_2026_GENUINE,106,10803.19999999486,0.6109501170912206,1.1410766050331531,1.5409354447819386,16667.200000000827,15932.180000000662,-7405.599999999977,-7510.000000001397,0.42452830188679247,CONTROL,2026,GENUINE_MNQ
F0.5_2022_GENUINE,258,48014.60000000687,1.2699499795130897,3.0075395373486904,3.2427074934906024,14462.599999999493,12939.433333332958,-4709.599999999945,-5258.999999999891,0.44573643410852715,F0.5,2022,GENUINE_MNQ
F0.5_2023_GENUINE,258,16259.400000005822,0.803637700014429,1.5902061793594775,1.9583543274697903,8109.499999996973,7662.883333331993,-2981.7999999998938,-3069.999999999098,0.4496124031007752,F0.5,2023,GENUINE_MNQ
F0.5_2024_GENUINE,259,32373.300000000803,1.2869627930760787,2.5933648553354187,2.7080209728707816,11631.500000000087,10500.875000000102,-3945.099999999933,-5621.5999999997,0.44787644787644787,F0.5,2024,GENUINE_MNQ
F0.5_2025_GENUINE,258,72096.09999999267,1.6345037023398745,3.2989970921314686,4.173350471246466,16873.599999999133,15775.266666666235,-6560.499999999927,-4810.899999999267,0.43023255813953487,F0.5,2025,GENUINE_MNQ
F0.5_2026_GENUINE,106,10245.299999994488,0.5802377618883201,1.0883963660541542,1.4005537953043927,17390.80000000249,16606.840000002394,-7405.599999999977,-8072.500000001455,0.42452830188679247,F0.5,2026,GENUINE_MNQ
F0.7_2022_GENUINE,258,47967.200000006844,1.2694992463750654,3.001068770006135,3.2094151142564704,14598.199999999411,12994.624999999585,-4709.599999999945,-5245.499999999891,0.44573643410852715,F0.7,2022,GENUINE_MNQ
F0.7_2023_GENUINE,258,16386.40000000594,0.8095826491982332,1.600190198421244,2.0063078571287285,7977.499999996973,7538.099999998604,-2981.799999999901,-3088.999999999098,0.45348837209302323,F0.7,2023,GENUINE_MNQ
F0.7_2024_GENUINE,259,32437.00000000099,1.2878536086184331,2.6023273611876236,2.786783604796899,11325.000000000146,10433.375000000133,-3945.099999999933,-5419.5999999997,0.44787644787644787,F0.7,2024,GENUINE_MNQ
F0.7_2025_GENUINE,258,72077.19999999276,1.6324881992296063,3.2784546194253976,4.188889248658753,16806.599999999133,15779.22499999956,-6560.499999999927,-4771.899999999267,0.43023255813953487,F0.7,2025,GENUINE_MNQ
F0.7_2026_GENUINE,106,10434.499999994325,0.5904653375629171,1.1034971863086234,1.4611597350458363,16977.30000000284,16285.060000002635,-7405.599999999977,-7834.500000001688,0.42452830188679247,F0.7,2026,GENUINE_MNQ
