candidate,capital,loss_fraction_threshold,p_cross_daily_close_mixture,p_cross_daily_close_worst_of_three
CONTROL,100000.0,0.1,0.9985,0.999
CONTROL,100000.0,0.2,0.41133333333333333,0.6595
CONTROL,100000.0,0.3,0.071,0.169
CONTROL,150000.0,0.1,0.8776666666666667,0.9295
CONTROL,150000.0,0.2,0.08783333333333333,0.205
CONTROL,150000.0,0.3,0.008333333333333333,0.023
F0.5,100000.0,0.1,0.9983333333333333,0.999
F0.5,100000.0,0.2,0.4131666666666667,0.656
F0.5,100000.0,0.3,0.07066666666666667,0.168
F0.5,150000.0,0.1,0.8548333333333333,0.9295
F0.5,150000.0,0.2,0.08766666666666667,0.203
F0.5,150000.0,0.3,0.008333333333333333,0.023
F0.7,100000.0,0.1,0.9985,0.999
F0.7,100000.0,0.2,0.413,0.657
F0.7,100000.0,0.3,0.07166666666666667,0.1705
F0.7,150000.0,0.1,0.8783333333333333,0.9295
F0.7,150000.0,0.2,0.08666666666666667,0.202
F0.7,150000.0,0.3,0.008333333333333333,0.023
