block_id_A,n_bars,t_idx_start,t_idx_end,start_exposure,max_abs_exposure,net_pnl,start_year,start_is_health_only,start_sess_date
2,277,40,316,7,7,-597.549999999952,2022,False,2022-01-03
4,134,319,452,1,7,1485.449999999952,2022,False,2022-01-03
6,86,481,566,-1,1,-59.65000000000441,2022,False,2022-01-04
8,41,646,686,-1,2,-118.44999999999129,2022,False,2022-01-04
10,162,725,886,-1,7,2816.4500000000394,2022,False,2022-01-04
12,14,899,912,-1,2,52.700000000003,2022,False,2022-01-04
14,446,927,1372,-1,4,2852.3000000000584,2022,False,2022-01-05
16,89,1389,1477,1,3,-411.049999999972,2022,False,2022-01-06
18,322,1511,1832,1,7,-1348.4999999999873,2022,False,2022-01-06
20,159,1844,2002,1,1,-115.64999999999964,2022,False,2022-01-07
22,43,2021,2063,-1,2,-213.4499999999989,2022,False,2022-01-07
24,59,2072,2130,1,1,-130.65000000000327,2022,False,2022-01-07
26,18,2132,2149,-1,3,-294.7500000000091,2022,False,2022-01-07
28,2,2152,2153,-1,1,-125.65000000000282,2022,False,2022-01-07
30,7,2155,2161,1,1,-141.65000000000282,2022,False,2022-01-07
32,130,2163,2292,-1,4,-62.699999999925694,2022,False,2022-01-07
34,31,2302,2332,-1,1,-63.15000000000009,2022,False,2022-01-10
36,135,2357,2491,1,3,-305.7499999999868,2022,False,2022-01-10
37,14,2492,2505,-1,1,-118.30000000000291,2022,False,2022-01-10
39,19,2515,2533,1,1,-110.15000000000282,2022,False,2022-01-10
41,106,2538,2643,-1,1,581.8499999999972,2022,False,2022-01-10
42,27,2644,2670,1,3,-271.90000000000873,2022,False,2022-01-10
44,77,2676,2752,1,5,2912.9500000000394,2022,False,2022-01-10
46,10,2818,2827,-1,1,-105.15000000000146,2022,False,2022-01-11
48,30,2910,2939,-1,1,-119.65000000000327,2022,False,2022-01-11
50,101,3005,3105,-1,6,-1200.9499999999407,2022,False,2022-01-11
52,48,3129,3176,-1,1,-114.65000000000327,2022,False,2022-01-11
54,2,3198,3199,-1,1,-97.65000000000327,2022,False,2022-01-11
56,35,3406,3440,-1,2,-117.94999999999891,2022,False,2022-01-12
58,25,3483,3507,-1,1,-71.65000000000327,2022,False,2022-01-12
60,11,3532,3542,-1,2,-206.44999999999163,2022,False,2022-01-12
62,122,3551,3672,-1,4,-524.599999999964,2022,False,2022-01-12
64,205,3706,3910,-1,3,-282.25000000001,2022,False,2022-01-13
66,28,3976,4003,1,1,-113.65000000000282,2022,False,2022-01-13
68,128,4005,4132,-1,4,2051.09999999999,2022,False,2022-01-13
70,16,4145,4160,1,1,-91.64999999999964,2022,False,2022-01-14
72,187,4227,4413,1,4,-458.0499999999902,2022,False,2022-01-14
74,167,4426,4592,1,7,1157.150000000036,2022,False,2022-01-14
76,187,4627,4813,-1,2,-209.9500000000071,2022,False,2022-01-17
78,58,4915,4972,-1,1,16.349999999996726,2022,False,2022-01-17
80,62,5007,5068,1,1,-73.65000000000327,2022,False,2022-01-18
82,184,5072,5255,-1,5,708.150000000087,2022,False,2022-01-18
84,5,5266,5270,-1,1,-75.15000000000327,2022,False,2022-01-18
86,12,5291,5302,-1,4,-673.6500000000033,2022,False,2022-01-18
87,9,5303,5311,1,1,-64.29999999999927,2022,False,2022-01-18
89,120,5313,5432,-1,5,418.5500000000411,2022,False,2022-01-18
91,31,5460,5490,-1,1,-56.150000000001455,2022,False,2022-01-19
93,88,5499,5586,-1,1,112.84999999999673,2022,False,2022-01-19
95,164,5624,5787,1,6,-29.949999999933425,2022,False,2022-01-19
97,75,5796,5870,1,4,-404.0499999999829,2022,False,2022-01-19
99,16,5877,5892,-1,1,141.84999999999673,2022,False,2022-01-19
101,390,5926,6315,1,7,-303.6499999999014,2022,False,2022-01-20
103,41,6362,6402,1,1,-112.65000000000327,2022,False,2022-01-21
105,5,6404,6408,-1,1,-113.65000000000327,2022,False,2022-01-21
107,25,6410,6434,1,1,-137.65000000000327,2022,False,2022-01-21
109,27,6436,6462,-1,1,-27.650000000003274,2022,False,2022-01-21
111,181,6494,6674,1,4,-764.1999999999553,2022,False,2022-01-21
112,1,6675,6675,-1,1,-171.25,2022,False,2022-01-21
114,14,6678,6691,-1,4,-671.549999999997,2022,False,2022-01-21
116,29,6697,6725,2,3,-782.2499999999941,2022,False,2022-01-21
118,65,6748,6812,-1,4,587.1499999999855,2022,False,2022-01-21
120,217,6826,7042,1,2,-490.75000000000136,2022,False,2022-01-24
122,25,7063,7087,1,1,-116.15000000000282,2022,False,2022-01-24
124,8,7129,7136,1,4,-954.6000000000072,2022,False,2022-01-24
125,61,7137,7197,-3,3,845.2500000000218,2022,False,2022-01-24
126,75,7198,7272,1,9,3483.700000000077,2022,False,2022-01-24
128,409,7290,7698,-1,9,-3058.350000000023,2022,False,2022-01-25
129,19,7699,7717,3,3,-977.6999999999898,2022,False,2022-01-25
131,14,7719,7732,-3,7,1760.9499999999957,2022,False,2022-01-25
133,415,7741,8155,1,9,-1962.149999999895,2022,False,2022-01-26
134,23,8156,8178,-3,3,583.6999999999971,2022,False,2022-01-26
135,14,8179,8192,2,2,-123.59999999999854,2022,False,2022-01-26
137,42,8201,8242,1,2,-487.95000000000573,2022,False,2022-01-27
139,128,8246,8373,-1,1,66.34999999999718,2022,False,2022-01-27
141,181,8385,8565,1,5,933.8500000000117,2022,False,2022-01-27
143,83,8570,8652,-1,4,802.4499999999957,2022,False,2022-01-27
145,186,8661,8846,1,1,-243.65000000000282,2022,False,2022-01-28
147,103,8848,8950,-1,1,74.34999999999718,2022,False,2022-01-28
148,21,8951,8971,1,1,-112.29999999999927,2022,False,2022-01-28
149,28,8972,8999,-4,4,-1215.499999999989,2022,False,2022-01-28
150,113,9000,9112,2,8,3655.3999999999796,2022,False,2022-01-28
152,49,9383,9431,-1,1,-183.65000000000146,2022,False,2022-01-31
154,125,9434,9558,3,3,1642.4500000000098,2022,False,2022-01-31
156,106,9635,9740,-1,1,-101.14999999999873,2022,False,2022-02-01
158,62,9790,9851,-1,1,-105.15000000000327,2022,False,2022-02-01
160,128,9891,10018,-1,6,-1027.649999999967,2022,False,2022-02-01
162,20,10284,10303,-1,1,-98.14999999999873,2022,False,2022-02-02
164,165,10328,10492,-1,9,161.45000000000982,2022,False,2022-02-02
166,132,10664,10795,1,2,-249.94999999999254,2022,False,2022-02-03
168,127,10812,10938,4,7,-2595.549999999961,2022,False,2022-02-03
170,12,10941,10952,6,7,932.9499999999998,2022,False,2022-02-03
172,125,10961,11085,-1,1,-116.65000000000418,2022,False,2022-02-04
174,152,11130,11281,-1,7,-50.99999999991405,2022,False,2022-02-04
175,14,11282,11295,1,2,-422.34999999999854,2022,False,2022-02-04
176,15,11296,11310,-1,1,-156.3000000000029,2022,False,2022-02-04
178,87,11312,11398,1,3,370.24999999999136,2022,False,2022-02-04
179,14,11399,11412,-1,3,112.90000000000146,2022,False,2022-02-04
181,13,11430,11442,1,1,-100.65000000000236,2022,False,2022-02-07
183,84,11444,11527,-1,1,-157.64999999999918,2022,False,2022-02-07
185,26,11581,11606,1,1,-166.65000000000282,2022,False,2022-02-07
187,71,11610,11680,-1,1,-136.65000000000282,2022,False,2022-02-07
189,88,11686,11773,1,6,-1468.4499999999766,2022,False,2022-02-07
190,99,11774,11872,-4,6,-335.849999999984,2022,False,2022-02-07
192,138,11944,12081,-1,1,-69.65000000000441,2022,False,2022-02-08
194,92,12101,12192,-1,3,-293.59999999999263,2022,False,2022-02-08
195,8,12193,12200,1,1,-210.4499999999971,2022,False,2022-02-08
197,6,12206,12211,1,1,-122.15000000000293,2022,False,2022-02-08
199,118,12215,12332,1,7,1442.1000000000263,2022,False,2022-02-08
201,16,12511,12526,-1,1,-73.15000000000009,2022,False,2022-02-09
203,19,12652,12670,-1,1,-45.15000000000282,2022,False,2022-02-09
205,6,12703,12708,-1,1,-76.15000000000282,2022,False,2022-02-09
207,9,12761,12769,-1,1,-64.15000000000282,2022,False,2022-02-09
209,165,12816,12980,-1,2,-71.44999999999845,2022,False,2022-02-10
211,95,12987,13081,-1,2,-155.95000000000573,2022,False,2022-02-10
213,26,13091,13116,-5,7,443.45000000005393,2022,False,2022-02-10
214,21,13117,13137,2,3,258.30000000001746,2022,False,2022-02-10
216,21,13139,13159,-1,2,-188.44999999999845,2022,False,2022-02-10
218,8,13168,13175,1,1,-258.6500000000028,2022,False,2022-02-10
219,77,13176,13252,-4,6,527.1500000000888,2022,False,2022-02-10
221,21,13265,13285,1,1,-124.15000000000282,2022,False,2022-02-11
223,23,13289,13311,-1,1,-98.15000000000282,2022,False,2022-02-11
225,92,13329,13420,-1,1,99.34999999999718,2022,False,2022-02-11
227,181,13423,13603,1,6,-632.7499999999359,2022,False,2022-02-11
229,94,13605,13698,-1,4,1380.4000000000146,2022,False,2022-02-11
