outcome,feature,n,r2_additive,r2_interaction,delta_r2_interaction,interaction_coef,interaction_t,abs_delta_r2_interaction
(a) MFE,entry_reversal_rate_transition,1978,0.056640301923337244,0.05918169961386888,0.0025413976905316327,-923.9231039792512,-2.308590902146641,0.0025413976905316327
(f) Product-A scale value,reversal_rate_transition,8137,0.004142338054030303,0.005128288708704298,0.000985950654673995,-80.60973912921081,-2.838851882864461,0.000985950654673995
(e) P(top-decile winner),entry_reversal_rate_transition,1978,0.015264615169337303,0.01613876297466088,0.0008741478053235774,-0.06037027051818653,-1.324003256504906,0.0008741478053235774
(a) MFE,entry_perm_entropy_transition,1978,0.055160084695539124,0.055581897915231715,0.00042181321969259056,331.4273835477333,0.9387317014521911,0.00042181321969259056
(b) MAE magnitude,entry_reversal_rate_transition,1978,0.15350729929944973,0.1537564067216335,0.0002491074221837586,-118.14914347688136,-0.7620951180059334,0.0002491074221837586
(e) P(top-decile winner),entry_perm_entropy_transition,1978,0.014121964403029597,0.014326003837832113,0.00020403943480251652,0.025681271679576536,0.6390781199787136,0.00020403943480251652
(c) reversal hazard,perm_entropy_transition,192723,0.030882139490697735,0.031035592135137624,0.0001534526444398887,0.00896708412112708,5.524518294651984,0.0001534526444398887
(d) bars-to-MFE,entry_reversal_rate_transition,1978,0.012540386365640366,0.012670907484019778,0.00013052111837941194,6.088428925300648,0.510708362041246,0.00013052111837941194
(f) Product-A scale value,perm_entropy_transition,8137,0.004002001836960978,0.004086559163364645,8.455732640366698e-05,19.406767555516787,0.8309282214538107,8.455732640366698e-05
(b) MAE magnitude,entry_perm_entropy_transition,1978,0.15350465487525633,0.15358193094225048,7.727606699414746e-05,-57.94133963193141,-0.42441779508176747,7.727606699414746e-05
(c) reversal hazard,reversal_rate_transition,192723,0.030866106182303454,0.030893494037423253,2.7387855119798132e-05,0.004117521144357852,2.3337503511657554,2.7387855119798132e-05
(d) bars-to-MFE,entry_perm_entropy_transition,1978,0.012472058268659048,0.012478361604243648,6.303335584600944e-06,1.1780910187455422,0.11222133916793403,6.303335584600944e-06
