object,chunk,eval_start,eval_end,n_bars_eval,n_trades_eval,nt8_net,py_net,diff,rel_pct
NQ,E1,2022-01-03,2022-09-01,78703,292,91381.88,86824.7,4557.18,5.249
NQ,E2,2022-09-01,2023-05-01,77317,299,20136.36,17441.36,2695.0,15.452
NQ,E3,2023-05-01,2024-01-01,79370,303,40568.92,38629.56,1939.36,5.02
NQ,E4,2024-01-01,2024-09-01,79095,292,60296.88,57262.52,3034.36,5.299
NQ,E5,2024-09-01,2025-05-01,77693,303,59348.92,56443.92,2905.0,5.147
NQ,E6,2025-05-01,2026-01-01,79079,299,44286.36,43767.0,519.36,1.187
NQ,E7,2026-01-01,2026-05-29,48001,185,423.4,1759.04,-1335.64,-75.93
MNQ,E1,2022-01-03,2022-09-01,78703,292,8917.9,8454.75,463.15,5.478
MNQ,E2,2022-09-01,2023-05-01,77317,299,1659.3,1397.3,262.0,18.75
MNQ,E3,2023-05-01,2024-01-01,79370,303,3768.6,3575.3,193.3,5.407
MNQ,E4,2024-01-01,2024-09-01,79095,292,5794.9,5487.6,307.3,5.6
MNQ,E5,2024-09-01,2025-05-01,77693,303,5703.1,5408.1,295.0,5.455
MNQ,E6,2025-05-01,2026-01-01,79079,299,4202.8,4150.5,52.3,1.26
MNQ,E7,2026-01-01,2026-05-29,48001,185,6.0,134.7,-128.7,-95.546
A,E1,2022-01-03,2022-09-01,78703,2668,38272.1,34889.15,3382.95,9.696
A,E2,2022-09-01,2023-05-01,77317,2452,15960.9,13863.25,2097.65,15.131
A,E3,2023-05-01,2024-01-01,79370,2456,19135.8,16424.7,2711.1,16.506
A,E4,2024-01-01,2024-09-01,79095,2440,25851.0,23158.0,2693.0,11.629
A,E5,2024-09-01,2025-05-01,77693,2458,47785.7,44953.7,2832.0,6.3
A,E6,2025-05-01,2026-01-01,79079,2179,36964.7,34475.4,2489.3,7.221
A,E7,2026-01-01,2026-05-29,48001,1526,13359.5,11278.65,2080.85,18.449
