i,py_time,nt_time,dt_sec,py_side,nt_side,side_match,py_price,nt_price,dpx,py_kind,nt_kind,nt_action
0,2024-04-01 07:18:00,2024-04-01 09:39:00,8460.0,-1,1,False,20741.0,20750.0,9.0,exit,entry,Buy
1,2024-04-01 08:24:00,2024-04-01 10:39:00,8100.0,-1,-1,True,20682.5,20707.0,24.5,entry,exit,Sell
2,2024-04-01 09:39:00,2024-04-01 12:21:00,9720.0,1,1,True,20750.25,20661.25,89.0,exit,entry,Buy
3,2024-04-01 09:39:00,2024-04-01 16:42:00,25380.0,1,-1,False,20750.25,20681.5,68.75,entry,exit,Sell
4,2024-04-01 10:42:00,2024-04-02 06:09:00,70020.0,-1,-1,True,20690.25,20630.75,59.5,exit,entry,SellShort
5,2024-04-01 11:21:00,2024-04-02 15:09:00,100080.0,-1,1,False,20624.25,20488.5,135.75,entry,exit,BuyToCover
6,2024-04-01 16:00:00,2024-04-03 01:57:00,122220.0,1,-1,False,20692.25,20457.75,234.5,exit,entry,SellShort
7,2024-04-02 06:45:00,2024-04-03 10:06:00,98460.0,-1,1,False,20608.25,20529.25,79.0,entry,exit,BuyToCover
8,2024-04-02 15:45:00,2024-04-03 12:42:00,75420.0,1,-1,False,20511.25,20559.75,48.5,exit,entry,SellShort
9,2024-04-02 16:00:00,2024-04-03 16:42:00,88920.0,1,1,True,20520.5,20576.25,55.75,entry,exit,BuyToCover
10,2024-04-02 16:42:00,2024-04-03 19:36:00,96840.0,-1,1,False,20527.75,20647.5,119.75,exit,entry,Buy
11,2024-04-03 01:57:00,2024-04-04 10:27:00,117000.0,-1,-1,True,20457.5,20678.75,221.25,entry,exit,Sell
12,2024-04-03 10:06:00,2024-04-04 12:09:00,93780.0,1,1,True,20529.5,20733.5,204.0,exit,entry,Buy
13,2024-04-03 16:00:00,2024-04-04 14:00:00,79200.0,-1,-1,True,20540.75,20694.5,153.75,entry,exit,Sell
14,2024-04-03 16:42:00,2024-04-04 14:15:00,77580.0,1,-1,False,20576.5,20624.25,47.75,exit,entry,SellShort
15,2024-04-03 19:36:00,2024-04-04 16:42:00,75960.0,1,1,True,20647.75,20257.5,390.25,entry,exit,BuyToCover
16,2024-04-04 10:27:00,2024-04-04 18:15:00,28080.0,-1,1,False,20678.5,20301.0,377.5,exit,entry,Buy
17,2024-04-04 14:09:00,2024-04-05 16:42:00,95580.0,-1,-1,True,20664.0,20482.5,181.5,entry,exit,Sell
18,2024-04-04 16:42:00,2024-04-09 15:33:00,427860.0,1,1,True,20257.75,20512.75,255.0,exit,entry,Buy
19,2024-04-04 18:15:00,2024-04-09 16:42:00,426420.0,1,-1,False,20301.25,20579.5,278.25,entry,exit,Sell
20,2024-04-05 16:42:00,2024-04-10 08:36:00,402840.0,-1,-1,True,20482.25,20323.75,158.5,exit,entry,SellShort
21,2024-04-08 09:39:00,2024-04-10 10:42:00,176580.0,-1,1,False,20460.5,20408.25,52.25,entry,exit,BuyToCover
22,2024-04-08 10:54:00,2024-04-10 11:21:00,174420.0,1,-1,False,20553.0,20321.0,232.0,exit,entry,SellShort
23,2024-04-08 12:00:00,2024-04-10 16:42:00,189720.0,-1,1,False,20470.25,20357.75,112.5,entry,exit,BuyToCover
24,2024-04-08 16:00:00,2024-04-12 06:51:00,312660.0,1,-1,False,20477.0,20580.5,103.5,exit,entry,SellShort
25,2024-04-09 09:36:00,2024-04-12 16:42:00,284760.0,1,1,True,20584.5,20373.5,211.0,entry,exit,BuyToCover
26,2024-04-09 09:54:00,2024-04-14 18:54:00,464400.0,-1,1,False,20524.5,20424.25,100.25,exit,entry,Buy
27,2024-04-09 10:33:00,2024-04-15 10:15:00,517320.0,-1,-1,True,20466.75,20377.0,89.75,entry,exit,Sell
28,2024-04-09 12:30:00,2024-04-16 11:57:00,602820.0,1,1,True,20483.75,20104.75,379.0,exit,entry,Buy
29,2024-04-09 15:06:00,2024-04-16 16:42:00,610560.0,-1,-1,True,20414.25,20072.5,341.75,entry,exit,Sell
30,2024-04-09 15:30:00,2024-04-17 02:09:00,643140.0,1,-1,False,20483.25,19989.0,494.25,exit,entry,SellShort
31,2024-04-09 16:00:00,2024-04-17 04:36:00,650160.0,1,1,True,20522.5,20088.75,433.75,entry,exit,BuyToCover
32,2024-04-09 16:42:00,2024-04-17 10:57:00,670500.0,-1,-1,True,20579.25,19963.5,615.75,exit,entry,SellShort
33,2024-04-10 08:36:00,2024-04-17 14:00:00,624240.0,-1,1,False,20323.5,19926.5,397.0,entry,exit,BuyToCover
34,2024-04-10 09:39:00,2024-04-17 16:09:00,628200.0,1,-1,False,20357.25,19835.0,522.25,exit,entry,SellShort
35,2024-04-11 10:21:00,2024-04-17 16:42:00,541260.0,-1,1,False,20368.75,19850.75,518.0,entry,exit,BuyToCover
36,2024-04-11 11:45:00,2024-04-18 02:12:00,570420.0,1,1,True,20470.25,19947.25,523.0,exit,entry,Buy
37,2024-04-11 13:09:00,2024-04-18 09:36:00,592020.0,1,-1,False,20540.0,19821.75,718.25,entry,exit,Sell
38,2024-04-11 16:42:00,2024-04-18 10:39:00,583020.0,-1,1,False,20676.0,19869.25,806.75,exit,entry,Buy
39,2024-04-12 06:51:00,2024-04-18 13:15:00,541440.0,-1,-1,True,20580.25,19773.0,807.25,entry,exit,Sell
40,2024-04-12 16:42:00,2024-04-18 23:12:00,541800.0,1,1,True,20373.75,19479.25,894.5,exit,entry,Buy
41,2024-04-14 18:54:00,2024-04-19 09:42:00,398880.0,1,-1,False,20424.5,19623.25,801.25,entry,exit,Sell
42,2024-04-15 09:39:00,2024-04-22 02:09:00,577800.0,-1,1,False,20451.75,19468.75,983.0,exit,entry,Buy
43,2024-04-15 10:15:00,2024-04-22 10:27:00,605520.0,-1,-1,True,20376.75,19399.25,977.5,entry,exit,Sell
44,2024-04-15 16:42:00,2024-04-22 10:57:00,584100.0,1,-1,False,20039.75,19361.0,678.75,exit,entry,SellShort
45,2024-04-16 16:00:00,2024-04-22 12:09:00,504540.0,1,1,True,20078.0,19439.25,638.75,entry,exit,BuyToCover
46,2024-04-16 16:42:00,2024-04-22 16:00:00,515880.0,-1,1,False,20072.25,19532.25,540.0,exit,entry,Buy
47,2024-04-17 02:09:00,2024-04-22 16:42:00,484380.0,-1,-1,True,19988.75,19525.5,463.25,entry,exit,Sell
48,2024-04-17 04:36:00,2024-04-23 07:15:00,527940.0,1,1,True,20089.0,19606.25,482.75,exit,entry,Buy
49,2024-04-17 10:06:00,2024-04-23 16:42:00,542160.0,-1,-1,True,20049.75,19835.5,214.25,entry,exit,Sell
50,2024-04-17 16:42:00,2024-04-24 11:48:00,587160.0,1,-1,False,19851.0,19808.0,43.0,exit,entry,SellShort
51,2024-04-18 02:12:00,2024-04-24 16:42:00,570600.0,1,1,True,19947.5,19682.25,265.25,entry,exit,BuyToCover
52,2024-04-18 09:36:00,2024-04-25 04:42:00,587160.0,-1,1,False,19821.5,19688.0,133.5,exit,entry,Buy
53,2024-04-18 09:39:00,2024-04-25 08:36:00,601020.0,-1,-1,True,19793.5,19593.5,200.0,entry,exit,Sell
54,2024-04-18 10:21:00,2024-04-25 10:18:00,604620.0,1,1,True,19842.5,19596.0,246.5,exit,entry,Buy
55,2024-04-18 13:18:00,2024-04-25 16:42:00,617040.0,-1,-1,True,19771.0,19980.0,209.0,entry,exit,Sell
56,2024-04-18 16:00:00,2024-04-26 05:09:00,652140.0,1,-1,False,19734.5,19911.0,176.5,exit,entry,SellShort
57,2024-04-18 23:12:00,2024-04-26 09:39:00,642420.0,1,1,True,19479.5,19919.5,440.0,entry,exit,BuyToCover
58,2024-04-19 09:42:00,2024-04-29 09:45:00,864180.0,-1,-1,True,19623.0,20047.0,424.0,exit,entry,SellShort
59,2024-04-22 02:09:00,2024-04-29 16:00:00,654660.0,1,1,True,19469.0,20081.0,612.0,entry,exit,BuyToCover
60,2024-04-22 10:27:00,2024-04-30 08:36:00,684540.0,-1,-1,True,19399.0,19983.5,584.5,exit,entry,SellShort
61,2024-04-22 10:57:00,2024-04-30 09:48:00,687060.0,-1,1,False,19360.75,20067.25,706.5,entry,exit,BuyToCover
