sess,net,contracts
2022-01-03,648.5999999996275,76
2022-01-04,3132.79999999986,48
2022-01-05,3533.500000000181,50
2022-01-06,-2119.2000000000116,58
2022-01-07,-1240.2999999999479,52
2022-01-10,3775.800000000058,48
2022-01-11,-2499.699999999969,38
2022-01-12,-1084.2999999999201,32
2022-01-13,2325.5000000001282,40
2022-01-14,470.3000000000866,58
2022-01-17,-385.29999999997654,12
2022-01-18,332.70000000030905,82
2022-01-19,279.0000000000655,40
2022-01-20,-154.0999999999476,34
2022-01-21,-4419.399999999987,56
2022-01-24,5729.999999999944,50
2022-01-25,2836.799999999954,48
2022-01-26,2511.2999999999356,38
2022-01-27,93.7999999999065,38
2022-01-28,2586.000000000031,40
2022-01-31,-715.7000000000116,8
2022-02-01,-739.2999999999884,22
2022-02-02,772.0000000001382,40
2022-02-03,-101.5,40
2022-02-04,1514.8999999999942,44
2022-02-07,-2110.1999999999753,38
2022-02-08,-437.39999999992506,36
2022-02-09,-491.09999999998763,14
2022-02-10,2103.4999999999636,70
2022-02-11,-1449.0000000000218,50
2022-02-14,-1175.3999999999724,36
2022-02-15,1377.3000000000175,18
2022-02-16,-942.1999999999462,38
2022-02-17,3584.3000000000175,38
2022-02-18,-3803.699999999908,68
2022-02-21,985.5000000000582,40
2022-02-22,1717.800000000041,58
2022-02-23,1879.100000000064,36
2022-02-24,8616.70000000011,52
2022-02-25,-3285.999999999909,30
2022-02-28,-7155.500000000058,50
2022-03-01,-346.49999999998545,40
2022-03-02,-1839.1999999999189,48
2022-03-03,508.60000000012224,36
2022-03-04,-2041.7999999998901,52
2022-03-07,-589.3999999999924,36
2022-03-08,-2092.0999999999276,64
2022-03-09,6323.200000000043,22
2022-03-10,-459.1999999999971,38
2022-03-11,3565.5000000000837,40
2022-03-14,-2511.699999999968,38
2022-03-15,3126.000000000149,50
2022-03-16,-125.59999999998399,24
2022-03-17,-1840.4999999998981,40
2022-03-18,174.60000000000582,26
2022-03-21,-1505.0999999999513,54
2022-03-22,-632.2000000000098,28
2022-03-23,635.5000000000236,50
2022-03-24,2537.5,40
2022-03-25,-967.5999999998567,44
2022-03-28,-1434.6999999999098,38
2022-03-29,-1336.1999999999352,28
2022-03-30,-14.699999999849751,38
2022-03-31,-1020.7999999999174,42
2022-04-01,-1160.8000000000065,52
2022-04-04,759.3999999999978,14
2022-04-05,2574.0999999998858,46
2022-04-06,576.1000000001441,56
2022-04-07,-1569.799999999912,52
2022-04-08,-48.99999999992906,50
2022-04-11,-1765.9000000000506,36
2022-04-12,2129.2999999999593,48
2022-04-13,1030.0000000001492,40
2022-04-14,2803.5000000001055,30
2022-04-18,824.7000000001499,62
2022-04-19,-2157.499999999902,60
2022-04-20,-375.20000000002256,58
2022-04-21,2312.70000000007,32
2022-04-22,-2074.4999999999127,40
2022-04-25,492.60000000006403,56
2022-04-26,8488.699999999983,32
2022-04-27,-715.4999999998581,60
2022-04-28,-878.0999999999513,44
2022-04-29,-344.8999999999578,36
2022-05-02,-1448.4999999999418,60
2022-05-03,-2162.099999999922,34
2022-05-04,-2306.8999999999396,46
2022-05-05,6289.599999999904,46
2022-05-06,-1884.6999999997606,68
2022-05-09,-410.70000000003347,28
2022-05-10,-1915.9999999998327,60
2022-05-11,-2344.9999999998836,60
2022-05-12,-2780.9999999999673,50
2022-05-13,3055.3000000000175,18
2022-05-16,-1956.0999999999476,54
2022-05-17,1701.7000000000662,32
2022-05-18,8386.80000000008,28
2022-05-19,-1430.6999999999462,58
2022-05-20,1284.1000000000386,46
2022-05-23,-2566.6999999998443,38
2022-05-24,-237.59999999988577,44
2022-05-25,-2055.29999999997,52
2022-05-26,2061.300000000134,38
2022-05-27,1242.5999999999804,16
