candidate,sess,net,contracts
CONTROL,2025-08-19,1791.0000000000437,10
CONTROL,2025-09-12,-549.8999999999651,26
CONTROL,2025-10-28,-248.0999999999185,14
CONTROL,2025-11-25,-4982.5000000001455,40
CONTROL,2026-02-17,-3848.699999999866,58
CONTROL,2026-03-02,1896.1999999999825,42
CONTROL,2026-04-22,143.0000000000582,20
CONTROL,2026-05-12,-352.10000000015134,34
F0.5,2025-08-19,1931.0000000000437,10
F0.5,2025-09-12,-549.8999999999651,26
F0.5,2025-10-28,-248.0999999999185,14
F0.5,2025-11-25,-4982.5000000001455,40
F0.5,2026-02-17,-3854.399999999907,56
F0.5,2026-03-02,1733.6999999999825,42
F0.5,2026-04-22,143.0000000000582,20
F0.5,2026-05-12,-352.10000000015134,34
F0.7,2025-08-19,1861.0000000000437,10
F0.7,2025-09-12,-549.8999999999651,26
F0.7,2025-10-28,-248.0999999999185,14
F0.7,2025-11-25,-4982.5000000001455,40
F0.7,2026-02-17,-3948.6999999999243,58
F0.7,2026-03-02,1842.6999999999825,42
F0.7,2026-04-22,143.0000000000582,20
F0.7,2026-05-12,-352.10000000015134,34
