member,dev_mean,dev_pos,dev_worst,dev_sharpe,dev_maxdd,dev_tpw,dev_ptrade,dev_total,dev_stress_mean,hold_mean,hold_pos,hold_worst,hold_sharpe,hold_maxdd,hold_tpw,hold_ptrade,hold_total,hold_stress_mean,dev_bar
S1.ns,1399,54.8,-20957,0.176,-61622,54.2,25.8,321736,857,7174,55.6,-11320,0.393,-16856,92.3,77.7,64562,6250,False
S1.65,1461,53.0,-18346,0.19,-46876,53.6,27.3,336022,925,8397,55.6,-9528,0.418,-14082,92.8,90.5,75574,7469,False
S1.130,1372,53.9,-20957,0.177,-62032,54.2,25.3,315619,831,4333,55.6,-11320,0.259,-17001,92.1,47.0,39001,3412,False
S4.ns,1154,55.2,-26397,0.16,-58380,16.9,68.3,265401,985,8836,77.8,-9195,0.739,-9195,19.8,446.8,79524,8638,False
S4.ns.vf,1130,56.3,-24410,0.177,-37530,15.1,75.0,250855,979,4928,87.5,-9195,0.678,-9195,16.8,294.2,39421,4760,False
S4.65,1151,53.0,-22115,0.174,-31793,16.5,69.8,264732,986,9313,77.8,-9700,0.744,-9700,18.9,493.0,83814,9124,False
S4.65.vf,1176,56.8,-22115,0.195,-30276,14.8,79.6,260994,1028,3317,75.0,-9700,0.469,-9700,16.1,205.7,26533,3155,False
S4.130,1261,56.1,-25347,0.178,-44229,16.7,75.4,289932,1093,9756,88.9,-8200,0.897,-8200,19.3,504.6,87801,9562,False
S4.130.vf,1134,56.8,-23310,0.18,-35456,15.0,75.7,251648,984,5253,87.5,-8200,0.746,-8200,16.5,318.4,42024,5088,False
S5.ns,1249,56.6,-20576,0.16,-47325,6.8,183.7,284692,1181,-873,55.6,-21971,-0.069,-28207,8.2,-106.2,-7858,-955,False
S5.ns.vf,1236,58.2,-16832,0.191,-52794,5.9,210.7,272021,1178,4233,62.5,-4383,0.674,-4383,5.8,736.2,33864,4176,False
S1.ns+S4.nsx1w11,2553,60.9,-25278,0.226,-63910,71.1,35.9,587137,1842,16010,66.7,-9211,0.722,-12332,112.1,142.8,144086,14888,False
S1.ns+S4.nsx2w12,3707,59.1,-45480,0.216,-121218,88.0,42.1,852539,2827,24846,77.8,-18407,0.813,-18407,131.9,188.4,223610,23527,False
S1.ns+S4.nsxx2+w21,3952,57.0,-41926,0.218,-90711,125.3,31.5,908873,2698,23183,66.7,-18674,0.598,-18986,204.4,113.4,208648,21139,False
S1.ns+S4.ns+S5.ns,3791,59.1,-45854,0.232,-89378,77.8,48.7,871829,3012,15136,66.7,-12330,0.658,-12330,120.3,125.8,136228,13933,False
