stop_pts,trades,per_trade,hit,stopped,weekly,maxdd,top5,poswk,worst,fixdd,t
,342,675.4060818713449,57.30994152046783,0.0,1084.454835680751,23480.33999999991,13759.807999999972,51.173708920187785,-10068.720000000001,935.0285450873748,3.8073795353365125
20.0,342,38.5201169590643,13.450292397660817,86.54970760233918,61.84920187793426,13644.78000000001,8170.156000000003,18.779342723004692,-1677.44,91.7667483109862,0.5169326026325844
30.0,342,76.84614035087719,18.71345029239766,80.7017543859649,123.38676056338026,26848.620000000046,12076.89200000001,24.413145539906104,-2477.44,93.03885889128117,0.7629660183036967
40.0,342,221.07128654970762,25.730994152046783,72.22222222222221,354.9595305164318,12773.980000000001,9490.720000000008,31.455399061032864,-3277.44,562.5619967547437,1.8336370310166217
50.0,342,277.1312280701754,30.994152046783626,66.08187134502924,444.97126760563367,12943.48000000001,9497.400000000007,34.27230046948357,-4077.44,695.9830982607496,2.138751121661265
65.0,342,280.76426900584795,36.84210526315789,58.47953216374269,450.8046009389672,13193.600000000006,12587.260000000007,36.15023474178404,-3958.08,691.739869786062,2.048872644688436
80.0,342,313.3373684210526,41.52046783625731,51.75438596491229,503.1050704225352,15903.540000000008,13250.544000000013,38.497652582159624,-4858.08,640.4462245955442,2.107403366350806
100.0,342,396.18093567251464,46.49122807017544,42.10526315789473,636.1215023474178,20770.74000000002,13433.62000000001,44.13145539906103,-6055.58,620.0202696207965,2.4577656916774346
130.0,342,414.40461988304077,50.58479532163743,30.994152046783626,665.3820657276995,15877.840000000011,14001.456000000011,46.478873239436616,-7853.08,848.393731178628,2.5044699985648062
170.0,342,421.94116959064314,52.33918128654971,20.46783625730994,677.4830046948355,22312.839999999982,14257.308,48.82629107981221,-10250.58,614.6973415328105,2.4128597526490476
220.0,342,574.0610526315788,56.14035087719298,9.064327485380117,921.7318309859154,22745.33999999991,13493.667999999987,49.76525821596244,-10690.58,820.4080887913714,3.3132272006790386
300.0,342,665.7496491228069,57.30994152046783,1.7543859649122806,1068.9501408450703,23885.33999999991,13789.667999999972,51.173708920187785,-9635.58,906.0325539183671,3.743271154380654
