ALWAYS ON,VETO D3_RANGE_EXP@0.50
-10254.239999999998,-10329.88
-24564.120000000003,-20706.68
-3456.6799999999994,1179.4800000000005
-16997.96,-11800.52
13724.599999999999,2642.56
-12586.039999999999,-11752.96
786.4000000000004,786.4000000000004
-14643.599999999999,-4010.5199999999995
44589.6,43775.76
-5798.599999999999,-9831.8
-1087.3199999999997,10304.48
1536.3999999999999,1536.3999999999999
-5028.480000000001,0.0
9743.960000000003,9340.120000000003
-12832.84,751.92
4790.24,3918.84
-5429.120000000001,-1058.72
2294.6000000000004,-5370.52
-23140.4,-3466.8000000000006
4067.04,540.1200000000001
-5361.8,-5361.8
-17667.320000000003,-21649.880000000005
-8076.68,-2470.5199999999995
-3917.319999999999,4042.56
2083.3200000000006,763.2000000000003
-3043.6000000000004,-57.440000000000055
-4394.760000000001,-998.08
-962.3199999999999,-3840.52
-3912.32,-574.8800000000001
-3231.6799999999994,-4282.959999999999
7208.3200000000015,-11191.16
-8892.96,-9504.24
22359.6,1098.8400000000001
2495.7599999999993,-4565.5199999999995
-19905.4,-19905.4
27298.96,18233.840000000004
180.2400000000007,1233.8400000000001
17123.32,9799.48
-4717.96,-4717.96
-1646.1599999999994,462.5600000000004
-7986.040000000001,-2737.96
9664.6,9664.6
4443.96,-858.6
-1552.9599999999998,-1226.8
-4026.04,-4026.04
-9311.68,-7738.6
-2346.039999999999,6874.48
-4309.759999999999,0.0
-5560.400000000001,4778.2
-17739.76,-7648.08
5349.6,171.91999999999996
-6619.12,-6514.880000000001
1134.4800000000002,1252.5600000000002
5180.880000000001,-7153.08
-21894.760000000002,-1091.7999999999997
-20839.119999999995,-958.08
16119.600000000002,-521.8000000000001
14890.880000000001,0.0
-13517.96,-3307.4399999999996
-4444.119999999999,0.0
3700.88,-808.72
-857.96,4786.92
-1575.4,4811.28
7758.32,-5521.16
-3743.4799999999996,0.0
-13583.48,0.0
78.96000000000004,-1319.88
-3084.12,0.0
-5958.4800000000005,0.0
-1413.479999999999,-3118.08
1442.6799999999994,10958.84
1838.3200000000002,1017.0400000000005
-4534.88,1501.28
-1679.7600000000002,2132.56
607.1600000000005,0.0
-4742.96,4091.92
6312.68,6370.12
694.4800000000002,-1586.8
6602.04,-1597.44
5634.5999999999985,-814.36
-7412.32,-7808.72
2159.6,-2491.8
-4895.4,5269.48
1328.96,120.64
23610.879999999997,0.0
-3726.68,1381.92
7432.68,4259.48
-16389.12,31.28
-7622.2,0.0
4743.32,4743.32
1570.76,-1688.08
-7970.400000000001,-15836.800000000001
3022.160000000001,-57.43999999999869
-23621.039999999997,-78.72
-1556.6799999999992,0.0
-3439.76,1292.5600000000002
1037.6800000000003,-812.4399999999998
-1879.88,1938.8399999999997
2777.040000000002,2531.92
5680.76,1536.92
-2402.3199999999997,3383.84
-5242.32,-637.4399999999998
-20657.96,-8963.08
-2514.119999999998,-104.36
-9017.96,0.0
373.9600000000005,1650.1199999999997
-3097.8399999999992,0.0
17920.24,0.0
-15181.560000000001,0.0
-6535.399999999998,0.0
-11111.039999999999,-1068.72
-11366.68,0.0
21835.88,0.0
-5416.68,0.0
-10367.32,2537.5599999999995
2082.6800000000003,4314.48
4451.400000000001,1432.56
19427.68,920.64
1922.6799999999998,6929.48
-6346.679999999999,3729.48
6871.4,-1756.7999999999997
1618.3200000000002,3092.56
-13901.039999999999,-4661.8
-6122.96,434.4799999999998
3120.24,2041.92
-899.2399999999998,-523.08
-5727.96,-6164.88
-4071.04,-3971.8
33983.32,19898.84
-4432.959999999999,-708.72
-5231.040000000001,0.0
-3951.04,3903.84
-2243.4800000000005,-1663.5999999999997
5140.76,5140.76
1398.3200000000006,8886.92
-6259.759999999999,-2261.8
-7194.24,1841.92
-15696.679999999998,1318.1999999999998
-18138.479999999996,0.0
33407.159999999996,0.0
-29542.199999999997,0.0
6876.4,-1436.1599999999999
-17472.96,-908.72
-26734.76,0.0
-115667.20000000001,0.0
22845.760000000002,10048.84
-21026.04,-8848.08
732.0400000000005,1918.2000000000003
7725.120000000001,6263.840000000001
8837.04,9885.76
1092.04,1092.04
-2555.5199999999995,1042.5600000000004
11090.760000000002,11090.760000000002
11535.76,11535.76
1804.4800000000005,7457.56
-4403.6,-4403.6
1168.2,1168.2
-1403.6,-1403.6
4343.960000000001,4343.960000000001
-532.3199999999997,-532.3199999999997
-11836.04,-1595.5199999999998
-13116.04,-12044.24
962.6800000000007,5040.76
2990.2400000000007,1448.8400000000001
-1286.6799999999998,-3669.24
-3142.320000000001,-4287.4400000000005
1863.3200000000002,1863.3200000000002
10877.68,7635.76
3600.880000000001,-12864.24
-94.75999999999931,6242.68
-19806.039999999997,1268.8400000000001
-1847.199999999997,-4637.44
-12306.039999999999,-7804.24
-2555.4,2022.0399999999995
30147.16,0.0
32705.88,4951.28
-25534.120000000003,0.0
-10027.319999999998,0.0
5260.879999999999,-5604.24
-1135.4,-927.4399999999994
8392.16,0.0
-2896.16,-2896.16
1450.7600000000002,-771.7999999999997
1868.96,8603.84
-620.4000000000005,-5037.4400000000005
17512.04,9783.84
5656.400000000001,-5876.8
-14893.480000000001,0.0
10726.52,-6118.08
6362.04,-938.08
-379.7599999999994,-2228.72
1847.800000000001,0.0
-23465.399999999998,0.0
-8937.96,-5950.519999999999
-2481.0399999999972,-16663.079999999998
-4846.039999999999,8641.919999999998
-116.67999999999927,-3676.16
-16514.760000000002,-8308.08
-1297.3199999999988,7771.920000000001
15871.52,1563.84
1195.2399999999998,-868.08
1345.240000000001,3502.56
4167.16,-3750.5200000000004
10164.6,0.0
-63584.12,0.0
-32905.4,0.0
-5367.960000000001,0.0
18257.160000000003,0.0
-27582.959999999995,7486.92
5813.32,0.0
-2852.959999999999,-10191.159999999998
-6081.6799999999985,381.2800000000002
31180.88,0.0
