quarter,cfg
2022-07-01,"('narrow5', 0.7, True, 'both')"
2022-10-01,"('all13', None, True, 'both')"
2023-01-01,"('narrow5', None, True, 'both')"
2023-04-01,"('narrow7', 0.7, False, 'both')"
2023-07-01,"('narrow7', None, True, 'long')"
2023-10-01,"('narrow6', 0.7, True, 'both')"
2024-01-01,"('all13', 0.7, True, 'long')"
2024-04-01,"('narrow7', 0.8, True, 'long')"
2024-07-01,"('narrow7', 0.8, True, 'both')"
2024-10-01,"('narrow7', 0.8, True, 'both')"
2025-01-01,"('narrow7', 0.7, True, 'both')"
2025-04-01,"('narrow6', 0.7, True, 'both')"
2025-07-01,"('narrow5', 0.9, True, 'long')"
2025-10-01,"('narrow5', 0.9, True, 'long')"
2026-01-01,"('narrow6', 0.9, True, 'both')"
2026-04-01,"('narrow6', 0.9, True, 'long')"
2026-07-01,"('all13', 0.8, True, 'long')"
