name,n,wk_mean,wk_pos,day_pos,worst,sharpe
0.50 / 0.50 (baseline),2334,1060,59.1,46.1,-7487.0,0.305
0.50 / 0.30,1900,1064,58.6,44.7,-9571.0,0.293
0.50 / 0.40,2334,1060,59.1,46.1,-7487.0,0.305
0.60 / 0.30,1255,1054,58.9,46.8,-11281.0,0.298
0.60 / 0.40,1641,1098,58.9,45.2,-6863.0,0.324
0.60 / 0.50,1641,1098,58.9,45.2,-6863.0,0.324
0.70 / 0.30,1255,1054,58.9,46.8,-11281.0,0.298
0.70 / 0.40,1641,1098,58.9,45.2,-6863.0,0.324
0.70 / 0.50,1641,1098,58.9,45.2,-6863.0,0.324
year 2022,489,17443,,,,0.102
year 2023,582,23967,,,,0.189
year 2024,628,65437,,,,0.376
year 2025,457,73532,,,,0.326
year 2026,178,36919,,,,0.454
