arm,n,avg_size,pts,per_trade,wk,pos,worst,sharpe,eff,stress,passes
S0 base short [EVAL],927,1.0,6.49,69.5,657.0,50.0,-8269.0,0.153,0.079,563.0,
S1 mirror score [EVAL],835,1.28,6.89,81.8,697.0,49.0,-11892.0,0.129,0.059,612.0,False
S2 short-specific score [EVAL],927,1.0,6.49,69.5,657.0,50.0,-8269.0,0.153,0.079,563.0,False
S3 hour restriction [EVAL],920,1.0,8.25,88.9,835.0,49.0,-8200.0,0.177,0.102,741.0,True
S4 S2 + S3 [EVAL],920,1.0,8.25,88.9,835.0,49.0,-8200.0,0.177,0.102,741.0,True
S0 base short [FULL],2225,1.0,5.99,54.6,601.0,50.0,-8269.0,0.162,0.073,491.0,
S1 mirror score [FULL],2020,1.25,7.36,73.8,738.0,52.0,-11892.0,0.161,0.062,638.0,False
S2 short-specific score [FULL],2225,1.0,5.99,54.6,601.0,50.0,-8269.0,0.162,0.073,491.0,False
S3 hour restriction [FULL],2091,1.0,7.97,77.2,800.0,55.4,-8200.0,0.204,0.098,696.0,True
S4 S2 + S3 [FULL],2091,1.0,7.97,77.2,800.0,55.4,-8200.0,0.204,0.098,696.0,True
NULL S3 hour restriction [EVAL],100,,,,,65.0,,,0.087,,
C1a long P2 alone [EVAL],1426,1.11,20.22,140.6,2026.0,61.6,-5818.0,0.35,0.348,1882.0,
C1 P2 + S0 [EVAL],2353,1.07,26.71,112.6,2650.0,66.0,-12062.0,0.32,0.22,2414.0,
C1 P2 + S3 [EVAL],2346,1.07,28.46,120.4,2824.0,65.0,-10677.0,0.355,0.264,2589.0,
