period,band,n,per_trade,net,stress_net
2022-2024,HIGH-vol band,1540,13.4,20701,12015
2022-2024,LOW-vol band,1842,-6.0,-10961,-21350
2025-2026,HIGH-vol band,829,96.9,80341,75665
2025-2026,LOW-vol band,525,5.1,2666,-295
2006-2011,HIGH-vol band,2388,-1.4,-3322,-16790
2006-2011,LOW-vol band,1889,0.5,1034,-9620
2011-2016,HIGH-vol band,3349,-0.1,-327,-19215
2011-2016,LOW-vol band,1957,-8.9,-17388,-28425
2016-2019,HIGH-vol band,2066,-7.2,-14943,-26595
2016-2019,LOW-vol band,1554,2.4,3755,-5010
2019-2022,HIGH-vol band,1719,7.3,12550,2855
2019-2022,LOW-vol band,1950,19.1,37268,26270
