arm,wk,wkpos,worst,cvar5,sharpe,eff,cveff,stress,w
LONG x1,1470,58.6,-7418,-5398,0.311,0.198,0.272,1374,
B ungated,323,53.7,-11175,-8241,0.076,0.029,0.039,114,
B REGIME-GATED,200,32.0,-9142,-7721,0.06,0.022,0.026,84,
2023 B-gated,46,51.4,-4945,-4232,0.019,0.009,0.011,-154,
2024 B-gated,-470,41.9,-9142,-8766,-0.108,-0.051,-0.054,-667,
2025 B-gated,1946,69.2,-5913,-5380,0.478,0.329,0.362,1791,
2026 B-gated,846,52.9,-8337,-8337,0.135,0.101,0.101,677,
w=0.00 (long x1.00 + B x0.00),1470,58.6,-7418,-5398,0.311,0.198,0.272,1374,0.0
w=0.05 (long x0.95 + B x0.16),1427,57.1,-7270,-4831,0.316,0.196,0.295,1318,0.05
w=0.10 (long x0.90 + B x0.31),1385,56.2,-7793,-4796,0.316,0.178,0.289,1262,0.1
w=0.15 (long x0.85 + B x0.47),1343,57.1,-8414,-5248,0.311,0.16,0.256,1207,0.15
w=0.20 (long x0.80 + B x0.62),1300,57.6,-9464,-5972,0.3,0.137,0.218,1151,0.2
w=0.30 (long x0.70 + B x0.93),1216,58.1,-11565,-7914,0.266,0.105,0.154,1040,0.3
8 long : 1 B-gated,11957,57.6,-59497,-41083,0.315,0.201,0.291,11073,
long alone x8.32 (match 8:1),12228,58.6,-61723,-44915,0.311,0.198,0.272,11429,
6 long : 1 B-gated,9018,57.1,-46004,-30496,0.316,0.196,0.296,8325,
long alone x6.32 (match 6:1),9289,58.6,-46888,-34119,0.311,0.198,0.272,8682,
4 long : 1 B-gated,6078,56.2,-32510,-20551,0.316,0.187,0.296,5578,
long alone x4.32 (match 4:1),6350,58.6,-32052,-23324,0.311,0.198,0.272,5935,
