Commission,EntryEfficiency,ExitEfficiency,Fee,MaeCurrency,MaePercent,MaePips,MaePoints,MaeTicks,MfeCurrency,MfePercent,MfePips,MfePoints,MfeTicks,ProfitCurrency,ProfitPercent,ProfitPips,ProfitPoints,ProfitTicks,Quantity,TotalEfficiency,TradeNumber,entry,exit
4.36,0.5436397400185701,0.24001857010213556,0.0,4915.0,0.009554914025214087,983.0,245.75,983.0,5855.0,0.011382303482732142,1171.0,292.75,1171.0,-2334.36,-0.0045380689936721785,-466.872,-116.718,-466.872,1,-0.21634168987929434,0,"{'time': '2026-01-01T20:01:00.0000000', 'price': 25719.75, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00000-1145', 'order_action': 'Buy', 'name': 'L', 'commission': 2.18}","{'time': '2026-01-02T17:00:00.0000000', 'price': 25603.25, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00001-1145', 'order_action': 'Sell', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.09935004642525534,0.596100278551532,0.0,4850.0,0.009340394800192586,970.0,242.5,970.0,535.0,0.0010303322099181511,107.0,26.75,107.0,-1644.3600000000001,-0.003166798266730862,-328.872,-82.218,-328.872,1,-0.3045496750232126,1,"{'time': '2026-01-07T04:01:00.0000000', 'price': 25962.5, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00002-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-07T17:00:00.0000000', 'price': 26044.5, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00003-1145', 'order_action': 'BuyToCover', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.03714859437751004,0.5742971887550201,0.0,4795.0,0.009214951474968772,959.0,239.75,959.0,185.0,0.0003555299317766888,37.0,9.25,37.0,-1939.3600000000001,-0.0037270298837321033,-387.872,-96.968,-387.872,1,-0.3885542168674699,2,"{'time': '2026-01-08T08:22:00.0000000', 'price': 26017.5, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00004-1145', 'order_action': 'Buy', 'name': 'L', 'commission': 2.18}","{'time': '2026-01-08T17:00:00.0000000', 'price': 25920.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00005-1145', 'order_action': 'Sell', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.0445945945945946,0.14527027027027026,0.0,7070.0,0.013679943500091909,1414.0,353.5,1414.0,330.0,0.0006385263585615742,66.0,16.5,66.0,-5999.360000000001,-0.01160833180151505,-1199.872,-299.968,-1199.872,1,-0.8101351351351351,3,"{'time': '2026-01-08T20:37:00.0000000', 'price': 25840.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00006-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-09T17:00:00.0000000', 'price': 26140.5, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00007-1145', 'order_action': 'BuyToCover', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.5274016763378465,0.20180528691166988,0.0,3665.0,0.007035629271289257,733.0,183.25,733.0,4090.0,0.00785149351147969,818.0,204.5,818.0,-2104.36,-0.004039698994087384,-420.872,-105.218,-420.872,1,-0.27079303675048355,4,"{'time': '2026-01-11T19:37:00.0000000', 'price': 26046.0, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00008-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-12T17:00:00.0000000', 'price': 26151.0, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00009-1145', 'order_action': 'BuyToCover', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.19298245614035087,0.6078431372549019,0.0,3910.0,0.007502278505300523,782.0,195.5,782.0,935.0,0.0017940231208327336,187.0,46.75,187.0,-969.3600000000001,-0.0018599510720967048,-193.872,-48.468,-193.872,1,-0.19917440660474717,5,"{'time': '2026-01-12T20:43:00.0000000', 'price': 26058.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00010-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-13T17:00:00.0000000', 'price': 26107.0, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00011-1145', 'order_action': 'BuyToCover', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.9129304743339831,0.47823261858349575,0.0,670.0,0.0012894162023806086,134.0,33.5,134.0,7025.0,0.013519625107050412,1405.0,351.25,1405.0,3005.6400000000003,0.0057843595739153035,601.128,150.282,601.128,1,0.39116309291747886,6,"{'time': '2026-01-14T05:25:00.0000000', 'price': 25980.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00012-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-14T15:40:00.0000000', 'price': 25830.25, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00013-1145', 'order_action': 'BuyToCover', 'name': 'Close position', 'commission': 2.18}"
4.36,0.3546099290780142,0.5555555555555556,0.0,1365.0,0.0026422508492949157,273.0,68.25,273.0,750.0,0.0014517861809312724,150.0,37.5,150.0,-194.36,-0.0003762255495010695,-38.872,-9.718,-38.872,1,-0.08983451536643026,7,"{'time': '2026-01-14T15:40:00.0000000', 'price': 25830.25, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00014-1145', 'order_action': 'Buy', 'name': 'L', 'commission': 2.18}","{'time': '2026-01-14T17:00:00.0000000', 'price': 25820.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00015-1145', 'order_action': 'Sell', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.5487571701720841,0.8833652007648184,0.0,2360.0,0.0045334485905008885,472.0,118.0,472.0,2870.0,0.0055131345147193,574.0,143.5,574.0,2255.64,0.0043329779570667045,451.128,112.782,451.128,1,0.4321223709369025,8,"{'time': '2026-01-15T10:55:00.0000000', 'price': 26028.75, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00016-1145', 'order_action': 'SellShort', 'name': 'S', 'commission': 2.18}","{'time': '2026-01-15T17:00:00.0000000', 'price': 25915.75, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00017-1145', 'order_action': 'BuyToCover', 'name': 'Exit on session close', 'commission': 2.18}"
4.36,0.19282136894824708,0.2996661101836394,0.0,4835.0,0.00928308117656094,967.0,241.75,967.0,1155.0,0.002217571615083327,231.0,57.75,231.0,-3044.3599999999997,-0.005845096382766301,-608.872,-152.218,-608.872,1,-0.5075125208681135,9,"{'time': '2026-01-16T02:52:00.0000000', 'price': 26042.0, 'quantity': 1, 'market_position': 'Long', 'order_id': 'NT-00018-1145', 'order_action': 'Buy', 'name': 'L', 'commission': 2.18}","{'time': '2026-01-16T17:00:00.0000000', 'price': 25890.0, 'quantity': 1, 'market_position': 'Short', 'order_id': 'NT-00019-1145', 'order_action': 'Sell', 'name': 'Exit on session close', 'commission': 2.18}"
