arm,n,avg_size,pts,per_trade,wk,worst,cvar5,sharpe,eff,cveff,stress,corr,corr_dd,passes
C0 1-min (incumbent),1950.0,1.18,14.72,153.0,1470,-7418,-5398,0.311,0.198,0.272,1374.0,1.0,1.0,
C1 3-min sigma=460 bars,1298.0,1.19,11.02,172.0,1100,-15410,-9916,0.209,0.071,0.111,1036.0,0.483,0.195,False
C2 3-min sigma=153 bars,1019.0,1.2,8.58,170.5,856,-17486,-8872,0.171,0.049,0.096,806.0,0.417,0.172,False
"C3 3-min, no pre-close block  [DIAGNOSTIC]",1300.0,1.2,11.34,176.7,1131,-15410,-9916,0.214,0.073,0.114,1067.0,0.49,0.219,
C0 1-min 2022,215.0,1.13,10.55,128.6,1024,-3879,-3261,0.269,0.264,0.314,944.0,,,
C0 1-min 2023,550.0,1.19,3.04,28.5,308,-5784,-4797,0.117,0.053,0.064,200.0,,,
C0 1-min 2024,595.0,1.18,19.59,170.5,1951,-6747,-5692,0.41,0.289,0.343,1837.0,,,
C0 1-min 2025,427.0,1.21,23.17,281.1,2265,-7418,-5066,0.355,0.305,0.447,2184.0,,,
C0 1-min 2026,163.0,1.17,15.79,205.3,1521,-6344,-6120,0.346,0.24,0.249,1447.0,,,
C1 3-min sigma=460 bars 2022,191.0,1.1,-3.24,-44.5,-315,-7534,-7427,-0.079,-0.042,-0.042,-385.0,,,
C1 3-min sigma=460 bars 2023,323.0,1.23,13.37,213.6,1380,-6165,-5597,0.38,0.224,0.247,1315.0,,,
C1 3-min sigma=460 bars 2024,353.0,1.18,13.23,194.1,1318,-15410,-10940,0.231,0.086,0.12,1250.0,,,
C1 3-min sigma=460 bars 2025,316.0,1.22,10.18,167.0,1077,-9226,-7710,0.187,0.117,0.14,1012.0,,,
C1 3-min sigma=460 bars 2026,115.0,1.22,19.58,361.0,1887,-15361,-13671,0.248,0.123,0.138,1835.0,,,
C2 3-min sigma=153 bars 2022,140.0,1.04,9.74,182.3,945,-4278,-4025,0.254,0.221,0.235,894.0,,,
C2 3-min sigma=153 bars 2023,263.0,1.25,6.7,131.5,692,-7431,-6733,0.184,0.093,0.103,639.0,,,
C2 3-min sigma=153 bars 2024,286.0,1.21,6.49,117.5,646,-11405,-8263,0.147,0.057,0.078,591.0,,,
C2 3-min sigma=153 bars 2025,249.0,1.22,10.92,227.3,1179,-9162,-8217,0.191,0.129,0.143,1127.0,,,
C2 3-min sigma=153 bars 2026,81.0,1.23,11.06,289.4,1116,-17486,-13978,0.143,0.064,0.08,1078.0,,,
w=0.00 1-min alone,,,,,1470,-7418,-5398,0.311,0.198,0.272,,,,
w=0.10 1-min + 3-min,,,,,1424,-7490,-5263,0.316,0.19,0.271,,,,
w=0.20 1-min + 3-min,,,,,1378,-8234,-5366,0.318,0.167,0.257,,,,
w=0.30 1-min + 3-min,,,,,1332,-8977,-5605,0.317,0.148,0.238,,,,
w=0.50 1-min + 3-min,,,,,1241,-10464,-6273,0.301,0.119,0.198,,,,
w=1.00 3-min alone (scaled),,,,,1012,-14182,-9125,0.209,0.071,0.111,,,,
