arm,n,pts,per_trade,in_mkt,density,expo,wk,worst,cvar5,sharpe,eff,cveff,stress,corr,passes
X0  1-min base vote,2072,10.62,103.9,16.7,0.0467,178454,1060,-7487,-4860,0.305,0.142,0.218,958,0.89,
X0q 1-min full (incumbent),1950,14.72,153.0,16.7,0.0648,212193,1470,-7418,-5398,0.311,0.198,0.272,1374,1.0,
X1  confirm f3 >= 0.50,1436,8.55,120.6,12.3,0.051,140605,853,-8522,-5596,0.243,0.1,0.152,783,0.76,False
X2  confirm f3 >= 0.25,1607,9.51,119.9,14.2,0.0491,157383,949,-8562,-5840,0.267,0.111,0.163,870,0.818,False
X3  pooled 64-config vote,1756,10.68,123.2,15.3,0.051,175149,1065,-8318,-6044,0.249,0.128,0.176,979,0.743,False
X4  3-min dir + 1-min timing,731,6.25,173.3,7.7,0.0592,101052,624,-8478,-5991,0.169,0.074,0.104,588,0.615,False
X5a confirm f3 >= 0.50 +Q,1381,13.14,192.8,12.3,0.0784,174701,1312,-8912,-6324,0.266,0.147,0.207,1243,0.81,False
X5b confirm f3 >= 0.25 +Q,1524,15.14,201.2,14.2,0.0782,191257,1511,-11221,-6349,0.304,0.135,0.238,1436,0.869,False
X5c pooled 64-config vote +Q,1665,15.16,184.4,15.3,0.0725,217185,1513,-9767,-6703,0.29,0.155,0.226,1431,0.753,False
X5d 3-min dir + 1-min timing +Q,719,8.81,248.2,7.7,0.0835,126212,879,-9447,-6793,0.203,0.093,0.129,844,0.629,False
X0q 1-min full (incumb 2022,215,10.55,128.6,10.6,0.0735,17127,1024,-3879,-3261,0.269,0.264,0.314,944,0.0,
X0q 1-min full (incumb 2023,550,3.04,28.5,15.0,0.0148,52826,308,-5784,-4797,0.117,0.053,0.064,200,0.0,
X0q 1-min full (incumb 2024,595,19.59,170.5,18.2,0.0787,63871,1951,-6747,-5692,0.41,0.289,0.343,1837,0.0,
X0q 1-min full (incumb 2025,427,23.17,281.1,17.8,0.0958,55750,2265,-7418,-5066,0.355,0.305,0.447,2184,0.0,
X0q 1-min full (incumb 2026,163,15.79,205.3,21.5,0.0536,22619,1521,-6344,-6120,0.346,0.24,0.249,1447,0.0,
