arm,daypos,trdpos,wkpos,dstreak,wstreak,medday,medwk,weekly,dd_top5,ulcer,worst,annshrp,ntr,rate,model,blocked,blocked_pnl
P1 INCUMBENT,27.56916996047431,45.96375617792422,58.333333333333336,6,8,0.0,455.49550016794115,1474.5785699190676,14265.939067038102,6182.7825169490325,-7417.766720012648,2.2610777365450394,607,,,,
M1 ridge on per-unit P&L @5%,27.173913043478258,46.3743676222597,58.82352941176471,6,8,0.0,584.7942228281277,1457.569326188382,13324.62036630906,6023.345116541567,-6344.177325983446,2.3032110699952972,593,0.05,M1 ridge on per-unit P&L,73.0,3469.920000000002
M1 ridge on per-unit P&L @10%,26.08695652173913,45.28301886792453,56.372549019607845,6,8,0.0,306.07697627091864,1367.4511968559584,13573.137911208572,6953.233696013933,-6344.177325983446,2.1880981323601745,583,0.1,M1 ridge on per-unit P&L,145.0,21854.2
M1 ridge on per-unit P&L @15%,25.494071146245062,44.71403812824957,56.372549019607845,6,8,0.0,270.6973257858655,1374.3940694439125,13369.067927212362,6862.307977579776,-6344.177325983446,2.2037655089623778,577,0.15,M1 ridge on per-unit P&L,217.0,20437.839999999997
M1 ridge on per-unit P&L @20%,25.09881422924901,44.40559440559441,55.88235294117647,6,8,0.0,245.6975727579872,1355.4975894552406,13533.178305968817,6804.870327461737,-6344.177325983446,2.201066271204085,572,0.2,M1 ridge on per-unit P&L,289.0,24292.760000000002
M1 ridge on per-unit P&L @25%,24.50592885375494,43.89380530973451,55.392156862745104,7,8,0.0,245.6975727579872,1329.7384321647976,13476.026870566851,6606.350873999647,-6344.177325983446,2.1684659602435326,565,0.25,M1 ridge on per-unit P&L,361.0,29547.68
M1 ridge on per-unit P&L @30%,24.011857707509883,43.942133815551536,55.392156862745104,7,8,0.0,239.85763045067478,1316.4452301547738,13462.739001837474,6549.213438389294,-6344.177325983446,2.1989192912735898,553,0.3,M1 ridge on per-unit P&L,433.0,32259.520000000004
M2 logistic-ish on win/loss @5%,27.07509881422925,45.742904841402336,56.86274509803921,6,8,0.0,391.1961353802383,1352.6960485041634,14811.2296801217,6553.7564723914265,-6848.41234465454,2.145338603441652,599,0.05,M2 logistic-ish on win/loss,73.0,24864.28
M2 logistic-ish on win/loss @10%,25.988142292490117,44.50084602368866,55.88235294117647,6,8,0.0,201.68428465570932,1173.6445062223859,14743.969935111601,6729.92214613747,-6318.584747461187,2.0299697560539274,591,0.1,M2 logistic-ish on win/loss,145.0,43544.32
M2 logistic-ish on win/loss @15%,25.494071146245062,43.95229982964225,55.88235294117647,6,8,0.0,202.14770222280276,993.7120489838038,13160.490726914833,6276.881118249543,-5381.15526890924,2.0096815095463976,587,0.15,M2 logistic-ish on win/loss,217.0,46261.799999999996
M2 logistic-ish on win/loss @20%,24.90118577075099,43.373493975903614,55.88235294117647,5,8,0.0,212.97526017923283,983.1869571818589,13705.189560339357,6389.129507683345,-5322.904840212317,1.951930642955437,581,0.2,M2 logistic-ish on win/loss,289.0,61762.35999999999
M2 logistic-ish on win/loss @25%,24.802371541501977,43.80453752181501,55.392156862745104,5,8,0.0,202.5684440458836,972.5270803431862,12764.934884843595,6398.396140002467,-4812.582227166934,2.015563835617616,573,0.25,M2 logistic-ish on win/loss,361.0,55594.84
M2 logistic-ish on win/loss @30%,24.209486166007903,43.36283185840708,55.392156862745104,6,8,0.0,220.40193302526012,1018.4166041651494,13894.734873698913,6606.4016972384225,-5361.317128331148,1.945281738657505,565,0.3,M2 logistic-ish on win/loss,433.0,70306.79999999999
M3 on SHORT-trade label @5%,27.173913043478258,45.45454545454545,57.35294117647059,6,8,0.0,621.9738555311882,1453.2468198707381,14562.472137593093,6295.334319029446,-6769.053128642842,2.236588550266413,605,0.05,M3 on SHORT-trade label,73.0,4351.72
M3 on SHORT-trade label @10%,26.877470355731226,45.40901502504174,57.35294117647059,6,8,0.0,588.1941892399191,1447.9656955722846,14961.260197972842,6431.339238698168,-6746.613350325019,2.232305330895034,599,0.1,M3 on SHORT-trade label,145.0,5429.080000000002
M3 on SHORT-trade label @15%,26.58102766798419,45.593220338983045,56.372549019607845,6,8,0.0,478.83526959476853,1381.5790965023716,14110.284604745817,6269.151262334025,-6746.613350325019,2.165685972496884,590,0.15,M3 on SHORT-trade label,217.0,18972.08
M3 on SHORT-trade label @20%,26.284584980237153,45.31516183986371,57.84313725490197,6,8,0.0,574.7943216169763,1405.8596409490244,13937.91830754944,6184.007584056377,-6746.613350325019,2.2303662043019346,587,0.2,M3 on SHORT-trade label,289.0,14018.800000000001
M3 on SHORT-trade label @25%,26.18577075098814,45.76856649395509,58.333333333333336,6,8,0.0,493.6351233872724,1410.8662581554079,12939.488171023257,6019.819436681166,-6687.253936735625,2.28098708628185,579,0.25,M3 on SHORT-trade label,361.0,12997.439999999997
M3 on SHORT-trade label @30%,26.08695652173913,46.234676007005255,57.84313725490197,6,8,0.0,416.6558838638298,1392.9319255244438,12702.026516902773,5950.663536841989,-4902.271570545119,2.285946463560898,571,0.3,M3 on SHORT-trade label,433.0,16656.079999999994
