,p1_usd
2022-07-05,4836.280000000001
2022-07-07,2046.2799999999997
2022-07-08,-88.72000000000003
2022-07-12,1351.2800000000002
2022-07-13,-538.08
2022-07-14,500.64
2022-07-15,-1933.7199999999998
2022-07-19,1046.28
2022-07-21,-1302.44
2022-07-22,-739.36
2022-07-28,-1623.08
2022-08-01,247.55999999999995
2022-08-02,-1187.44
2022-08-03,4876.280000000001
2022-08-04,-598.08
2022-08-08,-511.1600000000001
2022-08-12,1306.92
2022-08-17,-504.36
2022-08-18,-118.72
2022-08-23,-403.72
2022-08-24,-293.72
2022-08-25,-321.1600000000001
2022-08-29,257.56000000000006
2022-08-30,1028.2
2022-09-01,-2178.72
2022-09-06,305.1199999999999
2022-09-07,1126.28
2022-09-08,516.9200000000001
2022-09-12,771.92
2022-09-14,466.91999999999996
2022-09-20,-462.44000000000005
2022-09-21,-2153.72
2022-09-22,1747.5600000000002
2022-09-23,466.91999999999996
2022-09-27,1165.64
2022-09-28,3010.64
2022-10-03,-1449.88
2022-10-04,3701.92
2022-10-06,-1648.08
2022-10-07,-1588.08
2022-10-11,-3203.7200000000003
2022-10-13,9981.92
2022-10-17,11658.2
2022-10-20,1266.9199999999998
2022-10-21,-1866.8
2022-10-25,2371.28
2022-10-26,-178.08000000000004
2022-10-27,-1553.72
2022-11-01,1223.84
2022-11-02,-1557.44
2022-11-03,-794.36
2022-11-04,1152.56
2022-11-08,170.64
2022-11-09,-1513.72
2022-11-10,4981.92
2022-11-15,9491.28
2022-11-17,281.91999999999996
2022-11-21,-1098.72
2022-11-22,-26.799999999999983
2022-11-28,-713.6000000000001
2022-11-30,-1331.8000000000002
2022-12-02,273.8399999999999
2022-12-08,-1565.5200000000004
2022-12-09,-868.08
2022-12-12,-517.44
2022-12-14,-538.72
2022-12-19,-1726.16
2022-12-21,-917.44
2022-12-28,-798.72
2022-12-29,-1487.44
2022-12-30,-1592.44
2023-01-06,-1432.44
2023-01-09,-1987.44
2023-01-10,-1365.52
2023-01-13,1047.56
2023-01-17,-2111.1600000000003
2023-01-19,-1248.7199999999998
2023-01-20,4942.5599999999995
2023-01-24,50.64
2023-01-25,-138.72000000000003
2023-01-26,-661.8000000000001
2023-01-27,1831.9199999999998
2023-01-30,-2466.8
2023-01-31,1206.2800000000002
2023-02-03,-2611.8
2023-02-06,306.91999999999996
2023-02-07,2718.8399999999997
2023-02-08,-1768.72
2023-02-09,2521.28
2023-02-13,1766.92
2023-02-14,-928.08
2023-02-15,-1791.8000000000002
2023-02-16,-1067.44
2023-02-17,-723.72
2023-02-21,-524.36
2023-02-22,-1356.1599999999999
2023-02-24,-559.36
2023-02-27,-2488.72
2023-02-28,213.19999999999993
2023-03-01,1435.64
2023-03-02,934.4799999999999
2023-03-03,2238.32
2023-03-07,-831.8000000000001
2023-03-08,-738.72
2023-03-10,-1747.44
2023-03-13,3550.64
2023-03-14,-2028.72
2023-03-21,205.12
2023-03-22,-1393.72
2023-03-23,4931.28
2023-03-29,-1771.8000000000002
2023-03-30,-69.24000000000001
2023-04-04,-194.36
2023-04-06,337.55999999999995
2023-04-10,1130.64
2023-04-12,-1177.44
2023-04-13,6996.4
2023-04-14,-1519.88
2023-04-19,-443.08000000000004
2023-04-20,1248.1999999999998
2023-04-24,-339.36
2023-04-27,2920.64
2023-04-28,-883.08
2023-05-02,-1994.2400000000002
2023-05-03,-1022.44
2023-05-04,-1549.2400000000002
2023-05-05,4606.280000000001
2023-05-10,2225.12
2023-05-12,-418.72
2023-05-16,-843.08
2023-05-17,543.8399999999999
2023-05-18,1823.1999999999998
2023-05-22,104.47999999999992
2023-05-23,-1672.44
2023-05-24,911.92
2023-05-26,4374.4800000000005
2023-05-31,-206.80000000000007
2023-06-01,-1523.08
2023-06-02,-1256.16
2023-06-05,-457.32000000000005
2023-06-07,225.64
2023-06-08,2886.92
2023-06-12,5222.5599999999995
2023-06-16,-1956.16
2023-06-20,495.64
2023-06-22,4026.92
2023-06-23,-404.36
2023-06-26,-1732.96
2023-06-27,-1486.16
2023-06-28,875.64
2023-07-03,-533.08
2023-07-05,1472.56
2023-07-07,1071.2800000000002
2023-07-10,473.84000000000015
2023-07-13,1775.64
2023-07-14,-1961.8
2023-07-17,2130.12
2023-07-18,2120.64
2023-07-19,-1964.88
2023-07-20,-1153.72
2023-07-24,-4236.8
2023-07-25,400.7599999999999
2023-07-27,4591.28
2023-07-28,-1408.08
2023-07-31,-407.44000000000005
2023-08-02,-823.08
2023-08-03,-1749.2400000000002
2023-08-04,-1199.88
2023-08-07,105.11999999999993
2023-08-10,1782.5600000000002
2023-08-11,-1757.44
2023-08-14,1371.92
2023-08-16,-501.16
2023-08-17,521.92
2023-08-18,811.9200000000001
2023-08-21,2073.2
2023-08-22,1446.2800000000002
2023-08-23,1010.64
2023-08-25,-5782.96
2023-08-30,1691.28
2023-08-31,-454.36
2023-09-01,-1041.16
2023-09-06,-553.72
2023-09-08,-1012.44
2023-09-13,1091.92
2023-09-14,-613.72
2023-09-18,-456.80000000000007
2023-09-21,-1214.36
2023-09-22,1542.56
2023-09-25,-1696.8000000000002
2023-09-28,1351.92
2023-09-29,-1018.72
2023-10-02,-2075.52
2023-10-03,-684.36
2023-10-04,-304.8800000000001
2023-10-06,-1363.08
2023-10-09,925.64
2023-10-10,1090.64
2023-10-11,-1049.36
2023-10-16,-1399.8799999999997
2023-10-17,391.91999999999996
2023-10-23,-1358.08
2023-10-24,-2054.88
2023-10-25,-243.07999999999998
2023-10-26,-248.08000000000004
2023-10-27,-1879.88
2023-10-30,-1353.72
2023-10-31,306.28
2023-11-01,2756.92
2023-11-03,-1477.44
2023-11-07,1011.28
2023-11-10,5842.56
2023-11-14,1894.48
2023-11-16,-1117.44
