arm,ntr,pts,daypos,trdpos,flat,wkpos,dstreak,wstreak,medday,medwk,weekly,worst,dd_top5,ulcer,cvar5,raw_maxdd,halt,target,vote,cut
h800_t500_v0.375_c2,1384,8.646413043478262,26.877470355731226,42.90220820189275,37.351778656126484,51.470588235294116,8,8,0.0,75.4668540034066,636.4528173214716,-5668.471798344753,14201.841058408605,7979.577830697889,-4368.158452394374,27287.759999999995,800.0,500.0,0.375,2
h800_t500_v0.375_c3,1503,9.3325790513834,27.4703557312253,43.84858044164038,37.351778656126484,53.92156862745098,7,8,0.0,274.861306886091,688.1106187442327,-5372.793170585586,12518.515342395744,6352.389996970461,-3583.6591845473704,27242.160000000033,800.0,500.0,0.375,3
h800_t500_v0.375_c4,1588,7.469669960474308,27.66798418972332,44.164037854889585,37.351778656126484,51.9607843137255,7,8,0.0,82.15421514541329,491.40582338224505,-4840.666926937653,10543.084492871154,5341.59299533658,-3158.0444386906397,30532.280000000006,800.0,500.0,0.375,4
h800_t500_v0.500_c2,1412,11.083379446640317,26.08695652173913,43.49258649093905,40.019762845849804,53.431372549019606,7,9,0.0,226.91283941676494,815.9165245791805,-6148.564803276813,12133.30598599086,5974.623879464982,-4509.675653764846,27285.04,800.0,500.0,0.5,2
h800_t500_v0.500_c3,1507,11.64744071146245,27.173913043478258,45.30477759472817,40.019762845849804,55.88235294117647,6,9,0.0,328.4483503021202,1243.9624137480637,-6829.297200841383,12840.720118168256,6052.056940295931,-4970.229747133911,18807.08000000001,800.0,500.0,0.5,3
h800_t500_v0.500_c4,1594,10.241636363636363,27.66798418972332,46.12850082372323,40.019762845849804,54.41176470588235,5,9,0.0,331.4243309682237,1207.495626936378,-7058.5183041646915,13390.037315044823,6101.809853400665,-5138.389690919252,17036.559999999998,800.0,500.0,0.5,4
h800_t500_v0.625_c2,1386,6.797822134387351,21.73913043478261,41.1214953271028,47.134387351778656,48.03921568627451,6,12,0.0,-7.897614297007548,391.6581329611929,-4846.231643694629,9397.863691489003,4488.09291727245,-3168.7804786717984,34862.68000000002,800.0,500.0,0.625,2
h800_t500_v0.625_c3,1467,6.415171936758893,22.43083003952569,42.429906542056074,47.134387351778656,50.49019607843137,6,12,0.0,24.16097136139542,396.54751000558383,-5194.372092593843,8502.44892874508,4525.582791040762,-2961.388136658228,32494.60000000002,800.0,500.0,0.625,3
h800_t500_v0.625_c4,1552,4.813069169960474,22.82608695652174,43.177570093457945,47.134387351778656,52.94117647058824,6,12,0.0,143.8003521002179,294.8697359150282,-3604.0735103757297,6732.281966881107,4989.308795246078,-2479.6702606857007,32786.120000000024,800.0,500.0,0.625,4
h800_t750_v0.375_c2,1453,9.024189723320157,25.494071146245062,40.694006309148264,37.351778656126484,52.94117647058824,8,8,0.0,186.71161589142903,637.9583187030863,-5444.021638134922,12497.969955794568,6697.52953828456,-4068.593306217938,28412.800000000017,800.0,750.0,0.375,2
h800_t750_v0.375_c3,1590,11.158920948616602,25.790513833992097,41.16719242902208,37.351778656126484,54.41176470588235,8,8,0.0,393.63032045148003,1055.52187799034,-7069.67224926348,14344.442598648264,6588.431695026157,-4924.469859936475,21235.040000000005,800.0,750.0,0.375,3
h800_t750_v0.375_c4,1678,9.546144268774704,25.790513833992097,41.16719242902208,37.351778656126484,52.94117647058824,8,8,0.0,144.41531078737896,834.5312804872717,-6432.516991288481,12881.817526444429,5612.369230245201,-4329.598091771948,22976.480000000003,800.0,750.0,0.375,4
h800_t750_v0.500_c2,1480,12.136735177865614,25.395256916996047,42.33937397034596,40.019762845849804,53.92156862745098,7,9,0.0,284.172974149781,968.4936272694777,-6664.922736973582,11773.350984221624,5796.0966565646995,-4818.984372302558,25171.160000000003,800.0,750.0,0.5,2
h800_t750_v0.500_c3,1601,13.545434782608694,25.889328063241106,43.163097199341024,40.019762845849804,55.88235294117647,7,8,0.0,514.8809845656234,1656.671736409023,-7820.648672477996,15171.632397820607,6211.552699742742,-6179.3293750458015,16423.08000000001,800.0,750.0,0.5,3
h800_t750_v0.500_c4,1679,11.941375494071147,26.48221343873518,44.15156507413509,40.019762845849804,53.92156862745098,5,9,0.0,331.81804375949145,1349.1031203369475,-6763.758962821306,13987.435498059513,5634.966064027576,-5226.911612781168,17779.0,800.0,750.0,0.5,4
h800_t750_v0.625_c2,1453,7.6994723320158105,20.652173913043477,39.06542056074767,47.134387351778656,47.549019607843135,6,12,0.0,-17.25486264990203,492.9369880491915,-6839.43006020302,10019.130854240342,4632.230614365671,-3675.369044575178,31373.84000000001,800.0,750.0,0.625,2
h800_t750_v0.625_c3,1572,8.946209486166007,21.14624505928854,40.0,47.134387351778656,50.49019607843137,6,7,0.0,48.87941103225003,1118.7616318872213,-13349.246967999003,14849.096192255003,5370.968802114602,-6333.436990751745,16062.0,800.0,750.0,0.625,3
h800_t750_v0.625_c4,1658,6.7347213438735185,21.442687747035574,40.560747663551396,47.134387351778656,53.92156862745098,6,7,0.0,346.974847948527,826.71916863046,-8286.270106484912,11359.10826211521,4380.095948068046,-5265.850928220674,16362.88000000002,800.0,750.0,0.625,4
h800_t1000_v0.375_c2,1508,9.605911067193674,24.703557312252965,39.43217665615142,37.351778656126484,52.94117647058824,8,8,0.0,177.26357975760865,718.7199266583708,-5761.782756658015,13246.031178014917,6642.856214167005,-4348.385315429267,26845.839999999997,800.0,1000.0,0.375,2
h800_t1000_v0.375_c3,1661,11.386037549407117,24.703557312252965,39.43217665615142,37.351778656126484,54.90196078431373,8,8,0.0,273.6632674016793,970.4003677443993,-6369.89953258338,14767.089128235759,7613.548470817123,-4828.945700427513,23567.840000000015,800.0,1000.0,0.375,3
h800_t1000_v0.375_c4,1744,9.313553359683794,24.703557312252965,39.43217665615142,37.351778656126484,53.92156862745098,8,8,0.0,192.1836843599759,915.8713077981536,-7235.780140802318,15998.650449921177,7517.119559723382,-5170.688106574661,20425.800000000003,800.0,1000.0,0.375,4
h800_t1000_v0.500_c2,1534,12.563077075098814,24.604743083003953,41.02141680395387,40.019762845849804,53.92156862745098,7,9,0.0,242.5147094091605,1022.2641382649033,-6796.218438169436,12643.353879783901,6142.570849586333,-5085.611071156991,24684.880000000005,800.0,1000.0,0.5,2
h800_t1000_v0.500_c3,1678,13.467347826086957,24.802371541501977,41.35090609555189,40.019762845849804,56.372549019607845,7,8,0.0,451.97712729224185,1445.8898032625505,-6865.187152970052,14077.36046215782,5899.513245270391,-5658.914022580378,18708.760000000002,800.0,1000.0,0.5,3
h800_t1000_v0.500_c4,1768,11.532749011857705,25.691699604743086,42.833607907743,40.019762845849804,54.41176470588235,6,9,0.0,406.2211201756939,1213.6037416089669,-6300.012290624547,13782.100464591891,5639.4709647848185,-4882.185840377525,19087.72,800.0,1000.0,0.5,4
h800_t1000_v0.625_c2,1483,7.694750988142293,19.960474308300398,37.75700934579439,47.134387351778656,48.03921568627451,6,12,0.0,-8.236991971586404,462.38596696970154,-6419.475466608905,9335.704949518758,4495.489176326345,-3575.0549344571227,33426.28000000001,800.0,1000.0,0.625,2
h800_t1000_v0.625_c3,1600,9.284614624505927,20.55335968379447,38.87850467289719,47.134387351778656,50.98039215686274,6,7,0.0,96.22109948947814,1161.0806369802308,-13349.246967999003,14237.36494334453,5336.411260752265,-6534.486769450198,16062.0,800.0,1000.0,0.625,3
h800_t1000_v0.625_c4,1697,7.2819664031620555,21.047430830039527,39.81308411214953,47.134387351778656,54.90196078431373,6,7,0.0,407.7981382250559,893.8961099398003,-8286.270106484919,11448.279461806229,4236.290934351368,-5465.511848103199,16362.880000000005,800.0,1000.0,0.625,4
h800_t1500_v0.375_c2,1634,12.568049407114625,23.221343873517785,37.06624605678234,37.351778656126484,54.90196078431373,8,8,0.0,353.8678363108471,1031.7402400336882,-6994.51617306636,14626.464421869687,6441.8508212408115,-5053.911602108951,24467.840000000004,800.0,1500.0,0.375,2
h800_t1500_v0.375_c3,1772,12.286924901185769,23.3201581027668,37.22397476340694,37.351778656126484,54.41176470588235,8,8,0.0,314.98372340208715,967.2595574014599,-7446.84426827031,14620.811610038885,7608.346892736944,-4913.093436500992,25515.160000000014,800.0,1500.0,0.375,3
h800_t1500_v0.375_c4,1864,10.381849802371542,24.209486166007903,38.64353312302839,37.351778656126484,55.392156862745104,8,8,0.0,319.16001684469114,894.2612880568282,-6356.529873596209,14550.321287606812,6530.207413740878,-4746.300652002755,23318.919999999984,800.0,1500.0,0.375,4
h800_t1500_v0.500_c2,1666,15.327110671936762,22.628458498023715,37.72652388797364,40.019762845849804,53.431372549019606,7,9,0.0,249.97636240140372,1190.8292260046912,-6619.792556960773,13343.447230637348,5786.461897412489,-5028.595359588565,25852.879999999997,800.0,1500.0,0.5,2
h800_t1500_v0.500_c3,1788,13.789324110671934,23.418972332015812,39.04448105436573,40.019762845849804,55.88235294117647,7,8,0.0,427.14577831480244,1399.1225571514287,-9598.098993956486,15068.125703917294,5871.109874655227,-5697.607475681033,19796.359999999957,800.0,1500.0,0.5,3
h800_t1500_v0.500_c4,1876,13.30787747035573,24.90118577075099,41.51565074135091,40.019762845849804,53.92156862745098,7,9,0.0,434.2292013206918,1288.0450465194917,-7142.539671831604,14656.476422413225,5282.122532639833,-4842.31824761447,20752.759999999995,800.0,1500.0,0.5,4
h800_t1500_v0.625_c2,1575,10.022320158102767,18.873517786561266,35.700934579439256,47.134387351778656,49.01960784313725,6,7,0.0,0.0,1186.1329505806546,-12643.12894178645,15934.308444496797,6345.713509662764,-6915.012380819734,16972.00000000003,800.0,1500.0,0.625,2
h800_t1500_v0.625_c3,1677,9.215300395256916,19.66403162055336,37.19626168224299,47.134387351778656,49.50980392156863,6,7,0.0,0.0,1152.4125971419583,-13349.246967999014,15175.718550616357,5818.015324687655,-6353.516760054792,16061.999999999985,800.0,1500.0,0.625,3
h800_t1500_v0.625_c4,1761,8.164183794466403,20.652173913043477,39.06542056074767,47.134387351778656,54.90196078431373,6,7,0.0,455.70452145343575,1002.1925027748117,-8286.270106484919,11116.022959283446,4118.370255574415,-5465.511848103199,16362.880000000005,800.0,1500.0,0.625,4
h800_t2500_v0.375_c2,1739,13.69494861660079,22.035573122529645,35.17350157728706,37.351778656126484,53.431372549019606,8,9,0.0,294.88392644400926,999.1387802178804,-6363.674842944563,14493.547190727186,7325.015675009341,-4609.754486467952,27531.680000000008,800.0,2500.0,0.375,2
h800_t2500_v0.375_c3,1863,12.104632411067193,22.529644268774703,35.96214511041009,37.351778656126484,55.88235294117647,8,9,0.0,309.67077743834244,971.1838184071787,-7589.659253590165,14499.508100646124,7712.695924164546,-5055.357026137617,25035.04000000001,800.0,2500.0,0.375,3
h800_t2500_v0.375_c4,1963,10.597810276679843,23.418972332015812,37.381703470031546,37.351778656126484,55.88235294117647,8,9,0.0,345.99612337551406,927.8352579285034,-6460.7826998113605,14612.13016636273,6081.22330219416,-4933.047490294376,22942.639999999985,800.0,2500.0,0.375,4
h800_t2500_v0.500_c2,1770,15.270735177865614,21.83794466403162,36.40856672158155,40.019762845849804,50.49019607843137,7,9,0.0,137.27478331234252,1186.4491711197677,-10033.635525326385,14245.780301459647,6013.852552606448,-5549.947659075648,25852.880000000005,800.0,2500.0,0.5,2
h800_t2500_v0.500_c3,1885,13.351335968379448,22.82608695652174,38.056013179571664,40.019762845849804,54.90196078431373,7,8,0.0,333.79712229925184,1354.682446473922,-9598.098993956486,14743.188931702618,6080.08411473241,-6088.5547113436405,19796.359999999957,800.0,2500.0,0.5,3
h800_t2500_v0.500_c4,1965,12.667258893280632,24.110671936758894,40.19769357495881,40.019762845849804,54.41176470588235,7,9,0.0,459.8076737744764,1226.0407496849275,-7935.218679346748,15058.676927791772,5619.661929321712,-5271.588194446514,20752.759999999995,800.0,2500.0,0.5,4
h800_t2500_v0.625_c2,1644,11.101043478260868,18.379446640316203,34.76635514018692,47.134387351778656,47.549019607843135,6,7,0.0,-58.72641282699143,1165.0059961789186,-11211.244537514809,15206.866120783876,6263.4665619661955,-6160.057609139032,19139.640000000003,800.0,2500.0,0.625,2
h800_t2500_v0.625_c3,1738,9.358209486166006,19.268774703557312,36.44859813084112,47.134387351778656,49.50980392156863,6,7,0.0,0.0,1231.927937988233,-14052.409891547437,16750.89759789441,6461.596676892412,-7233.681086894831,15258.27999999997,800.0,2500.0,0.625,3
h800_t2500_v0.625_c4,1844,7.9094031620553364,19.861660079051383,37.570093457943926,47.134387351778656,53.431372549019606,8,7,0.0,266.7657494676653,842.3503835711431,-7189.02136337029,10993.986305640621,4150.238195914234,-5061.5817836311635,18860.320000000007,800.0,2500.0,0.625,4
