arm,ntr,pts,daypos,trdpos,wkpos,wstreak,medwk,weekly,dd_top5,ulcer,worst
L0 incumbent 6-30 step2,1942,14.862499999999997,27.56916996047431,45.96375617792422,58.333333333333336,8,455.4955001679412,1474.5785699190674,14265.939067038102,6182.7825169490325,-7417.766720012648
L1 extend down 4-30,2453,12.421719367588931,30.039525691699602,45.17087667161962,54.90196078431373,8,339.20735829092393,860.5020893432618,10496.221577827042,5820.318901286644,-7304.960538459309
L2 extend up 6-40,1930,14.80490909090909,26.976284584980238,45.95959595959596,56.86274509803921,6,634.1147930379728,1349.5581440387746,10521.325845837708,3685.5316283058837,-7038.014527823062
L3 extend both 4-40,2404,12.647804347826087,29.347826086956523,44.72891566265061,57.35294117647059,8,491.4777972826053,953.7254783079777,10947.139337049426,4668.636676011423,-6666.11889051735
L4 denser 6-30 step1,2161,14.706721343873513,27.865612648221344,45.12,57.84313725490197,8,547.4988095317578,1643.3044336095938,17150.094440847093,6338.632707311638,-9799.97416572655
L5 wide+dense 4-40 step1,2485,14.548478260869564,31.620553359683797,46.57933042212518,60.78431372549019,6,793.8027138542285,1371.3996531651399,11528.763074162165,3759.0170627864186,-8061.311208140998
L0 incumbent sigma230,1865,11.39278260869565,26.778656126482215,45.09151414309484,59.31372549019608,7,479.0571971696298,738.3001026773724,13183.896520885146,5443.626221860941,-8235.833450555632
L0 incumbent sigma920,2162,12.25761067193676,27.37154150197628,43.4850863422292,55.88235294117647,7,201.72201961095223,629.680904525511,10362.319314793122,4740.679185051775,-5743.568518130156
L0 incumbent sigma230+460,2139,14.162377470355732,27.964426877470355,42.68476621417798,56.86274509803921,9,426.32670420599845,1062.2108693541645,13677.536756183537,6016.617111619836,-6801.05846726013
L0 incumbent sigma460+920,2372,15.364120553359683,29.940711462450594,42.857142857142854,59.80392156862745,7,435.7832168529082,698.98909199788,8311.773870635152,4177.861994308086,-4858.820542834411
L0 incumbent sigma230+460+920,2519,15.512828063241107,30.335968379446644,41.71195652173913,59.31372549019608,6,562.2563750268197,848.4261620404027,10684.716685563293,4706.6672426247,-5763.880290104151
L5 wide+dense sigma230,2402,12.18293280632411,31.32411067193676,46.142649199417754,63.23529411764706,5,719.468981134013,784.8822432603199,9636.557143865191,4533.009499536982,-6943.21332486578
L5 wide+dense sigma920,2738,8.135533596837945,29.841897233201582,42.77620396600567,55.392156862745104,8,243.98220436817832,478.32443849044375,10616.561000882819,6806.073089761459,-4632.864846163034
L5 wide+dense sigma230+460,2695,15.43987747035573,33.10276679841897,45.209176788124154,63.725490196078425,5,1220.8131564492583,1619.2782741230585,15544.397901450911,4971.604005379337,-9544.397001296975
L5 wide+dense sigma460+920,2936,13.471243083003953,33.300395256917,44.2838370565046,60.78431372549019,9,533.4997560118385,654.9588515115421,8851.72288851,4371.016990510142,-4849.393703943599
L5 wide+dense sigma230+460+920,2997,14.589517786561263,34.28853754940712,44.37340153452685,59.31372549019608,9,429.570318377954,744.8751891610979,10098.865862164326,4432.948919402113,-6177.933166454508
