,net,stress_net,pts,wkpos,wstreak,medwk,weekly,weekly_dd,maxdd,worst,y2025,y2026,sharpe,admissible
P1,300816.99999999994,281396.99999999994,14.862499999999997,58.333333333333336,8,455.4999999999999,1474.5931372549019,1474.5785699190674,20245.19999999999,-7417.839999999999,120040.23999999999,33467.24,0.31355506603550765,True
SHORT,121453.99999999999,99203.99999999999,6.000691699604742,49.50980392156863,9,0.0,595.3627450980391,370.62707941820145,32520.880000000005,-8269.12,31341.319999999996,-22518.519999999997,0.16166266953955055,False
AXISB,66580.52,66580.52,3.2895513833992096,53.92156862745098,6,274.66000000000014,326.3750980392156,118.541984989514,55739.440000000024,-11174.64,63231.28,19339.760000000002,0.07742231883627908,True
w72:X1,198918.76,198918.76,9.828001976284584,57.84313725490197,8,630.5600000000004,975.0919607843138,866.1986595079276,22790.08,-8917.72,55040.12000000001,36176.32000000001,0.23287096224137355,True
w72:X2,264804.56,264804.56,13.083229249011858,55.88235294117647,8,347.67999999999995,1298.061568627451,1277.890528990786,20564.55999999999,-9100.279999999999,85187.80000000002,34707.88,0.30507502811258524,True
w72:X3,185576.84,185576.84,9.168816205533597,55.88235294117647,8,520.82,909.6903921568629,771.2113796875942,23880.2,-8917.72,49213.32000000001,36317.600000000006,0.2157643673309695,True
w72:X4,183718.8,183718.8,9.077015810276679,50.49019607843137,8,21.72000000000032,900.5823529411764,663.4478411103374,27481.120000000003,-9442.439999999999,57573.04000000001,15398.520000000006,0.21295336056252043,True
w72:X5,182578.92,182578.92,9.020697628458498,53.92156862745098,8,350.8199999999999,894.9947058823528,893.1576555106352,20286.639999999956,-6713.599999999999,52663.32000000001,15694.04,0.22999188570810258,True
w72:X6,174904.6,174904.6,8.641531620553359,54.41176470588235,7,293.90000000000003,857.3754901960783,789.0706935076018,21997.480000000003,-8951.56,38069.80000000001,16093.76,0.1929796518823143,True
w72:X7,191422.12,191422.12,9.45761462450593,51.470588235294116,7,173.32000000000016,938.3437254901963,673.4465455727549,28208.279999999995,-8734.880000000001,82825.95999999999,24381.839999999997,0.19350421930730025,True
w72:X8,204478.0,204478.0,10.102667984189724,53.431372549019606,9,197.16000000000008,1002.3431372549022,808.0862965071885,25111.719999999998,-8306.56,68309.68000000001,25544.399999999998,0.23933521695221746,True
w72:X9a,217079.23999999996,217079.23999999996,10.72525889328063,54.41176470588235,7,310.2400000000001,1064.1139215686278,894.8221462352428,24075.160000000003,-8657.719999999998,41525.64000000001,32753.4,0.2516235220159081,True
w72:X9b,257830.36000000002,257830.36000000002,12.738654150197629,53.92156862745098,10,364.9800000000002,1263.87431372549,873.3895774551031,29296.359999999957,-10312.84,65299.28,40009.92,0.26257384561560254,True
BMOM,270209.99999999994,260209.99999999994,13.350296442687743,58.82352941176471,4,1176.0199999999995,1324.5588235294117,980.5544562918783,27347.479999999923,-16321.800000000001,99501.67999999996,20149.639999999985,0.19936209732826038,True
CLK3,193187.96000000002,182047.96000000002,9.544859683794467,57.84313725490197,6,816.6599999999999,946.9998039215687,1158.4352691972022,16549.92,-11842.44,68970.76,30144.119999999995,0.23062243831133478,True
CLK5,117646.60000000002,108246.60000000002,5.8125790513834,50.0,5,10.6400000000001,576.6990196078431,250.67980746436837,46574.440000000024,-15097.439999999999,33721.84,31474.279999999995,0.12250401787835744,True
CLKRANGE,177129.36,169639.36,8.751450592885375,51.9607843137255,5,327.0400000000005,868.2811764705882,734.6413969377471,23927.800000000047,-11588.08,49694.28,46007.079999999994,0.19802826349117947,True
CLKVOL,183655.68,172785.68,9.073897233201581,51.9607843137255,4,356.92,900.2729411764702,1060.5825161896385,17184.92,-10123.72,40196.92,60832.72,0.19649890606913636,True
L_sig,303369.44,285289.44,14.988608695652173,58.333333333333336,7,617.7399999999998,1487.1050980392156,1246.8377150978345,24146.23999999999,-7413.599999999999,94583.48,33022.36,0.3095558357547177,True
S_sig,96936.28,74416.28,4.789341897233202,50.98039215686274,8,171.45999999999992,475.1778431372549,222.74484013996656,43188.32000000002,-10451.679999999998,34853.44,-33992.24,0.11769961912595812,False
