arm,blocked,der_pts,der_ntr,der_inmkt,der_net,der_wkpos,der_wstreak,der_weekly,der_weekly_dd,der_dd5,der_maxdd,der_worst,ho_pts,ho_ntr,ho_inmkt,ho_net,ho_wkpos,ho_wstreak,ho_weekly,ho_weekly_dd,ho_dd5,ho_maxdd,ho_worst,y2022
U0 incumbent,0,14.880907114624504,2007,17.0750127662287,301189.56,58.333333333333336,8,1476.419411764706,1478.230234675052,14483.51822039346,20220.19999999999,-8070.160000000001,-21.805260869565213,2007,17.0750127662287,-20060.839999999997,11.11111111111111,6,-2228.9822222222224,-2547.3298828834054,11846.332678894401,17714.92,-5014.88,11.590784615384619
U1 intra ratio>1.5,0,9.848418972332016,1776,13.04296312309416,199332.0,51.470588235294116,8,977.1176470588236,923.3658504627563,13942.16240468419,21423.52000000002,-8160.160000000001,17.15713043478261,1776,13.04296312309416,15784.56,44.44444444444444,2,1753.8399999999997,5546.08670931947,20245.0,6402.08,-4681.16,3.965892307692308
U1 intra ratio>2.0,0,10.217804347826089,1925,15.165171095179597,206808.36000000002,54.90196078431373,8,1013.7664705882355,749.788920508173,11261.98017874783,27372.639999999992,-7726.559999999999,6.813608695652173,1925,15.165171095179597,6268.519999999999,33.33333333333333,5,696.5022222222223,799.3858911804762,20245.0,17639.399999999998,-5004.88,8.803953846153846
U1 intra ratio>2.5,0,14.029826086956522,1990,16.196100358840155,283963.68,56.86274509803921,8,1391.9788235294118,1393.9866600820424,15594.757997688926,20215.83999999999,-9304.52,-19.23669565217391,1990,16.196100358840155,-17697.76,22.22222222222222,4,-1966.4177777777777,-2206.6230578404497,10306.219009821962,18041.199999999993,-5014.88,11.692707692307692
U1 intra ratio>3.0,0,12.801057312252963,2011,16.525077584719604,259093.39999999997,56.372549019607845,8,1270.06568627451,1271.897671263102,14313.464479338962,20215.83999999999,-9227.2,2.4243913043478287,2011,16.525077584719604,2230.4400000000023,22.22222222222222,5,247.8266666666665,310.9783997447999,12015.273786147805,16133.76,-5014.88,11.590784615384619
U2 prev sess >1.5,194,12.633662055335968,1682,13.376859764103651,255705.32,52.94117647058824,8,1253.4574509803922,1218.385755121916,11526.019168647992,20827.760000000002,-8275.28,-16.69682608695652,1682,13.376859764103651,-15361.079999999998,11.11111111111111,6,-1706.7866666666664,-2464.045118436728,20245.0,14023.239999999998,-4856.16,5.212046153846153
U2 prev sess >2.0,64,11.802177865612649,1904,15.297579578468481,238876.08000000002,53.92156862745098,8,1170.9611764705883,1017.0681413492144,11897.030931497306,23308.27999999999,-8275.28,-16.310130434782607,1904,15.297579578468481,-15005.32,22.22222222222222,6,-1667.2577777777774,-2074.914720110989,20245.0,16267.479999999996,-4242.959999999999,11.279200000000001
U2 prev sess >2.5,25,13.280954545454543,1969,16.34770148988991,268806.51999999996,56.372549019607845,8,1317.6790196078432,1144.5036592987897,12727.138920589588,23308.27999999999,-8070.160000000001,-17.883434782608695,1969,16.34770148988991,-16452.76,22.22222222222222,6,-1828.0844444444442,-2089.1750895729574,20245.0,17714.92,-5014.88,11.411200000000004
U3 trail5 >1.25,290,10.523387351778656,1484,11.23192547986816,212993.36,46.07843137254902,8,1044.0850980392158,934.3153854839529,11080.098794528878,22623.520000000004,-9439.52,-18.354826086956518,1484,11.23192547986816,-16886.44,0.0,4,-1876.271111111111,-2760.6179118381324,20245.0,13759.64,-4869.24,2.2527384615384616
U3 trail5 >1.5,121,12.51235375494071,1804,14.364900042334686,253250.03999999998,52.450980392156865,8,1241.4217647058824,1078.268479118605,11878.47121108893,23308.27999999999,-9439.52,-21.092304347826094,1804,14.364900042334686,-19404.920000000006,0.0,6,-2156.102222222222,-2681.5313739479056,20245.0,16278.119999999999,-4242.959999999999,11.409030769230773
U3 trail5 >2.0,35,12.754337944664032,1976,16.298299475978357,258147.8,57.35294117647059,8,1265.4303921568628,1201.663012198126,14266.60135689133,21319.31999999995,-8275.28,-28.270000000000003,1976,16.298299475978357,-26008.4,0.0,9,-2889.822222222222,-2556.8339141008005,20245.0,22881.600000000002,-5014.88,11.590784615384619
