date,NIGHT
2022-07-04,515.64
2022-07-05,-2639.36
2022-07-06,-1694.36
2022-07-07,-994.36
2022-07-08,255.64
2022-07-11,1650.64
2022-07-12,-1294.36
2022-07-13,-4714.36
2022-07-14,1450.64
2022-07-15,2045.64
2022-07-18,1280.64
2022-07-19,2435.64
2022-07-20,645.64
2022-07-21,-1308.7199999999998
2022-07-22,-1169.36
2022-07-25,-1319.36
2022-07-26,450.64
2022-07-27,2010.64
2022-07-28,-1069.36
2022-07-29,1885.64
2022-08-01,1275.64
2022-08-02,1995.64
2022-08-03,-388.7199999999999
2022-08-04,-424.36
2022-08-05,-3044.36
2022-08-08,-1013.7199999999999
2022-08-09,386.2800000000002
2022-08-10,-1449.36
2022-08-11,1560.64
2022-08-12,-818.7199999999999
2022-08-15,385.64
2022-08-16,-204.36
2022-08-17,2520.64
2022-08-18,50.64
2022-08-19,2495.64
2022-08-22,2490.64
2022-08-23,-903.08
2022-08-24,-1093.72
2022-08-25,1015.64
2022-08-26,-124.36
2022-08-29,-1968.08
2022-08-30,231.27999999999997
2022-08-31,1116.2800000000002
2022-09-01,1850.64
2022-09-02,-2433.72
2022-09-05,-1418.72
2022-09-06,-1228.72
2022-09-07,-1403.72
2022-09-08,-1659.36
2022-09-09,895.64
2022-09-12,-2778.72
2022-09-13,-1444.36
2022-09-14,-93.72000000000003
2022-09-15,-1719.36
2022-09-16,1420.64
2022-09-19,-2218.72
2022-09-20,-1319.36
2022-09-21,-589.36
2022-09-22,-2453.72
2022-09-23,2235.64
2022-09-26,-1533.72
2022-09-27,1806.9199999999998
2022-09-28,-2078.72
2022-09-29,2166.2799999999997
2022-09-30,-1034.36
2022-10-03,-1403.72
2022-10-04,-1508.72
2022-10-05,2595.64
2022-10-06,-2299.36
2022-10-07,-2763.7200000000003
2022-10-10,-1094.36
2022-10-11,-1309.36
2022-10-12,-1579.36
2022-10-13,-8724.36
2022-10-14,-2818.72
2022-10-17,5215.64
2022-10-18,4650.64
2022-10-19,-1419.36
2022-10-20,10.64
2022-10-21,65.64
2022-10-24,-2544.36
2022-10-25,705.64
2022-10-26,300.64
2022-10-27,-854.36
2022-10-28,-1514.36
2022-10-31,1700.64
2022-11-01,2025.64
2022-11-02,-704.36
2022-11-03,-1464.36
2022-11-04,3355.64
2022-11-06,-199.36
2022-11-07,0.0
2022-11-08,-1699.36
2022-11-09,-1594.36
2022-11-10,9625.64
2022-11-11,-2653.72
2022-11-14,-1673.7199999999998
2022-11-15,4355.64
2022-11-16,-1418.72
2022-11-17,-1339.36
2022-11-18,-523.7199999999999
2022-11-21,591.2800000000001
2022-11-22,-2483.72
2022-11-23,-129.36
2022-11-24,500.64
2022-11-25,671.2800000000001
2022-11-28,-473.08000000000004
2022-11-29,-1073.72
2022-11-30,-728.72
2022-12-01,180.64
2022-12-02,3181.2799999999997
2022-12-05,1181.2800000000002
2022-12-06,-1053.08
2022-12-07,-768.72
2022-12-08,-1328.72
2022-12-09,-3763.08
2022-12-12,-1508.08
2022-12-13,7781.919999999999
2022-12-14,-684.36
2022-12-15,2381.92
2022-12-16,-1378.72
2022-12-19,285.64
2022-12-20,-278.72
2022-12-21,60.64
2022-12-22,2895.64
2022-12-23,1090.64
2022-12-27,-1679.36
2022-12-28,-859.36
2022-12-29,1815.64
2022-12-30,2220.64
2023-01-03,-3068.72
2023-01-04,271.2800000000001
2023-01-05,-1784.36
2023-01-06,-1744.36
2023-01-09,1155.64
2023-01-10,235.64
2023-01-11,-1013.72
2023-01-12,-2994.36
2023-01-13,1925.64
2023-01-16,255.64
2023-01-17,-1963.7199999999998
2023-01-18,156.27999999999997
2023-01-19,-568.7199999999999
2023-01-20,-1993.7199999999998
2023-01-23,-603.72
2023-01-24,1265.64
2023-01-25,4965.64
2023-01-26,2495.64
2023-01-27,-119.36
2023-01-30,956.9199999999998
2023-01-31,-1068.72
2023-02-01,-854.36
2023-02-02,3020.64
2023-02-03,3285.64
2023-02-06,-1443.72
2023-02-07,-704.36
2023-02-08,-779.36
2023-02-09,2640.64
2023-02-10,1960.64
2023-02-13,-1299.36
2023-02-14,-2189.36
2023-02-15,1155.64
2023-02-16,-1719.36
2023-02-17,1185.64
2023-02-20,-539.36
2023-02-21,2135.64
2023-02-22,0.0
2023-02-23,-578.7199999999999
2023-02-24,3660.64
2023-02-27,2225.64
2023-02-28,-838.72
2023-03-01,-1473.72
2023-03-02,706.2800000000001
2023-03-03,-283.7199999999999
2023-03-06,-548.72
2023-03-07,-214.36
2023-03-08,-1083.72
2023-03-09,-579.36
2023-03-10,-1474.36
2023-03-13,-1603.08
2023-03-14,1066.2800000000002
2023-03-15,-2983.72
2023-03-16,-1908.7199999999998
2023-03-17,-863.72
2023-03-20,-1643.08
2023-03-21,271.28
2023-03-22,-169.36
2023-03-23,3020.64
2023-03-24,550.64
2023-03-27,-1379.36
2023-03-28,-374.36
2023-03-29,2315.64
2023-03-30,181.2800000000002
2023-03-31,-1068.72
2023-04-03,850.64
2023-04-04,-1413.7199999999998
2023-04-05,-1038.7199999999998
2023-04-06,490.64
2023-04-07,-629.36
2023-04-10,1261.9199999999998
2023-04-11,-514.36
2023-04-12,1515.64
2023-04-13,56.27999999999997
2023-04-14,-1203.7199999999998
2023-04-17,895.64
2023-04-18,1120.64
2023-04-19,566.2800000000001
2023-04-20,2040.64
2023-04-21,490.64
2023-04-24,-279.36
2023-04-25,1130.64
2023-04-26,-1593.7199999999998
2023-04-27,366.28
2023-04-28,-733.72
2023-05-01,-1358.72
2023-05-02,-723.72
2023-05-03,610.64
2023-05-04,-558.08
2023-05-05,1435.64
2023-05-08,-543.72
2023-05-09,1020.64
2023-05-10,-3073.7200000000003
2023-05-11,10.64
2023-05-12,315.64
2023-05-15,-468.72
2023-05-16,-1104.36
2023-05-17,-653.08
2023-05-18,-319.36
2023-05-19,-1303.72
2023-05-22,705.64
2023-05-23,-88.71999999999991
2023-05-24,631.2800000000001
2023-05-25,311.28
2023-05-26,-1158.08
2023-05-29,950.64
2023-05-30,591.2800000000001
2023-05-31,-1358.72
2023-06-01,-1798.7199999999998
2023-06-02,-168.72000000000003
2023-06-05,-204.36
2023-06-06,-1758.72
2023-06-07,-209.36
2023-06-08,-1838.7199999999998
2023-06-09,-1014.36
2023-06-12,1195.64
2023-06-13,1076.2800000000002
2023-06-14,-1553.7199999999998
2023-06-15,1255.64
2023-06-16,-18.7199999999998
2023-06-19,66.27999999999997
2023-06-20,540.64
2023-06-21,-583.72
2023-06-22,-1678.08
2023-06-23,3725.64
2023-06-26,-1353.72
2023-06-27,-168.08000000000004
2023-06-28,1035.64
2023-06-29,-918.72
2023-06-30,2301.2799999999997
2023-07-03,270.64
2023-07-04,-379.36
2023-07-05,460.64
2023-07-06,2790.64
2023-07-07,55.64
2023-07-10,400.64
2023-07-11,-1628.72
2023-07-12,3255.64
2023-07-13,2230.64
2023-07-14,-1238.08
2023-07-17,-908.72
2023-07-18,85.64
2023-07-19,1115.64
2023-07-20,1460.64
2023-07-21,31.2800000000002
2023-07-24,-1248.72
2023-07-25,-1343.72
2023-07-26,1111.92
2023-07-27,3785.64
2023-07-28,2685.64
2023-07-31,-1288.72
2023-08-01,-283.72
2023-08-02,-1679.36
2023-08-03,246.2800000000001
2023-08-04,1185.64
2023-08-07,890.64
2023-08-08,1655.64
2023-08-09,-514.36
2023-08-10,1685.64
2023-08-11,-1869.36
2023-08-14,-3608.7200000000003
2023-08-15,-1709.36
2023-08-16,140.64
2023-08-17,-1944.36
2023-08-18,-2563.08
2023-08-21,-2968.72
2023-08-22,261.2800000000002
2023-08-23,805.64
2023-08-24,-1573.7199999999998
2023-08-25,-3248.7200000000003
2023-08-28,1765.64
2023-08-29,-1413.72
2023-08-30,-1063.72
2023-08-31,-19.36
2023-09-01,-2893.7200000000003
2023-09-04,-233.72000000000003
2023-09-05,675.64
2023-09-06,-1068.72
2023-09-07,3290.64
2023-09-08,-2208.72
2023-09-11,2090.64
2023-09-12,945.64
2023-09-13,-723.72
2023-09-14,860.64
2023-09-15,-888.7199999999999
2023-09-18,-1523.7199999999998
2023-09-19,841.2800000000001
2023-09-20,-1708.7199999999998
2023-09-21,2241.2799999999997
2023-09-22,381.9200000000001
2023-09-25,-2133.08
2023-09-26,2385.64
2023-09-27,46.27999999999997
2023-09-28,-1363.72
2023-09-29,-1433.7199999999998
2023-10-02,-2223.08
2023-10-03,-1353.08
2023-10-04,-1303.72
2023-10-05,-1428.7199999999998
2023-10-06,-2804.36
2023-10-09,60.64
2023-10-10,-648.72
2023-10-11,560.64
2023-10-12,-614.36
2023-10-13,-2373.08
2023-10-16,-3008.72
2023-10-17,3195.64
2023-10-18,1930.64
2023-10-19,-1064.36
2023-10-20,-1213.72
2023-10-23,-413.08000000000004
2023-10-24,385.64
2023-10-25,-33.72000000000003
2023-10-26,-114.36
2023-10-27,655.64
2023-10-30,-1368.7199999999998
2023-10-31,-744.36
2023-11-01,975.64
2023-11-02,2695.64
2023-11-03,2235.64
2023-11-06,-1478.72
2023-11-07,-134.36
2023-11-08,-489.36
2023-11-09,26.279999999999973
2023-11-10,-1324.36
2023-11-13,516.28
2023-11-14,4320.64
2023-11-15,1045.64
2023-11-16,-1018.72
2023-11-17,505.64
2023-11-20,-1148.72
2023-11-21,191.27999999999997
2023-11-22,826.2800000000001
2023-11-23,215.64
2023-11-24,-423.72
2023-11-27,-34.36
2023-11-28,250.64
2023-11-29,716.2800000000001
2023-11-30,-494.36
2023-12-01,-669.36
2023-12-04,3060.64
2023-12-05,1240.64
2023-12-06,2475.64
2023-12-07,871.2800000000001
2023-12-08,-593.72
2023-12-11,-933.08
2023-12-12,-1313.72
2023-12-13,125.64
2023-12-14,665.64
2023-12-15,780.64
2023-12-18,-1323.08
2023-12-19,575.64
2023-12-20,75.64
2023-12-21,2455.64
2023-12-22,-1269.36
2023-12-26,415.64
2023-12-27,-179.36
2023-12-28,-14.36
2023-12-29,-214.36
2024-01-02,1431.2799999999997
2024-01-03,2380.64
2024-01-04,-1319.36
2024-01-05,-1358.72
2024-01-08,-1928.7199999999998
2024-01-09,1720.64
2024-01-10,-358.72
2024-01-11,-53.72000000000003
2024-01-12,-1189.36
2024-01-15,-993.72
2024-01-16,620.64
2024-01-17,2910.64
2024-01-18,1266.2799999999997
2024-01-19,946.2800000000001
2024-01-22,795.64
2024-01-23,41.27999999999997
2024-01-24,2595.64
2024-01-25,-2133.72
2024-01-26,0.6399999999999997
2024-01-29,-778.7199999999999
2024-01-30,-1429.36
2024-01-31,-1654.36
2024-02-01,365.64
2024-02-02,-1694.36
2024-02-05,-1893.7199999999998
2024-02-06,290.64
2024-02-07,2225.64
2024-02-08,145.64
2024-02-09,770.64
2024-02-12,-94.36
2024-02-13,-1414.36
2024-02-14,366.2800000000001
2024-02-15,-1053.72
2024-02-16,-2013.7199999999998
2024-02-19,880.64
2024-02-20,2105.64
2024-02-21,401.2800000000001
2024-02-22,3056.2799999999997
2024-02-23,1415.64
2024-02-26,-2843.08
2024-02-27,611.2800000000001
2024-02-28,1230.64
2024-02-29,2915.64
2024-03-01,-933.72
2024-03-04,-479.36
2024-03-05,1995.64
2024-03-06,131.2800000000002
2024-03-07,-1369.36
2024-03-08,-1344.36
2024-03-11,1280.64
2024-03-12,930.64
2024-03-13,0.0
2024-03-14,500.64
2024-03-15,-4018.7200000000003
2024-03-18,3915.64
2024-03-19,1415.64
2024-03-20,-1324.36
2024-03-21,2176.2799999999997
2024-03-22,45.64
2024-03-25,-1349.36
2024-03-26,-144.36
2024-03-27,1210.64
2024-03-28,-264.36
2024-04-01,-864.36
2024-04-02,4035.64
2024-04-03,1935.64
2024-04-04,1816.2799999999997
2024-04-05,-2323.72
2024-04-08,-523.72
2024-04-09,-2434.36
2024-04-10,545.64
2024-04-11,-2009.36
2024-04-12,3015.64
2024-04-15,2985.64
2024-04-16,-274.36
2024-04-17,-3043.72
2024-04-18,-514.36
2024-04-19,-114.36
2024-04-22,251.27999999999997
2024-04-23,-1718.7199999999998
2024-04-24,-428.72
2024-04-25,-1829.36
2024-04-26,1660.64
2024-04-29,540.64
2024-04-30,780.64
2024-05-01,-1424.36
2024-05-02,1645.64
2024-05-03,3296.2799999999997
2024-05-06,-799.36
2024-05-07,-639.36
2024-05-08,1300.64
2024-05-09,-2073.72
