rule,net,per_sess,entries,hit,net_t12
MOM5,-76542.09999999998,-72.34603024574668,9360,49.572649572649574,-77407.42000000003
REV5,-260522.09999999998,-246.24017013232512,9360,48.86752136752136,-5307.420000000046
MOM15,8927.900000000023,8.438468809073745,9360,49.690170940170944,-101572.42000000004
REV15,-340742.1,-322.06247637051035,9360,48.824786324786324,20147.579999999965
MOM30,74832.90000000004,70.73052930056714,9360,50.02136752136752,37255.079999999965
REV30,-406657.1,-384.36398865784497,9360,48.48290598290598,-118674.92000000004
MOM60,-37338.38000000004,-35.291474480151265,9358,49.251976918144905,81741.93999999997
REV60,-294388.38,-278.2498865784499,9358,49.177174609959394,-163128.06000000006
VWAPMOM,65450.39999999995,61.86238185255194,9360,50.11752136752137,40337.57999999996
VWAPREV,-407809.60000000003,-385.45330812854445,9360,48.333333333333336,-124342.42000000004
OPENMOM,-477341.86,-451.17378071833645,7251,48.17266583919459,-283488.3
ORB,-548190.72,-518.1386767485822,5827,47.46868028144843,-355413.76
