blk,net,n_bars,first_sess,last_sess,sign
2,-1947.179999999993,277,2022-01-03,2022-01-03,1
4,2952.8200000000143,132,2022-01-03,2022-01-03,1
6,4482.820000000014,115,2022-01-04,2022-01-04,-1
8,-642.1799999999857,208,2022-01-05,2022-01-05,-1
10,7157.820000000014,120,2022-01-05,2022-01-05,-1
12,692.8200000000143,285,2022-01-06,2022-01-06,1
14,772.8200000000143,120,2022-01-07,2022-01-07,-1
16,5662.820000000014,66,2022-01-10,2022-01-10,1
18,-2867.1799999999857,48,2022-01-11,2022-01-11,-1
20,-882.1799999999857,116,2022-01-12,2022-01-12,-1
22,5372.820000000014,116,2022-01-13,2022-01-13,-1
24,-2032.1799999999857,132,2022-01-14,2022-01-14,1
26,3102.8200000000143,142,2022-01-14,2022-01-14,1
28,1152.8200000000143,169,2022-01-18,2022-01-18,-1
30,-2247.1799999999857,11,2022-01-18,2022-01-18,-1
32,1767.8200000000143,113,2022-01-18,2022-01-18,-1
34,-857.1799999999857,147,2022-01-19,2022-01-19,1
36,-2507.1799999999857,66,2022-01-19,2022-01-19,1
38,-797.1799999999857,258,2022-01-20,2022-01-20,1
40,-1727.1799999999857,146,2022-01-21,2022-01-21,1
42,-3472.1799999999857,5,2022-01-21,2022-01-21,-1
44,2352.8200000000143,27,2022-01-21,2022-01-21,-1
46,-2697.1799999999857,4,2022-01-24,2022-01-24,1
48,722.8200000000143,25,2022-01-24,2022-01-24,1
50,4092.8200000000143,25,2022-01-24,2022-01-24,1
52,-1902.1799999999857,351,2022-01-25,2022-01-25,-1
54,1722.8200000000143,12,2022-01-25,2022-01-25,-1
56,2007.8200000000143,411,2022-01-26,2022-01-26,1
58,1687.8200000000143,129,2022-01-27,2022-01-27,1
60,1197.8200000000143,80,2022-01-27,2022-01-27,-1
62,-4262.179999999986,28,2022-01-28,2022-01-28,-1
64,4657.820000000014,109,2022-01-28,2022-01-28,1
66,-2707.1799999999857,126,2022-02-01,2022-02-01,-1
68,4922.820000000014,139,2022-02-02,2022-02-02,-1
70,-5042.179999999986,127,2022-02-03,2022-02-03,1
72,1447.8200000000143,12,2022-02-03,2022-02-03,1
74,1237.8200000000143,99,2022-02-04,2022-02-04,-1
76,-3337.1799999999857,40,2022-02-07,2022-02-07,1
77,0.6400000000139698,99,2022-02-07,2022-02-07,-1
79,2477.8200000000143,115,2022-02-08,2022-02-08,1
81,637.8200000000143,23,2022-02-10,2022-02-10,-1
83,3167.8200000000143,77,2022-02-10,2022-02-10,-1
85,-747.1799999999857,143,2022-02-11,2022-02-11,1
87,3892.8200000000143,49,2022-02-11,2022-02-11,-1
89,162.82000000001426,177,2022-02-14,2022-02-14,1
91,-2642.1799999999857,127,2022-02-16,2022-02-16,-1
93,7097.820000000014,354,2022-02-17,2022-02-17,-1
95,-2587.1799999999857,258,2022-02-18,2022-02-18,1
97,-2062.1799999999857,6,2022-02-18,2022-02-18,1
99,542.8200000000143,14,2022-02-18,2022-02-18,1
101,-1117.1799999999857,37,2022-02-21,2022-02-21,-1
103,-1097.1799999999857,149,2022-02-21,2022-02-21,1
105,2357.8200000000143,106,2022-02-21,2022-02-21,-1
107,-582.1799999999857,173,2022-02-22,2022-02-22,1
109,217.82000000001426,12,2022-02-22,2022-02-22,1
111,6902.820000000014,132,2022-02-23,2022-02-23,-1
113,14287.820000000014,266,2022-02-24,2022-02-24,1
115,-3797.1799999999857,34,2022-02-25,2022-02-25,-1
117,-6337.179999999986,202,2022-02-28,2022-02-28,-1
119,-2292.1799999999857,90,2022-03-01,2022-03-01,-1
121,-42.17999999998574,94,2022-03-01,2022-03-01,-1
123,-667.1799999999857,102,2022-03-02,2022-03-02,1
125,4042.8200000000143,136,2022-03-03,2022-03-03,-1
127,-1832.1799999999857,259,2022-03-04,2022-03-04,1
129,-2737.1799999999857,41,2022-03-04,2022-03-04,-1
131,-1197.1799999999857,33,2022-03-04,2022-03-04,-1
133,-1047.1799999999857,24,2022-03-07,2022-03-07,1
135,5602.820000000014,114,2022-03-07,2022-03-07,-1
137,-2212.1799999999857,134,2022-03-08,2022-03-08,1
139,-3752.1799999999857,74,2022-03-08,2022-03-08,1
141,6187.820000000014,283,2022-03-09,2022-03-09,1
143,-372.17999999998574,211,2022-03-10,2022-03-10,-1
145,6387.820000000014,140,2022-03-11,2022-03-11,-1
147,-4862.179999999986,66,2022-03-14,2022-03-14,1
149,5757.820000000014,162,2022-03-15,2022-03-15,1
151,-1252.1799999999857,13,2022-03-16,2022-03-16,-1
153,-2212.1799999999857,105,2022-03-17,2022-03-17,-1
155,-892.1799999999857,92,2022-03-17,2022-03-17,-1
157,6232.820000000014,136,2022-03-18,2022-03-18,1
159,-1552.1799999999857,114,2022-03-21,2022-03-21,-1
161,-1842.1799999999857,133,2022-03-21,2022-03-21,-1
163,3832.8200000000143,127,2022-03-22,2022-03-22,1
165,1542.8200000000143,179,2022-03-23,2022-03-23,-1
167,-962.1799999999857,159,2022-03-24,2022-03-24,1
169,3582.8200000000143,105,2022-03-24,2022-03-24,1
171,-647.1799999999857,121,2022-03-25,2022-03-25,-1
173,-517.1799999999857,15,2022-03-28,2022-03-28,1
175,1152.8200000000143,21,2022-03-28,2022-03-28,1
177,-2762.1799999999857,130,2022-03-29,2022-03-29,-1
179,797.8200000000143,207,2022-03-30,2022-03-30,-1
181,-1882.1799999999857,258,2022-03-31,2022-03-31,1
183,2032.8200000000143,141,2022-03-31,2022-03-31,-1
185,-257.17999999998574,92,2022-04-01,2022-04-01,-1
187,-522.1799999999857,14,2022-04-01,2022-04-01,1
189,4677.820000000014,141,2022-04-04,2022-04-04,1
191,4997.820000000014,139,2022-04-05,2022-04-05,-1
193,-217.17999999998574,79,2022-04-06,2022-04-06,-1
195,-2072.1799999999857,15,2022-04-06,2022-04-06,-1
197,-627.1799999999857,9,2022-04-06,2022-04-06,-1
199,-2397.1799999999857,23,2022-04-07,2022-04-07,1
201,-3397.1799999999857,26,2022-04-07,2022-04-07,-1
203,-1392.1799999999857,32,2022-04-07,2022-04-07,1
205,2167.8200000000143,142,2022-04-08,2022-04-08,-1
207,-1632.1799999999857,14,2022-04-11,2022-04-11,1
209,2757.8200000000143,98,2022-04-12,2022-04-12,1
211,3477.8200000000143,351,2022-04-13,2022-04-13,1
213,5502.820000000014,139,2022-04-14,2022-04-14,-1
215,2777.8200000000143,251,2022-04-18,2022-04-18,1
217,-1337.1799999999857,125,2022-04-19,2022-04-19,-1
219,2987.8200000000143,116,2022-04-19,2022-04-19,1
221,432.820000000007,12,2022-04-19,2022-04-19,-1
223,422.820000000007,85,2022-04-20,2022-04-20,1
225,-432.179999999993,78,2022-04-20,2022-04-20,-1
227,462.820000000007,27,2022-04-20,2022-04-20,-1
229,-1292.179999999993,140,2022-04-21,2022-04-21,1
231,6427.820000000007,100,2022-04-21,2022-04-21,-1
233,-1197.179999999993,172,2022-04-22,2022-04-22,1
235,3937.820000000007,141,2022-04-25,2022-04-25,1
237,10717.820000000007,142,2022-04-26,2022-04-26,-1
239,3662.820000000007,450,2022-04-27,2022-04-27,1
241,-2732.179999999993,130,2022-04-28,2022-04-28,1
242,-2939.359999999986,56,2022-04-28,2022-04-28,-1
244,-1237.179999999993,60,2022-04-28,2022-04-28,1
245,-1479.359999999986,10,2022-04-28,2022-04-28,-1
247,-3227.179999999993,26,2022-04-29,2022-04-29,1
