date,entry,exit,rt_usd,era
20250814,3.0,1.0,10.0,2025H2
20250819,3.0,2.0,12.5,2025H2
20250820,2.0,2.0,10.0,2025H2
20250905,2.0,3.0,12.5,2025H2
20250910,2.0,2.0,10.0,2025H2
20250911,2.0,2.0,10.0,2025H2
20250912,2.0,2.0,10.0,2025H2
20250922,2.0,2.0,10.0,2025H2
20251002,3.0,1.0,10.0,2025H2
20251009,2.0,2.0,10.0,2025H2
20251015,2.0,2.0,10.0,2025H2
20251027,3.0,2.0,12.5,2025H2
20251028,2.0,2.0,10.0,2025H2
20251029,2.0,3.0,12.5,2025H2
20251110,3.0,2.0,12.5,2025H2
20251117,4.0,2.0,15.0,2025H2
20251124,5.0,2.0,17.5,2025H2
20251209,3.0,2.0,12.5,2025H2
20251222,3.0,1.0,10.0,2025H2
20260122,3.0,3.0,15.0,2026_Jan_May
20260123,19.0,2.0,52.5,2026_Jan_May
20260206,2.0,1.0,7.5,2026_Jan_May
20260211,3.0,2.0,12.5,2026_Jan_May
20260217,3.0,3.0,15.0,2026_Jan_May
20260218,3.0,1.0,10.0,2026_Jan_May
20260219,3.0,3.0,15.0,2026_Jan_May
20260220,14.0,2.0,40.0,2026_Jan_May
20260223,3.0,2.0,12.5,2026_Jan_May
20260302,8.0,3.0,27.5,2026_Jan_May
20260303,4.0,2.0,15.0,2026_Jan_May
20260312,3.0,2.0,12.5,2026_Jan_May
20260317,3.0,2.0,12.5,2026_Jan_May
20260320,3.0,2.0,12.5,2026_Jan_May
20260406,3.0,2.0,12.5,2026_Jan_May
20260409,2.0,2.0,10.0,2026_Jan_May
20260417,4.0,2.0,15.0,2026_Jan_May
20260422,2.0,2.0,10.0,2026_Jan_May
20260423,11.0,3.0,35.0,2026_Jan_May
20260428,3.0,2.0,12.5,2026_Jan_May
20260506,3.0,2.0,12.5,2026_Jan_May
20260511,3.0,2.0,12.5,2026_Jan_May
20260513,2.0,3.0,12.5,2026_Jan_May
20260514,3.0,2.0,12.5,2026_Jan_May
20260515,4.0,3.0,17.5,2026_Jan_May
20260518,4.0,3.0,17.5,2026_Jan_May
20260519,2.0,4.0,15.0,2026_Jan_May
20260520,4.0,3.0,17.5,2026_Jan_May
20260521,28.0,3.0,77.5,2026_Jan_May
20260522,3.0,2.0,12.5,2026_Jan_May
20260526,2.0,2.0,10.0,2026_Jan_May
20260527,3.0,2.0,12.5,2026_Jan_May
20260528,3.0,3.0,15.0,2026_Jan_May
20260529,3.0,2.0,12.5,2026_Jan_May
20260601,5.0,2.0,17.5,2026_Jun_Jul
20260602,3.0,2.0,12.5,2026_Jun_Jul
20260603,14.0,1.0,37.5,2026_Jun_Jul
20260604,4.0,2.0,15.0,2026_Jun_Jul
20260605,4.0,4.0,20.0,2026_Jun_Jul
20260608,3.0,3.0,15.0,2026_Jun_Jul
20260609,3.0,5.0,20.0,2026_Jun_Jul
20260610,8.0,5.0,32.5,2026_Jun_Jul
20260611,7.0,5.0,30.0,2026_Jun_Jul
20260612,13.0,11.0,60.0,2026_Jun_Jul
20260615,3.0,3.0,15.0,2026_Jun_Jul
20260616,3.0,4.0,17.5,2026_Jun_Jul
20260617,3.0,6.0,22.5,2026_Jun_Jul
20260618,4.0,3.0,17.5,2026_Jun_Jul
20260622,4.0,3.0,17.5,2026_Jun_Jul
20260623,38.0,4.0,105.0,2026_Jun_Jul
20260624,6.0,4.0,25.0,2026_Jun_Jul
20260625,7.0,3.0,25.0,2026_Jun_Jul
20260626,6.0,4.0,25.0,2026_Jun_Jul
20260629,7.0,4.0,27.5,2026_Jun_Jul
20260630,11.0,2.0,32.5,2026_Jun_Jul
20260701,9.0,4.0,32.5,2026_Jun_Jul
20260702,6.0,4.0,25.0,2026_Jun_Jul
20260706,18.0,3.0,52.5,2026_Jun_Jul
20260707,6.0,3.0,22.5,2026_Jun_Jul
20260708,6.0,4.0,25.0,2026_Jun_Jul
20260709,4.0,3.0,17.5,2026_Jun_Jul
20260710,5.0,2.0,17.5,2026_Jun_Jul
20260713,5.0,3.0,20.0,2026_Jun_Jul
20260714,4.0,3.0,17.5,2026_Jun_Jul
20260715,4.0,3.0,17.5,2026_Jun_Jul
20260716,5.0,4.0,22.5,2026_Jun_Jul
20260720,4.0,4.0,20.0,2026_Jun_Jul
20260721,5.0,2.0,17.5,2026_Jun_Jul
20260722,4.0,2.0,15.0,2026_Jun_Jul
20260723,3.0,3.0,15.0,2026_Jun_Jul
20260724,14.0,4.0,45.0,2026_Jun_Jul
20260727,4.0,4.0,20.0,2026_Jun_Jul
20260728,5.0,3.0,20.0,2026_Jun_Jul
20260729,6.0,5.0,27.5,2026_Jun_Jul
20260730,5.0,3.0,20.0,2026_Jun_Jul
20260731,5.0,2.0,17.5,2026_Jun_Jul
